ts,tid,pid,cat,ph,bp,name,id
6935384525165.063,7,0,ac2g,f,e,ac2g,602
6935384476320.822,30902,30902,ac2g,s,,ac2g,602
6935384525169.895,7,0,ac2g,f,e,ac2g,615
6935384522625.188,30902,30902,ac2g,s,,ac2g,615
6935384525172.135,7,0,ac2g,f,e,ac2g,641
6935384523504.301,36890,30902,ac2g,s,,ac2g,641
6935384523572.365,36890,30902,ac2g,f,e,ac2g,648
6935384523587.83,36890,30902,ac2g,f,e,ac2g,650
6935384523624.424,36890,30902,ac2g,f,e,ac2g,659
6935384523641.385,36890,30902,ac2g,f,e,ac2g,668
6935384523955.023,36890,30902,ac2g,f,e,ac2g,679
6935384525178.183,7,0,ac2g,f,e,ac2g,680
6935384524121.76,36890,30902,ac2g,s,,ac2g,680
6935384525183.079,7,0,ac2g,f,e,ac2g,698
6935384524250.604,36890,30902,ac2g,s,,ac2g,698
6935384524301.449,36890,30902,ac2g,f,e,ac2g,711
6935384533779.076,7,0,ac2g,f,e,ac2g,712
6935384531352.964,36890,30902,ac2g,s,,ac2g,712
6935384533788.037,7,0,ac2g,f,e,ac2g,725
6935384531476.752,36890,30902,ac2g,s,,ac2g,725
6935384533792.868,7,0,ac2g,f,e,ac2g,755
6935384531710.25,36890,30902,ac2g,s,,ac2g,755
6935384533794.916,7,0,ac2g,f,e,ac2g,762
6935384531747.963,36890,30902,ac2g,s,,ac2g,762
6935384533797.284,7,0,ac2g,f,e,ac2g,780
6935384531839.928,36890,30902,ac2g,s,,ac2g,780
6935384533902.372,7,0,ac2g,f,e,ac2g,788
6935384531875.559,36890,30902,ac2g,s,,ac2g,788
6935384533906.628,7,0,ac2g,f,e,ac2g,807
6935384531928.079,36890,30902,ac2g,s,,ac2g,807
6935384534012.868,7,0,ac2g,f,e,ac2g,814
6935384531957.863,36890,30902,ac2g,s,,ac2g,814
6935384534230.085,7,0,ac2g,f,e,ac2g,833
6935384532094.434,36890,30902,ac2g,s,,ac2g,833
6935384534232.932,7,0,ac2g,f,e,ac2g,849
6935384532131.84,36890,30902,ac2g,s,,ac2g,849
6935384532166.462,36890,30902,ac2g,f,e,ac2g,856
6935384532169.196,36890,30902,ac2g,f,e,ac2g,858
6935384532169.982,36890,30902,ac2g,f,e,ac2g,859
6935384532171.937,36890,30902,ac2g,f,e,ac2g,860
6935384532172.587,36890,30902,ac2g,f,e,ac2g,861
6935384532173.168,36890,30902,ac2g,f,e,ac2g,862
6935384532173.649,36890,30902,ac2g,f,e,ac2g,863
6935384532174.068,36890,30902,ac2g,f,e,ac2g,864
6935384532174.486,36890,30902,ac2g,f,e,ac2g,865
6935384532175.006,36890,30902,ac2g,f,e,ac2g,866
6935384532175.643,36890,30902,ac2g,f,e,ac2g,867
6935384533740.296,36890,30902,ac2g,f,e,ac2g,868
6935384534848.996,36890,30902,ac2g,f,e,ac2g,869
6935384534849.553,36890,30902,ac2g,f,e,ac2g,870
6935384534850.069,36890,30902,ac2g,f,e,ac2g,871
6935384534850.521,36890,30902,ac2g,f,e,ac2g,872
6935384534851.123,36890,30902,ac2g,f,e,ac2g,873
6935384534851.675,36890,30902,ac2g,f,e,ac2g,874
6935384534852.117,36890,30902,ac2g,f,e,ac2g,875
6935384534852.676,36890,30902,ac2g,f,e,ac2g,876
6935384534853.086,36890,30902,ac2g,f,e,ac2g,877
6935384534853.479,36890,30902,ac2g,f,e,ac2g,878
6935384534853.865,36890,30902,ac2g,f,e,ac2g,879
6935384534854.883,36890,30902,ac2g,f,e,ac2g,880
6935384537017.898,36890,30902,ac2g,f,e,ac2g,881
6935384537018.399,36890,30902,ac2g,f,e,ac2g,882
6935384537019.922,36890,30902,ac2g,f,e,ac2g,883
6935384537034.424,36890,30902,ac2g,f,e,ac2g,884
6935384537037.985,36890,30902,ac2g,f,e,ac2g,885
6935384537041.375,36890,30902,ac2g,f,e,ac2g,886
6935384537045.156,36890,30902,ac2g,f,e,ac2g,887
6935384537048.059,36890,30902,ac2g,f,e,ac2g,888
6935384537051.674,36890,30902,ac2g,f,e,ac2g,889
6935384537054.709,36890,30902,ac2g,f,e,ac2g,890
6935384537234.834,36890,30902,ac2g,f,e,ac2g,891
6935384537237.929,36890,30902,ac2g,f,e,ac2g,892
6935384537241.075,36890,30902,ac2g,f,e,ac2g,893
6935384537243.319,36890,30902,ac2g,f,e,ac2g,894
6935384537246.14,36890,30902,ac2g,f,e,ac2g,895
6935384537249.999,36890,30902,ac2g,f,e,ac2g,896
6935384537252.387,36890,30902,ac2g,f,e,ac2g,897
6935384537255.241,36890,30902,ac2g,f,e,ac2g,898
6935384537286.199,36890,30902,ac2g,f,e,ac2g,899
6935384540567.33,30,0,ac2g,f,e,ac2g,900
6935384537298.101,36890,30902,ac2g,s,,ac2g,900
6935384537325.14,36890,30902,ac2g,f,e,ac2g,902
6935384537349.671,36890,30902,ac2g,f,e,ac2g,903
6935384537354.667,36890,30902,ac2g,f,e,ac2g,904
6935384537364.093,36890,30902,ac2g,f,e,ac2g,906
6935384537367.623,36890,30902,ac2g,f,e,ac2g,907
6935384537369.037,36890,30902,ac2g,f,e,ac2g,908
6935384537370.186,36890,30902,ac2g,f,e,ac2g,909
6935384540523.426,7,0,ac2g,f,e,ac2g,919
6935384537453.922,36890,30902,ac2g,s,,ac2g,919
6935384540571.778,7,0,ac2g,f,e,ac2g,933
6935384537499.477,36890,30902,ac2g,s,,ac2g,933
6935384538928.761,36890,30902,ac2g,f,e,ac2g,972
6935384538933.844,36890,30902,ac2g,s,,ac2g,973
6935384538936.852,36890,30902,ac2g,s,,ac2g,974
6935384538937.997,36890,30902,ac2g,s,,ac2g,975
6935384538939.111,36890,30902,ac2g,s,,ac2g,976
6935384538940.409,36890,30902,ac2g,f,e,ac2g,977
6935384538941.798,36890,30902,ac2g,f,e,ac2g,978
6935384538942.893,36890,30902,ac2g,f,e,ac2g,979
6935384538944.229,36890,30902,ac2g,f,e,ac2g,980
6935384546975.105,30,0,ac2g,f,e,ac2g,981
6935384538956.372,36890,30902,ac2g,s,,ac2g,981
6935384556408.285,30,0,ac2g,f,e,ac2g,983
6935384544031.006,36890,30902,ac2g,s,,ac2g,983
6935384553653.783,36890,30902,ac2g,f,e,ac2g,992
6935384553668.399,36890,30902,ac2g,s,,ac2g,996
6935384558093.341,30,0,ac2g,f,e,ac2g,997
6935384553670.618,36890,30902,ac2g,s,,ac2g,997
6935384562013.372,30,0,ac2g,f,e,ac2g,998
6935384553688.506,36890,30902,ac2g,s,,ac2g,998
6935384562018.652,30,0,ac2g,f,e,ac2g,1000
6935384553699.178,36890,30902,ac2g,s,,ac2g,1000
6935384553717.821,36890,30902,ac2g,f,e,ac2g,1008
6935384553719.497,36890,30902,ac2g,s,,ac2g,1011
6935384563690.812,30,0,ac2g,f,e,ac2g,1012
6935384553719.887,36890,30902,ac2g,s,,ac2g,1012
6935384567560.09,30,0,ac2g,f,e,ac2g,1013
6935384553725.813,36890,30902,ac2g,s,,ac2g,1013
6935384567565.882,30,0,ac2g,f,e,ac2g,1015
6935384553732.71,36890,30902,ac2g,s,,ac2g,1015
6935384553745.003,36890,30902,ac2g,f,e,ac2g,1023
6935384553746.445,36890,30902,ac2g,s,,ac2g,1026
6935384572548.217,30,0,ac2g,f,e,ac2g,1027
6935384553746.829,36890,30902,ac2g,s,,ac2g,1027
6935384573159.097,30,0,ac2g,f,e,ac2g,1028
6935384553752.961,36890,30902,ac2g,s,,ac2g,1028
6935384573165.721,30,0,ac2g,f,e,ac2g,1030
6935384553759.633,36890,30902,ac2g,s,,ac2g,1030
