Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
0,36890,cpu_op,0,,autograd::engine::evaluate_function: SumBackward0,30902,119.721,1025,,1896,,,6935384523258.65,1,X
1,36890,cpu_op,0,"[""float""]",SumBackward0,30902,68.967,1026,"[""""]",1896,[[]],[[]],6935384523299.732,1,X
2,36890,cpu_op,0,"[""float"", ""ScalarList"", ""Scalar""]",aten::expand,30902,22.505,1027,"["""", ""[300, 15]"", ""False""]",,"[[], [], []]","[[], [], []]",6935384523341.313,,X
3,36890,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,30902,4.954,1028,"["""", ""[300, 15]"", ""[0, 0]"", """"]",,"[[], [], [], []]","[[], [], [], []]",6935384523352.312,,X
4,36890,cpu_op,0,,autograd::engine::evaluate_function: AddmmBackward0,30902,8134.452,1029,,1895,,,6935384523391.531,1,X
5,36890,cpu_op,0,"[""float""]",AddmmBackward0,30902,8022.267,1030,"[""""]",1895,"[[0, 0]]","[[300, 15]]",6935384523402.895,1,X
6,36890,cpu_op,0,"[""float""]",aten::t,30902,12.287,1031,"[""""]",,"[[1, 50]]","[[50, 15]]",6935384523410.118,,X
7,36890,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,30902,4.787,1032,"["""", ""0"", ""1""]",,"[[1, 50], [], []]","[[50, 15], [], []]",6935384523415.466,,X
8,36890,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,30902,0.842,1033,"["""", ""[15, 50]"", ""[50, 1]"", """"]",,"[[1, 50], [], [], []]","[[50, 15], [], [], []]",6935384523418.667,,X
9,36890,cpu_op,0,"[""float"", ""float""]",aten::mm,30902,728.208,1034,"["""", """"]",,"[[0, 0], [50, 1]]","[[300, 15], [15, 50]]",6935384523428.69,,X
10,36890,cpu_op,0,"[""float"", ""Scalar""]",aten::clone,30902,95.221,1035,"["""", ""0""]",,"[[0, 0], []]","[[300, 15], []]",6935384523454.662,,X
11,36890,cpu_op,0,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,30902,22.144,1036,"["""", ""6"", ""0"", """", """", ""0""]",,"[[0, 0], [], [], [], [], []]","[[300, 15], [], [], [], [], []]",6935384523457.506,,X
12,36890,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,30902,16.61,1037,"[""[300, 15]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384523461.917,,X
