tid,cat,name,pid,dur,External id,cbid,correlation,ts,ph
36890,cuda_driver,cuLaunchKernel,30902,13.531,1097,307,997,6935384553670.618,X
36890,cuda_driver,cuLaunchKernel,30902,5.08,1097,307,1012,6935384553719.887,X
36890,cuda_driver,cuLaunchKernel,30902,5.387,1097,307,1027,6935384553746.829,X
36890,cuda_driver,cuLaunchKernel,30902,5.284,1097,307,1042,6935384553773.251,X
36890,cuda_driver,cuLaunchKernel,30902,5.038,1097,307,1057,6935384553801.197,X
36890,cuda_driver,cuLaunchKernel,30902,6.269,1097,307,1072,6935384553826.901,X
36890,cuda_driver,cuLaunchKernel,30902,4.949,1097,307,1087,6935384553854.454,X
36890,cuda_driver,cuLaunchKernel,30902,5.015,1097,307,1102,6935384553880.607,X
36890,cuda_driver,cuLaunchKernel,30902,5.476,1097,307,1117,6935384553906.852,X
36890,cuda_driver,cuLaunchKernel,30902,13.919,1097,307,1277,6935384615616.753,X
36890,cuda_driver,cuLaunchKernel,30902,8.169,1097,307,1291,6935384615763.157,X
36890,cuda_driver,cuLaunchKernel,30902,7.846,1097,307,1304,6935384615811.197,X
36890,cuda_driver,cuLaunchKernel,30902,9.279,1097,307,1317,6935384615830.98,X
36890,cuda_driver,cuLaunchKernel,30902,6.643,1097,307,1329,6935384615852.072,X
36890,cuda_driver,cuLaunchKernel,30902,8.196,1097,307,1342,6935384615888.897,X
36890,cuda_driver,cuLaunchKernel,30902,8.541,1097,307,1355,6935384615907.087,X
36890,cuda_driver,cuLaunchKernel,30902,6.834,1097,307,1367,6935384615926.611,X
36890,cuda_driver,cuLaunchKernel,30902,8.396,1097,307,1380,6935384615943.415,X
36890,cuda_driver,cuLaunchKernel,30902,8.248,1097,307,1393,6935384615961.854,X
36890,cuda_driver,cuLaunchKernel,30902,6.181,1097,307,1405,6935384615981.114,X
36890,cuda_driver,cuLaunchKernel,30902,8.047,1097,307,1418,6935384615997.123,X
36890,cuda_driver,cuLaunchKernel,30902,6.735,1097,307,1431,6935384616014.809,X
36890,cuda_driver,cuLaunchKernel,30902,5.702,1097,307,1443,6935384616032.574,X
36890,cuda_driver,cuLaunchKernel,30902,5.805,1097,307,1456,6935384616047.909,X
36890,cuda_driver,cuLaunchKernel,30902,7.035,1097,307,1469,6935384616063.341,X
36890,cuda_driver,cuLaunchKernel,30902,5.615,1097,307,1481,6935384616081.342,X
36890,cuda_driver,cuLaunchKernel,30902,6.554,1097,307,1494,6935384616096.864,X
36890,cuda_driver,cuLaunchKernel,30902,6.224,1097,307,1507,6935384616113.094,X
36890,cuda_driver,cuLaunchKernel,30902,5.889,1097,307,1519,6935384616130.253,X
36890,cuda_driver,cuLaunchKernel,30902,6.298,1097,307,1532,6935384616145.921,X
36890,cuda_driver,cuLaunchKernel,30902,5.724,1097,307,1545,6935384616162.166,X
36890,cuda_driver,cuLaunchKernel,30902,6.78,1097,307,1557,6935384616178.855,X
36890,cuda_driver,cuLaunchKernel,30902,6.039,1097,307,1570,6935384616195.393,X
36890,cuda_driver,cuLaunchKernel,30902,5.604,1097,307,1583,6935384616211.05,X
36890,cuda_driver,cuLaunchKernel,30902,5.414,1097,307,1595,6935384616227.636,X
36890,cuda_driver,cuLaunchKernel,30902,6.354,1097,307,1608,6935384616242.854,X
36890,cuda_driver,cuLaunchKernel,30902,5.859,1097,307,1621,6935384616259.088,X
36890,cuda_driver,cuLaunchKernel,30902,6.474,1097,307,1633,6935384616275.896,X
36890,cuda_driver,cuLaunchKernel,30902,5.567,1097,307,1646,6935384616292.073,X
