ts,tid,pid,cbid,dur,cat,ph,name,correlation,External id
6935384476320.822,30902,30902,211,45827.918,cuda_runtime,X,cudaLaunchKernel,602,515
6935384522625.188,30902,30902,211,24.089,cuda_runtime,X,cudaLaunchKernel,615,520
6935384523504.301,36890,30902,211,39.076,cuda_runtime,X,cudaLaunchKernel,641,1038
6935384523572.365,36890,30902,22,3.078,cuda_runtime,X,cudaFree,648,1034
6935384523587.83,36890,30902,20,23.148,cuda_runtime,X,cudaMalloc,650,1034
6935384523624.424,36890,30902,20,5.52,cuda_runtime,X,cudaMalloc,659,1034
6935384523641.385,36890,30902,20,195.689,cuda_runtime,X,cudaMalloc,668,1034
6935384523955.023,36890,30902,210,67.863,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessor,679,1034
6935384524121.76,36890,30902,211,23.051,cuda_runtime,X,cudaLaunchKernel,680,1034
6935384524250.604,36890,30902,211,13.779,cuda_runtime,X,cudaLaunchKernel,698,1046
6935384524301.449,36890,30902,251,7021.182,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,711,1042
6935384531352.964,36890,30902,211,18.989,cuda_runtime,X,cudaLaunchKernel,712,1042
6935384531476.752,36890,30902,211,14.517,cuda_runtime,X,cudaLaunchKernel,725,1050
6935384531710.25,36890,30902,211,13.179,cuda_runtime,X,cudaLaunchKernel,755,1071
6935384531747.963,36890,30902,41,22.22,cuda_runtime,X,cudaMemcpyAsync,762,1074
6935384531839.928,36890,30902,211,9.148,cuda_runtime,X,cudaLaunchKernel,780,1081
6935384531875.559,36890,30902,211,8.15,cuda_runtime,X,cudaLaunchKernel,788,1084
6935384531928.079,36890,30902,211,7.822,cuda_runtime,X,cudaLaunchKernel,807,1091
6935384531957.863,36890,30902,41,18.63,cuda_runtime,X,cudaMemcpyAsync,814,1094
6935384532094.434,36890,30902,211,10.166,cuda_runtime,X,cudaLaunchKernel,833,1102
6935384532131.84,36890,30902,211,6.648,cuda_runtime,X,cudaLaunchKernel,849,1107
6935384532166.462,36890,30902,3,0.337,cuda_runtime,X,cudaGetDeviceCount,856,1097
6935384532169.196,36890,30902,1,0.314,cuda_runtime,X,cudaDriverGetVersion,858,1097
6935384532169.982,36890,30902,200,1.764,cuda_runtime,X,cudaDeviceGetAttribute,859,1097
6935384532171.937,36890,30902,200,0.467,cuda_runtime,X,cudaDeviceGetAttribute,860,1097
6935384532172.587,36890,30902,200,0.439,cuda_runtime,X,cudaDeviceGetAttribute,861,1097
6935384532173.168,36890,30902,200,0.325,cuda_runtime,X,cudaDeviceGetAttribute,862,1097
6935384532173.649,36890,30902,200,0.281,cuda_runtime,X,cudaDeviceGetAttribute,863,1097
6935384532174.068,36890,30902,200,0.28,cuda_runtime,X,cudaDeviceGetAttribute,864,1097
6935384532174.486,36890,30902,200,0.375,cuda_runtime,X,cudaDeviceGetAttribute,865,1097
6935384532175.006,36890,30902,200,0.481,cuda_runtime,X,cudaDeviceGetAttribute,866,1097
6935384532175.643,36890,30902,200,1564.184,cuda_runtime,X,cudaDeviceGetAttribute,867,1097
6935384533740.296,36890,30902,200,1108.374,cuda_runtime,X,cudaDeviceGetAttribute,868,1097
6935384534848.996,36890,30902,200,0.378,cuda_runtime,X,cudaDeviceGetAttribute,869,1097
6935384534849.553,36890,30902,200,0.357,cuda_runtime,X,cudaDeviceGetAttribute,870,1097
6935384534850.069,36890,30902,200,0.293,cuda_runtime,X,cudaDeviceGetAttribute,871,1097
6935384534850.521,36890,30902,200,0.441,cuda_runtime,X,cudaDeviceGetAttribute,872,1097
6935384534851.123,36890,30902,200,0.409,cuda_runtime,X,cudaDeviceGetAttribute,873,1097
6935384534851.675,36890,30902,200,0.3,cuda_runtime,X,cudaDeviceGetAttribute,874,1097
6935384534852.117,36890,30902,200,0.375,cuda_runtime,X,cudaDeviceGetAttribute,875,1097
6935384534852.676,36890,30902,200,0.271,cuda_runtime,X,cudaDeviceGetAttribute,876,1097
6935384534853.086,36890,30902,200,0.257,cuda_runtime,X,cudaDeviceGetAttribute,877,1097
6935384534853.479,36890,30902,200,0.247,cuda_runtime,X,cudaDeviceGetAttribute,878,1097
6935384534853.865,36890,30902,200,0.549,cuda_runtime,X,cudaDeviceGetAttribute,879,1097
6935384534854.883,36890,30902,440,2162.699,cuda_runtime,X,cudaGetDeviceProperties_v2,880,1097
6935384537017.898,36890,30902,200,0.33,cuda_runtime,X,cudaDeviceGetAttribute,881,1097
6935384537018.399,36890,30902,200,0.283,cuda_runtime,X,cudaDeviceGetAttribute,882,1097
6935384537019.922,36890,30902,198,14.232,cuda_runtime,X,cudaStreamCreateWithFlags,883,1097
6935384537034.424,36890,30902,198,3.291,cuda_runtime,X,cudaStreamCreateWithFlags,884,1097
6935384537037.985,36890,30902,198,3.154,cuda_runtime,X,cudaStreamCreateWithFlags,885,1097
6935384537041.375,36890,30902,198,3.553,cuda_runtime,X,cudaStreamCreateWithFlags,886,1097
6935384537045.156,36890,30902,198,2.667,cuda_runtime,X,cudaStreamCreateWithFlags,887,1097
6935384537048.059,36890,30902,198,3.384,cuda_runtime,X,cudaStreamCreateWithFlags,888,1097
6935384537051.674,36890,30902,198,2.802,cuda_runtime,X,cudaStreamCreateWithFlags,889,1097
6935384537054.709,36890,30902,198,179.507,cuda_runtime,X,cudaStreamCreateWithFlags,890,1097
6935384537234.834,36890,30902,198,2.853,cuda_runtime,X,cudaStreamCreateWithFlags,891,1097
6935384537237.929,36890,30902,198,2.913,cuda_runtime,X,cudaStreamCreateWithFlags,892,1097
6935384537241.075,36890,30902,198,2.016,cuda_runtime,X,cudaStreamCreateWithFlags,893,1097
6935384537243.319,36890,30902,198,2.589,cuda_runtime,X,cudaStreamCreateWithFlags,894,1097
6935384537246.14,36890,30902,198,3.626,cuda_runtime,X,cudaStreamCreateWithFlags,895,1097
6935384537249.999,36890,30902,198,2.155,cuda_runtime,X,cudaStreamCreateWithFlags,896,1097
6935384537252.387,36890,30902,198,2.621,cuda_runtime,X,cudaStreamCreateWithFlags,897,1097
6935384537255.241,36890,30902,198,30.378,cuda_runtime,X,cudaStreamCreateWithFlags,898,1097
6935384537286.199,36890,30902,20,10.865,cuda_runtime,X,cudaMalloc,899,1097
6935384537298.101,36890,30902,51,23.949,cuda_runtime,X,cudaMemsetAsync,900,1097
6935384537325.14,36890,30902,27,23.868,cuda_runtime,X,cudaHostAlloc,902,1097
6935384537349.671,36890,30902,28,1.872,cuda_runtime,X,cudaHostGetDevicePointer,903,1097
6935384537354.667,36890,30902,22,1.162,cuda_runtime,X,cudaFree,904,1097
6935384537364.093,36890,30902,135,3.009,cuda_runtime,X,cudaEventRecord,906,1097
6935384537367.623,36890,30902,317,1.179,cuda_runtime,X,cudaStreamIsCapturing,907,1097
6935384537369.037,36890,30902,203,0.726,cuda_runtime,X,cudaStreamGetPriority,908,1097
6935384537370.186,36890,30902,205,0.847,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,909,1097
6935384537453.922,36890,30902,211,15.132,cuda_runtime,X,cudaLaunchKernel,919,1118
6935384537499.477,36890,30902,211,7.924,cuda_runtime,X,cudaLaunchKernel,933,1123
6935384538928.761,36890,30902,135,4.411,cuda_runtime,X,cudaEventRecord,972,1097
6935384538933.844,36890,30902,147,2.657,cuda_runtime,X,cudaStreamWaitEvent,973,1097
6935384538936.852,36890,30902,147,0.881,cuda_runtime,X,cudaStreamWaitEvent,974,1097
6935384538937.997,36890,30902,147,0.861,cuda_runtime,X,cudaStreamWaitEvent,975,1097
6935384538939.111,36890,30902,147,0.796,cuda_runtime,X,cudaStreamWaitEvent,976,1097
6935384538940.409,36890,30902,135,0.916,cuda_runtime,X,cudaEventRecord,977,1097
6935384538941.798,36890,30902,317,0.766,cuda_runtime,X,cudaStreamIsCapturing,978,1097
6935384538942.893,36890,30902,203,0.879,cuda_runtime,X,cudaStreamGetPriority,979,1097
6935384538944.229,36890,30902,205,0.844,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,980,1097
6935384538956.372,36890,30902,211,5060.048,cuda_runtime,X,cudaLaunchKernel,981,1097
6935384544031.006,36890,30902,211,9376.934,cuda_runtime,X,cudaLaunchKernel,983,1097
6935384553653.783,36890,30902,200,1.43,cuda_runtime,X,cudaDeviceGetAttribute,992,1097
6935384553668.399,36890,30902,51,1.6,cuda_runtime,X,cudaMemsetAsync,996,1097
6935384553688.506,36890,30902,211,9.011,cuda_runtime,X,cudaLaunchKernel,998,1097
6935384553699.178,36890,30902,211,5.921,cuda_runtime,X,cudaLaunchKernel,1000,1097
6935384553717.821,36890,30902,200,0.405,cuda_runtime,X,cudaDeviceGetAttribute,1008,1097
6935384553719.497,36890,30902,51,0.179,cuda_runtime,X,cudaMemsetAsync,1011,1097
6935384553725.813,36890,30902,211,6.156,cuda_runtime,X,cudaLaunchKernel,1013,1097
6935384553732.71,36890,30902,211,5.209,cuda_runtime,X,cudaLaunchKernel,1015,1097
6935384553745.003,36890,30902,200,0.344,cuda_runtime,X,cudaDeviceGetAttribute,1023,1097
6935384553746.445,36890,30902,51,0.197,cuda_runtime,X,cudaMemsetAsync,1026,1097
6935384553752.961,36890,30902,211,5.941,cuda_runtime,X,cudaLaunchKernel,1028,1097
6935384553759.633,36890,30902,211,4.886,cuda_runtime,X,cudaLaunchKernel,1030,1097
6935384553771.433,36890,30902,200,0.337,cuda_runtime,X,cudaDeviceGetAttribute,1038,1097
6935384553772.883,36890,30902,51,0.179,cuda_runtime,X,cudaMemsetAsync,1041,1097
6935384553779.285,36890,30902,211,5.787,cuda_runtime,X,cudaLaunchKernel,1043,1097
6935384553786.025,36890,30902,211,6.343,cuda_runtime,X,cudaLaunchKernel,1045,1097
6935384553799.392,36890,30902,200,0.373,cuda_runtime,X,cudaDeviceGetAttribute,1053,1097
6935384553800.83,36890,30902,51,0.181,cuda_runtime,X,cudaMemsetAsync,1056,1097
6935384553807.029,36890,30902,211,5.587,cuda_runtime,X,cudaLaunchKernel,1058,1097
6935384553813.394,36890,30902,211,4.861,cuda_runtime,X,cudaLaunchKernel,1060,1097
6935384553825.16,36890,30902,200,0.316,cuda_runtime,X,cudaDeviceGetAttribute,1068,1097
6935384553826.53,36890,30902,51,0.18,cuda_runtime,X,cudaMemsetAsync,1071,1097
6935384553833.929,36890,30902,211,5.088,cuda_runtime,X,cudaLaunchKernel,1073,1097
6935384553839.773,36890,30902,211,4.75,cuda_runtime,X,cudaLaunchKernel,1075,1097
6935384553852.125,36890,30902,200,0.436,cuda_runtime,X,cudaDeviceGetAttribute,1083,1097
6935384553853.94,36890,30902,51,0.323,cuda_runtime,X,cudaMemsetAsync,1086,1097
6935384553860.167,36890,30902,211,5.865,cuda_runtime,X,cudaLaunchKernel,1088,1097
6935384553866.768,36890,30902,211,5.134,cuda_runtime,X,cudaLaunchKernel,1090,1097
6935384553878.825,36890,30902,200,0.318,cuda_runtime,X,cudaDeviceGetAttribute,1098,1097
6935384553880.237,36890,30902,51,0.181,cuda_runtime,X,cudaMemsetAsync,1101,1097
6935384553886.377,36890,30902,211,5.509,cuda_runtime,X,cudaLaunchKernel,1103,1097
6935384553892.61,36890,30902,211,5.506,cuda_runtime,X,cudaLaunchKernel,1105,1097
6935384553905.064,36890,30902,200,0.344,cuda_runtime,X,cudaDeviceGetAttribute,1113,1097
6935384553906.487,36890,30902,51,0.178,cuda_runtime,X,cudaMemsetAsync,1116,1097
6935384553913.162,36890,30902,211,5.503,cuda_runtime,X,cudaLaunchKernel,1118,1097
6935384553919.396,36890,30902,211,5.313,cuda_runtime,X,cudaLaunchKernel,1120,1097
6935384553941.108,36890,30902,210,1.705,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessor,1125,1097
6935384553956.745,36890,30902,211,8.195,cuda_runtime,X,cudaLaunchKernel,1126,1097
6935384553967.388,36890,30902,135,3.695,cuda_runtime,X,cudaEventRecord,1128,1097
6935384553971.653,36890,30902,317,1.133,cuda_runtime,X,cudaStreamIsCapturing,1129,1097
6935384553973.199,36890,30902,203,0.93,cuda_runtime,X,cudaStreamGetPriority,1130,1097
6935384553974.575,36890,30902,205,0.772,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,1131,1097
6935384553976.142,36890,30902,135,0.86,cuda_runtime,X,cudaEventRecord,1132,1097
6935384553977.321,36890,30902,147,1.892,cuda_runtime,X,cudaStreamWaitEvent,1133,1097
6935384553979.536,36890,30902,135,0.769,cuda_runtime,X,cudaEventRecord,1134,1097
6935384553980.499,36890,30902,147,1.012,cuda_runtime,X,cudaStreamWaitEvent,1135,1097
6935384553981.813,36890,30902,135,0.734,cuda_runtime,X,cudaEventRecord,1136,1097
6935384553982.719,36890,30902,147,1.209,cuda_runtime,X,cudaStreamWaitEvent,1137,1097
6935384553984.184,36890,30902,135,0.788,cuda_runtime,X,cudaEventRecord,1138,1097
6935384553985.143,36890,30902,147,0.674,cuda_runtime,X,cudaStreamWaitEvent,1139,1097
6935384554101.082,36890,30902,135,1.875,cuda_runtime,X,cudaEventRecord,1143,1097
6935384554103.28,36890,30902,317,0.578,cuda_runtime,X,cudaStreamIsCapturing,1144,1097
6935384554104.262,36890,30902,203,0.583,cuda_runtime,X,cudaStreamGetPriority,1145,1097
6935384554105.062,36890,30902,205,0.482,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,1146,1097
6935384554173.951,36890,30902,211,19.246,cuda_runtime,X,cudaLaunchKernel,1156,1140
6935384554226.067,36890,30902,211,9.274,cuda_runtime,X,cudaLaunchKernel,1171,1144
6935384555386.443,36890,30902,135,3.0,cuda_runtime,X,cudaEventRecord,1220,1097
6935384555390.066,36890,30902,147,2.203,cuda_runtime,X,cudaStreamWaitEvent,1221,1097
6935384555392.663,36890,30902,147,0.841,cuda_runtime,X,cudaStreamWaitEvent,1222,1097
6935384555393.755,36890,30902,147,0.723,cuda_runtime,X,cudaStreamWaitEvent,1223,1097
6935384555394.723,36890,30902,147,0.739,cuda_runtime,X,cudaStreamWaitEvent,1224,1097
6935384555395.724,36890,30902,135,0.739,cuda_runtime,X,cudaEventRecord,1225,1097
6935384555397.012,36890,30902,147,0.66,cuda_runtime,X,cudaStreamWaitEvent,1226,1097
6935384555398.026,36890,30902,147,0.746,cuda_runtime,X,cudaStreamWaitEvent,1227,1097
6935384555398.956,36890,30902,147,0.995,cuda_runtime,X,cudaStreamWaitEvent,1228,1097
6935384555400.278,36890,30902,147,0.754,cuda_runtime,X,cudaStreamWaitEvent,1229,1097
