Ev Idx,tid,cat,name,pid,dur,Python parent id,Python id,ts,ph
449,0,python_function,threading.py(973): _bootstrap,0,222365.941,,1,6935384472948.772,X
450,0,python_function,threading.py(1016): _bootstrap_inner,0,222364.729,1,2,6935384472949.984,X
451,0,python_function,decorator.py(232): fun,0,222362.136,2,3,6935384472952.577,X
452,0,python_function,IPython/core/history.py(61): only_when_enabled,0,222361.003,3,4,6935384472953.71,X
453,0,python_function,IPython/core/history.py(903): run,0,222358.552,4,5,6935384472956.161,X
454,0,python_function,threading.py(607): wait,0,222357.427,5,6,6935384472957.286,X
455,0,python_function,threading.py(320): wait,0,222356.734,6,7,6935384472957.979,X
456,0,python_function,threading.py(973): _bootstrap,0,222351.697,7,8,6935384472963.016,X
457,0,python_function,threading.py(1016): _bootstrap_inner,0,222351.168,8,9,6935384472963.545,X
458,0,python_function,ipykernel/control.py(23): run,0,222349.742,9,10,6935384472964.971,X
459,0,python_function,tornado/platform/asyncio.py(205): start,0,222347.544,10,11,6935384472967.169,X
460,0,python_function,asyncio/base_events.py(603): run_forever,0,222345.423,11,12,6935384472969.29,X
461,0,python_function,asyncio/base_events.py(1871): _run_once,0,222344.547,12,13,6935384472970.166,X
462,0,python_function,selectors.py(469): select,0,222343.324,13,14,6935384472971.389,X
463,0,python_function,threading.py(973): _bootstrap,0,222340.335,14,15,6935384472974.378,X
464,0,python_function,threading.py(1016): _bootstrap_inner,0,222339.807,15,16,6935384472974.906,X
465,0,python_function,threading.py(953): run,0,222338.717,16,17,6935384472975.996,X
466,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,222337.49,17,18,6935384472977.223,X
467,0,python_function,threading.py(973): _bootstrap,0,222334.253,18,19,6935384472980.46,X
468,0,python_function,threading.py(1016): _bootstrap_inner,0,222333.778,19,20,6935384472980.935,X
469,0,python_function,threading.py(953): run,0,222332.518,20,21,6935384472982.195,X
470,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,222332.088,21,22,6935384472982.625,X
471,0,python_function,threading.py(973): _bootstrap,0,222329.663,22,23,6935384472985.05,X
472,0,python_function,threading.py(1016): _bootstrap_inner,0,222329.2,23,24,6935384472985.513,X
473,0,python_function,ipykernel/heartbeat.py(106): run,0,222327.485,24,25,6935384472987.228,X
474,30905,python_function,threading.py(973): _bootstrap,30902,222324.217,,26,6935384472990.496,X
475,30905,python_function,threading.py(1016): _bootstrap_inner,30902,222323.896,26,27,6935384472990.817,X
