tid,cat,id,name,pid,bp,ts,ph
7,ac2g,11,ac2g,0,e,6935384396700.799,f
30902,ac2g,11,ac2g,30902,,6935384396544.402,s
30902,ac2g,12,ac2g,30902,,6935384396698.684,s
7,ac2g,25,ac2g,0,e,6935384397178.879,f
30902,ac2g,25,ac2g,30902,,6935384397061.112,s
30902,ac2g,26,ac2g,30902,,6935384397178.075,s
30902,ac2g,32,ac2g,30902,e,6935384397794.007,f
30902,ac2g,33,ac2g,30902,e,6935384397821.943,f
30902,ac2g,34,ac2g,30902,e,6935384397824.897,f
30902,ac2g,35,ac2g,30902,e,6935384397827.281,f
7,ac2g,54,ac2g,0,e,6935384398829.952,f
30902,ac2g,54,ac2g,30902,,6935384398149.679,s
30902,ac2g,82,ac2g,30902,e,6935384398245.203,f
30902,ac2g,83,ac2g,30902,e,6935384398248.837,f
30902,ac2g,84,ac2g,30902,e,6935384398250.196,f
30902,ac2g,85,ac2g,30902,e,6935384398251.605,f
30902,ac2g,95,ac2g,30902,e,6935384398478.82,f
30902,ac2g,96,ac2g,30902,e,6935384398481.578,f
30902,ac2g,106,ac2g,30902,e,6935384398900.079,f
30902,ac2g,107,ac2g,30902,e,6935384398902.585,f
30902,ac2g,114,ac2g,30902,e,6935384400726.471,f
30902,ac2g,115,ac2g,30902,,6935384400733.186,s
30902,ac2g,116,ac2g,30902,,6935384400739.886,s
30902,ac2g,117,ac2g,30902,,6935384400741.957,s
30902,ac2g,118,ac2g,30902,,6935384400743.794,s
30902,ac2g,119,ac2g,30902,e,6935384400745.555,f
30902,ac2g,120,ac2g,30902,e,6935384400747.832,f
30902,ac2g,121,ac2g,30902,e,6935384400749.471,f
30902,ac2g,122,ac2g,30902,e,6935384400751.063,f
14,ac2g,127,ac2g,0,e,6935384401307.393,f
30902,ac2g,127,ac2g,30902,,6935384400811.234,s
14,ac2g,129,ac2g,0,e,6935384401790.338,f
30902,ac2g,129,ac2g,30902,,6935384400857.385,s
30902,ac2g,138,ac2g,30902,e,6935384400906.856,f
30902,ac2g,141,ac2g,30902,,6935384400916.073,s
14,ac2g,142,ac2g,0,e,6935384403257.666,f
30902,ac2g,142,ac2g,30902,,6935384400917.684,s
