Input type,tid,cat,Record function id,Ev Idx,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
"[""ScalarList"", """", """", """", ""Scalar""]",30902,cpu_op,0,1,aten::zeros,30902,500.394,2,"[""[10, 300, 50]"", """", """", """", ""False""]",,"[[], [], [], [], []]","[[], [], [], [], []]",6935384393110.378,,X
"[""ScalarList"", """", """", """", ""Scalar"", """"]",30902,cpu_op,0,2,aten::empty,30902,21.722,3,"[""[10, 300, 50]"", """", """", """", ""False"", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384393126.444,,X
"[""float""]",30902,cpu_op,0,3,aten::zero_,30902,422.691,4,"[""""]",,"[[15000, 50, 1]]","[[10, 300, 50]]",6935384393187.066,,X
"[""float"", ""Scalar""]",30902,cpu_op,0,4,aten::fill_,30902,409.586,5,"["""", ""0""]",,"[[15000, 50, 1], []]","[[10, 300, 50], []]",6935384393197.089,,X
"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar"", ""Scalar"", """"]",30902,cpu_op,0,5,aten::to,30902,3135.397,6,"["""", ""6"", ""0"", """", """", ""False"", ""False"", """"]",1884,"[[15000, 50, 1], [], [], [], [], [], [], []]","[[10, 300, 50], [], [], [], [], [], [], []]",6935384393641.177,0,X
"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar"", """"]",30902,cpu_op,0,6,aten::_to_copy,30902,332.01,7,"["""", ""6"", ""0"", """", """", ""False"", """"]",1884,"[[15000, 50, 1], [], [], [], [], [], []]","[[10, 300, 50], [], [], [], [], [], []]",6935384396443.36,0,X
"[""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]",30902,cpu_op,0,7,aten::empty_strided,30902,41.885,8,"[""[10, 300, 50]"", ""[15000, 50, 1]"", ""6"", ""0"", """", ""False""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384396468.12,,X
"[""float"", ""float"", ""Scalar""]",30902,cpu_op,0,8,aten::copy_,30902,250.088,9,"["""", """", ""False""]",,"[[15000, 50, 1], [15000, 50, 1], []]","[[10, 300, 50], [10, 300, 50], []]",6935384396522.353,,X
"[""ScalarList"", """", """", """", ""Scalar""]",30902,cpu_op,0,9,aten::zeros,30902,186.439,10,"[""[10, 300, 50]"", """", """", """", ""False""]",,"[[], [], [], [], []]","[[], [], [], [], []]",6935384396823.544,,X
"[""ScalarList"", """", """", """", ""Scalar"", """"]",30902,cpu_op,0,10,aten::empty,30902,19.635,11,"[""[10, 300, 50]"", """", """", """", ""False"", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384396829.333,,X
"[""float""]",30902,cpu_op,0,11,aten::zero_,30902,153.367,12,"[""""]",,"[[15000, 50, 1]]","[[10, 300, 50]]",6935384396853.394,,X
"[""float"", ""Scalar""]",30902,cpu_op,0,12,aten::fill_,30902,148.229,13,"["""", ""0""]",,"[[15000, 50, 1], []]","[[10, 300, 50], []]",6935384396857.781,,X
"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar"", ""Scalar"", """"]",30902,cpu_op,0,13,aten::to,30902,223.77,14,"["""", ""6"", ""0"", """", """", ""False"", ""False"", """"]",1884,"[[15000, 50, 1], [], [], [], [], [], [], []]","[[10, 300, 50], [], [], [], [], [], [], []]",6935384397021.639,0,X
"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar"", """"]",30902,cpu_op,0,14,aten::_to_copy,30902,217.856,15,"["""", ""6"", ""0"", """", """", ""False"", """"]",1884,"[[15000, 50, 1], [], [], [], [], [], []]","[[10, 300, 50], [], [], [], [], [], []]",6935384397026.844,0,X
"[""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]",30902,cpu_op,0,15,aten::empty_strided,30902,17.429,16,"[""[10, 300, 50]"", ""[15000, 50, 1]"", ""6"", ""0"", """", ""False""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384397033.374,,X
"[""float"", ""float"", ""Scalar""]",30902,cpu_op,0,16,aten::copy_,30902,189.653,17,"["""", """", ""False""]",,"[[15000, 50, 1], [15000, 50, 1], []]","[[10, 300, 50], [10, 300, 50], []]",6935384397053.658,,X
"[""float"", ""TensorList"", ""TensorList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",30902,cpu_op,0,17,aten::lstm,30902,3537.644,18,"["""", """", """", ""True"", ""10"", ""0."", ""True"", ""False"", ""True""]",1884,"[[10000, 10, 1], [[15000, 50, 1], [15000, 50, 1]], [], [], [], [], [], [], []]","[[300, 1000, 10], [[10, 300, 50], [10, 300, 50]], [], [], [], [], [], [], []]",6935384397758.682,0,X
"[""float""]",30902,cpu_op,0,18,aten::cudnn_is_acceptable,30902,6.171,19,"[""""]",1884,"[[10000, 10, 1]]","[[300, 1000, 10]]",6935384397767.257,0,X
"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",30902,cpu_op,0,19,aten::empty,30902,14.673,20,"[""[0]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384397868.749,,X
"[""float"", """"]",30902,cpu_op,0,20,aten::set_,30902,23.939,21,"["""", """"]",1884,"[[1], []]","[[0], []]",6935384397899.202,0,X
"[""float"", """", ""Scalar"", ""ScalarList"", ""ScalarList""]",30902,cpu_op,0,21,aten::set_,30902,8.289,22,"["""", """", ""0"", ""[196000]"", ""[]""]",,"[[1], [], [], [], []]","[[0], [], [], [], []]",6935384397912.138,,X
"[""float"", ""TensorList"", ""Scalar"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""ScalarList"", """"]",30902,cpu_op,0,22,aten::_cudnn_rnn,30902,3319.977,23,"["""", """", ""4"", """", """", """", ""2"", ""50"", ""0"", ""10"", ""True"", ""0."", ""True"", ""False"", ""[]"", """"]",1884,"[[10000, 10, 1], [], [], [1], [15000, 50, 1], [15000, 50, 1], [], [], [], [], [], [], [], [], [], []]","[[300, 1000, 10], [], [], [196000], [10, 300, 50], [10, 300, 50], [], [], [], [], [], [], [], [], [], []]",6935384397971.239,0,X
"[""float"", ""Scalar"", ""Scalar""]",30902,cpu_op,0,23,aten::transpose,30902,18.128,24,"["""", ""0"", ""1""]",,"[[10000, 10, 1], [], []]","[[300, 1000, 10], [], []]",6935384398050.805,,X
"[""float"", ""ScalarList"", ""ScalarList"", """"]",30902,cpu_op,0,24,aten::as_strided,30902,6.44,25,"["""", ""[1000, 300, 10]"", ""[10, 10000, 1]"", """"]",,"[[10000, 10, 1], [], [], []]","[[300, 1000, 10], [], [], []]",6935384398061.287,,X
"[""float"", ""Scalar""]",30902,cpu_op,0,25,aten::contiguous,30902,124.647,26,"["""", ""0""]",,"[[10, 10000, 1], []]","[[1000, 300, 10], []]",6935384398075.729,,X
"[""float"", ""Scalar""]",30902,cpu_op,0,26,aten::clone,30902,117.944,27,"["""", ""0""]",,"[[10, 10000, 1], []]","[[1000, 300, 10], []]",6935384398081.917,,X
"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",30902,cpu_op,0,27,aten::empty_like,30902,22.886,28,"["""", ""6"", ""0"", """", """", ""0""]",,"[[10, 10000, 1], [], [], [], [], []]","[[1000, 300, 10], [], [], [], [], []]",6935384398094.791,,X
"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",30902,cpu_op,0,28,aten::empty,30902,14.715,29,"[""[1000, 300, 10]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384398101.202,,X
"[""float"", ""float"", ""Scalar""]",30902,cpu_op,0,29,aten::copy_,30902,77.615,30,"["""", """", ""False""]",,"[[3000, 10, 1], [10, 10000, 1], []]","[[1000, 300, 10], [1000, 300, 10], []]",6935384398121.417,,X
"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",30902,cpu_op,0,30,aten::empty,30902,11.234,31,"[""[1000, 300, 50]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384398203.891,,X
"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",30902,cpu_op,0,31,aten::empty,30902,10.117,32,"[""[10, 300, 50]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384398218.164,,X
"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",30902,cpu_op,0,32,aten::empty,30902,9.599,33,"[""[10, 300, 50]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384398230.979,,X
"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",30902,cpu_op,0,33,aten::empty,30902,417.289,34,"[""[1277571872]"", ""0"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384398466.851,,X
"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",30902,cpu_op,0,34,aten::empty,30902,420.73,35,"[""[3540000256]"", ""0"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6935384398891.221,,X
"[""float"", ""Scalar"", ""Scalar""]",30902,cpu_op,0,35,aten::transpose_,30902,28.548,36,"["""", ""0"", ""1""]",,"[[15000, 50, 1], [], []]","[[1000, 300, 50], [], []]",6935384401214.103,,X
"[""float"", ""ScalarList"", ""ScalarList"", """"]",30902,cpu_op,0,36,aten::as_strided_,30902,15.24,37,"["""", ""[300, 1000, 50]"", ""[50, 15000, 1]"", """"]",,"[[15000, 50, 1], [], [], []]","[[1000, 300, 50], [], [], []]",6935384401226.275,,X
"[""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",30902,cpu_op,0,37,aten::slice,30902,31.11,38,"["""", ""0"", ""0"", ""9223372036854775807"", ""1""]",1885,"[[50, 15000, 1], [], [], [], []]","[[300, 1000, 50], [], [], [], []]",6935384401386.373,0,X
"[""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]",30902,cpu_op,0,38,aten::as_strided,30902,4.124,39,"["""", ""[300, 1000, 50]"", ""[50, 15000, 1]"", ""0""]",,"[[50, 15000, 1], [], [], []]","[[300, 1000, 50], [], [], []]",6935384401404.586,,X
"[""float"", ""Scalar"", ""Scalar""]",30902,cpu_op,0,39,aten::select,30902,21.95,40,"["""", ""1"", ""-1""]",1886,"[[50, 15000, 1], [], []]","[[300, 1000, 50], [], []]",6935384401435.941,0,X
"[""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]",30902,cpu_op,0,40,aten::as_strided,30902,1.288,41,"["""", ""[300, 50]"", ""[50, 1]"", ""14985000""]",,"[[50, 15000, 1], [], [], []]","[[300, 1000, 50], [], [], []]",6935384401450.318,,X
"[""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",30902,cpu_op,0,41,aten::slice,30902,7.69,42,"["""", ""1"", ""0"", ""9223372036854775807"", ""1""]",1887,"[[50, 1], [], [], [], []]","[[300, 50], [], [], [], []]",6935384401462.953,0,X
"[""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]",30902,cpu_op,0,42,aten::as_strided,30902,0.819,43,"["""", ""[300, 50]"", ""[50, 1]"", ""14985000""]",,"[[50, 1], [], [], []]","[[300, 50], [], [], []]",6935384401467.342,,X
"[""float"", ""float"", ""float""]",30902,cpu_op,0,43,aten::linear,30902,392.443,44,"["""", """", """"]",1888,"[[50, 1], [50, 1], [1]]","[[300, 50], [15, 50], [15]]",6935384401588.895,0,X
"[""float""]",30902,cpu_op,0,44,aten::t,30902,18.217,45,"[""""]",1888,"[[50, 1]]","[[15, 50]]",6935384401596.192,0,X
"[""float"", ""Scalar"", ""Scalar""]",30902,cpu_op,0,45,aten::transpose,30902,6.775,46,"["""", ""0"", ""1""]",,"[[50, 1], [], []]","[[15, 50], [], []]",6935384401604.536,,X
"[""float"", ""ScalarList"", ""ScalarList"", """"]",30902,cpu_op,0,46,aten::as_strided,30902,1.428,47,"["""", ""[50, 15]"", ""[1, 50]"", """"]",,"[[50, 1], [], [], []]","[[15, 50], [], [], []]",6935384401608.988,,X
"[""float"", ""float"", ""float"", ""Scalar"", ""Scalar""]",30902,cpu_op,0,47,aten::addmm,30902,356.76,48,"["""", """", """", ""1"", ""1""]",1889,"[[1], [50, 1], [1, 50], [], []]","[[15], [300, 50], [50, 15], [], []]",6935384401622.675,0,X
