ts,tid,pid,cbid,dur,cat,ph,name,correlation,External id
6935384396544.402,30902,30902,41,152.505,cuda_runtime,X,cudaMemcpyAsync,11,9
6935384396698.684,30902,30902,131,67.803,cuda_runtime,X,cudaStreamSynchronize,12,9
6935384397061.112,30902,30902,41,116.239,cuda_runtime,X,cudaMemcpyAsync,25,17
6935384397178.075,30902,30902,131,61.975,cuda_runtime,X,cudaStreamSynchronize,26,17
6935384397794.007,30902,30902,135,26.986,cuda_runtime,X,cudaEventRecord,32,18
6935384397821.943,30902,30902,317,2.225,cuda_runtime,X,cudaStreamIsCapturing,33,18
6935384397824.897,30902,30902,203,1.585,cuda_runtime,X,cudaStreamGetPriority,34,18
6935384397827.281,30902,30902,205,1.471,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,35,18
6935384398149.679,30902,30902,211,42.936,cuda_runtime,X,cudaLaunchKernel,54,30
6935384398245.203,30902,30902,135,3.167,cuda_runtime,X,cudaEventRecord,82,23
6935384398248.837,30902,30902,317,0.957,cuda_runtime,X,cudaStreamIsCapturing,83,23
6935384398250.196,30902,30902,203,0.972,cuda_runtime,X,cudaStreamGetPriority,84,23
6935384398251.605,30902,30902,205,0.765,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,85,23
6935384398478.82,30902,30902,317,1.731,cuda_runtime,X,cudaStreamIsCapturing,95,34
6935384398481.578,30902,30902,20,390.686,cuda_runtime,X,cudaMalloc,96,34
6935384398900.079,30902,30902,317,2.012,cuda_runtime,X,cudaStreamIsCapturing,106,35
6935384398902.585,30902,30902,20,400.551,cuda_runtime,X,cudaMalloc,107,35
6935384400726.471,30902,30902,135,5.027,cuda_runtime,X,cudaEventRecord,114,23
6935384400733.186,30902,30902,147,5.357,cuda_runtime,X,cudaStreamWaitEvent,115,23
6935384400739.886,30902,30902,147,1.242,cuda_runtime,X,cudaStreamWaitEvent,116,23
6935384400741.957,30902,30902,147,1.018,cuda_runtime,X,cudaStreamWaitEvent,117,23
6935384400743.794,30902,30902,147,1.156,cuda_runtime,X,cudaStreamWaitEvent,118,23
6935384400745.555,30902,30902,135,1.767,cuda_runtime,X,cudaEventRecord,119,23
6935384400747.832,30902,30902,317,1.141,cuda_runtime,X,cudaStreamIsCapturing,120,23
6935384400749.471,30902,30902,203,1.154,cuda_runtime,X,cudaStreamGetPriority,121,23
6935384400751.063,30902,30902,205,1.085,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,122,23
6935384400811.234,30902,30902,211,33.162,cuda_runtime,X,cudaLaunchKernel,127,23
6935384400857.385,30902,30902,211,15.61,cuda_runtime,X,cudaLaunchKernel,129,23
6935384400906.856,30902,30902,200,3.068,cuda_runtime,X,cudaDeviceGetAttribute,138,23
6935384400916.073,30902,30902,51,0.915,cuda_runtime,X,cudaMemsetAsync,141,23
6935384400930.204,30902,30902,211,7.901,cuda_runtime,X,cudaLaunchKernel,143,23
6935384400949.403,30902,30902,200,0.483,cuda_runtime,X,cudaDeviceGetAttribute,152,23
6935384400951.483,30902,30902,51,0.249,cuda_runtime,X,cudaMemsetAsync,155,23
6935384400961.05,30902,30902,211,8.398,cuda_runtime,X,cudaLaunchKernel,157,23
6935384400978.958,30902,30902,200,0.466,cuda_runtime,X,cudaDeviceGetAttribute,166,23
6935384400981.019,30902,30902,51,0.241,cuda_runtime,X,cudaMemsetAsync,169,23
6935384400989.727,30902,30902,211,7.278,cuda_runtime,X,cudaLaunchKernel,171,23
6935384401006.391,30902,30902,200,0.504,cuda_runtime,X,cudaDeviceGetAttribute,180,23
6935384401008.653,30902,30902,51,0.212,cuda_runtime,X,cudaMemsetAsync,183,23
6935384401018.668,30902,30902,211,7.33,cuda_runtime,X,cudaLaunchKernel,185,23
6935384401035.373,30902,30902,200,0.463,cuda_runtime,X,cudaDeviceGetAttribute,194,23
6935384401037.37,30902,30902,51,0.237,cuda_runtime,X,cudaMemsetAsync,197,23
6935384401046.08,30902,30902,211,7.108,cuda_runtime,X,cudaLaunchKernel,199,23
6935384401062.656,30902,30902,200,0.459,cuda_runtime,X,cudaDeviceGetAttribute,208,23
6935384401064.693,30902,30902,51,0.241,cuda_runtime,X,cudaMemsetAsync,211,23
6935384401074.58,30902,30902,211,7.042,cuda_runtime,X,cudaLaunchKernel,213,23
6935384401092.656,30902,30902,200,0.47,cuda_runtime,X,cudaDeviceGetAttribute,222,23
6935384401094.686,30902,30902,51,0.242,cuda_runtime,X,cudaMemsetAsync,225,23
6935384401103.339,30902,30902,211,7.565,cuda_runtime,X,cudaLaunchKernel,227,23
