shared memory,pid,dur,stream,ts,est. achieved occupancy %,tid,cat,warps per SM,grid,registers per thread,correlation,ph,name,device,External id,queued,blocks per SM,context,block
0,0,48.512,7,6935384398829.952,100,7,kernel,558.047607,"[11719, 1, 1]",16,54,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,30,0,139.511902,1,"[128, 1, 1]"
12800,0,482.113,14,6935384401307.393,33,14,kernel,446.476196,"[2, 4688, 1]",122,127,X,ampere_sgemm_128x64_tn,0,23,0,111.619049,1,"[128, 1, 1]"
1280,0,1466.561,14,6935384401790.338,33,14,kernel,28.571428,"[300, 1, 1]",106,129,X,"void RNN_blockPersist_fp_LSTM<float, float, float, 64>(float const*, float*, float const*, float*, float const*, float*, float*, float const*, float const*, float*, int, int, int, int, int, int, cudnnRNNClipMode_t, cudnnNanPropagation_t, float, float)",0,23,0,3.571429,1,"[256, 1, 1]"
73728,0,4097.123,14,6935384403257.666,0,14,kernel,223.238098,"[2344, 1, 1]",218,142,X,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x128_16x3_tn_align1>(cutlass_80_tensorop_s1688gemm_256x128_16x3_tn_align1::Params),0,23,0,27.904762,1,"[256, 1, 1]"
1280,0,2839.265,14,6935384407355.653,33,14,kernel,28.571428,"[300, 1, 1]",106,143,X,"void RNN_blockPersist_fp_LSTM<float, float, float, 64>(float const*, float*, float const*, float*, float const*, float*, float*, float const*, float const*, float*, int, int, int, int, int, int, cudnnRNNClipMode_t, cudnnNanPropagation_t, float, float)",0,23,0,3.571429,1,"[256, 1, 1]"
73728,0,722.848,14,6935384410196.454,0,14,kernel,223.238098,"[2344, 1, 1]",218,156,X,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x128_16x3_tn_align1>(cutlass_80_tensorop_s1688gemm_256x128_16x3_tn_align1::Params),0,23,0,27.904762,1,"[256, 1, 1]"
1280,0,2581.538,14,6935384410920.134,33,14,kernel,28.571428,"[300, 1, 1]",106,157,X,"void RNN_blockPersist_fp_LSTM<float, float, float, 64>(float const*, float*, float const*, float*, float const*, float*, float*, float const*, float const*, float*, int, int, int, int, int, int, cudnnRNNClipMode_t, cudnnNanPropagation_t, float, float)",0,23,0,3.571429,1,"[256, 1, 1]"
73728,0,725.216,14,6935384413503.08,0,14,kernel,223.238098,"[2344, 1, 1]",218,170,X,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x128_16x3_tn_align1>(cutlass_80_tensorop_s1688gemm_256x128_16x3_tn_align1::Params),0,23,0,27.904762,1,"[256, 1, 1]"
1280,0,4721.219,14,6935384414229.16,33,14,kernel,28.571428,"[300, 1, 1]",106,171,X,"void RNN_blockPersist_fp_LSTM<float, float, float, 64>(float const*, float*, float const*, float*, float const*, float*, float*, float const*, float const*, float*, int, int, int, int, int, int, cudnnRNNClipMode_t, cudnnNanPropagation_t, float, float)",0,23,0,3.571429,1,"[256, 1, 1]"
73728,0,723.648,14,6935384418951.851,0,14,kernel,223.238098,"[2344, 1, 1]",218,184,X,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x128_16x3_tn_align1>(cutlass_80_tensorop_s1688gemm_256x128_16x3_tn_align1::Params),0,23,0,27.904762,1,"[256, 1, 1]"
