tid,cat,id,name,pid,bp,ts,ph
7,ac2g,2460,ac2g,0,e,6935384775889.483,f
30902,ac2g,2460,ac2g,30902,,6935384736955.67,s
7,ac2g,2486,ac2g,0,e,6935384775892.651,f
36890,ac2g,2486,ac2g,30902,,6935384737453.627,s
7,ac2g,2499,ac2g,0,e,6935384775897.707,f
36890,ac2g,2499,ac2g,30902,,6935384737521.115,s
7,ac2g,2517,ac2g,0,e,6935384775904.779,f
36890,ac2g,2517,ac2g,30902,,6935384737595.782,s
7,ac2g,2530,ac2g,0,e,6935384775907.659,f
36890,ac2g,2530,ac2g,30902,,6935384737626.306,s
7,ac2g,2543,ac2g,0,e,6935384775915.083,f
36890,ac2g,2543,ac2g,30902,,6935384737675.905,s
7,ac2g,2573,ac2g,0,e,6935384775920.011,f
36890,ac2g,2573,ac2g,30902,,6935384737847.926,s
7,ac2g,2580,ac2g,0,e,6935384775922.987,f
36890,ac2g,2580,ac2g,30902,,6935384737878.814,s
7,ac2g,2598,ac2g,0,e,6935384775926.251,f
36890,ac2g,2598,ac2g,30902,,6935384737955.55,s
7,ac2g,2606,ac2g,0,e,6935384776035.371,f
36890,ac2g,2606,ac2g,30902,,6935384737987.051,s
7,ac2g,2625,ac2g,0,e,6935384776042.219,f
36890,ac2g,2625,ac2g,30902,,6935384738038.82,s
7,ac2g,2632,ac2g,0,e,6935384776152.779,f
36890,ac2g,2632,ac2g,30902,,6935384738060.739,s
7,ac2g,2651,ac2g,0,e,6935384776376.332,f
36890,ac2g,2651,ac2g,30902,,6935384738167.68,s
7,ac2g,2667,ac2g,0,e,6935384776379.916,f
36890,ac2g,2667,ac2g,30902,,6935384738197.352,s
36890,ac2g,2675,ac2g,30902,e,6935384738215.665,f
36890,ac2g,2676,ac2g,30902,e,6935384738219.036,f
36890,ac2g,2677,ac2g,30902,e,6935384738220.471,f
36890,ac2g,2678,ac2g,30902,e,6935384738221.642,f
7,ac2g,2688,ac2g,0,e,6935384776384.044,f
36890,ac2g,2688,ac2g,30902,,6935384738262.462,s
7,ac2g,2702,ac2g,0,e,6935384776435.596,f
36890,ac2g,2702,ac2g,30902,,6935384738292.969,s
36890,ac2g,2741,ac2g,30902,e,6935384739368.726,f
36890,ac2g,2742,ac2g,30902,,6935384739371.875,s
36890,ac2g,2743,ac2g,30902,,6935384739375.622,s
36890,ac2g,2744,ac2g,30902,,6935384739377.721,s
36890,ac2g,2745,ac2g,30902,,6935384739379.774,s
36890,ac2g,2746,ac2g,30902,e,6935384739380.702,f
36890,ac2g,2747,ac2g,30902,e,6935384739381.905,f
36890,ac2g,2748,ac2g,30902,e,6935384739382.862,f
36890,ac2g,2749,ac2g,30902,e,6935384739383.614,f
30,ac2g,2750,ac2g,0,e,6935384776667.372,f
36890,ac2g,2750,ac2g,30902,,6935384739389.655,s
30,ac2g,2752,ac2g,0,e,6935384776674.252,f
36890,ac2g,2752,ac2g,30902,,6935384739408.837,s
36890,ac2g,2760,ac2g,30902,e,6935384739441.675,f
36890,ac2g,2763,ac2g,30902,,6935384739446.377,s
30,ac2g,2764,ac2g,0,e,6935384780847.824,f
36890,ac2g,2764,ac2g,30902,,6935384739447.384,s
30,ac2g,2765,ac2g,0,e,6935384783884.915,f
36890,ac2g,2765,ac2g,30902,,6935384739454.911,s
30,ac2g,2767,ac2g,0,e,6935384783890.355,f
36890,ac2g,2767,ac2g,30902,,6935384739461.597,s
36890,ac2g,2775,ac2g,30902,e,6935384739475.003,f
36890,ac2g,2778,ac2g,30902,,6935384739476.495,s
30,ac2g,2779,ac2g,0,e,6935384785580.597,f
36890,ac2g,2779,ac2g,30902,,6935384739476.937,s
30,ac2g,2780,ac2g,0,e,6935384788638.008,f
36890,ac2g,2780,ac2g,30902,,6935384739482.198,s
30,ac2g,2782,ac2g,0,e,6935384788645.656,f
36890,ac2g,2782,ac2g,30902,,6935384739487.957,s
36890,ac2g,2790,ac2g,30902,e,6935384739500.829,f
36890,ac2g,2793,ac2g,30902,,6935384739502.296,s
30,ac2g,2794,ac2g,0,e,6935384792778.78,f
36890,ac2g,2794,ac2g,30902,,6935384739502.701,s
30,ac2g,2795,ac2g,0,e,6935384793392.636,f
36890,ac2g,2795,ac2g,30902,,6935384739507.942,s
30,ac2g,2797,ac2g,0,e,6935384793399.26,f
36890,ac2g,2797,ac2g,30902,,6935384739513.392,s
36890,ac2g,2805,ac2g,30902,e,6935384739525.74,f
36890,ac2g,2808,ac2g,30902,,6935384739527.212,s
30,ac2g,2809,ac2g,0,e,6935384797509.504,f
36890,ac2g,2809,ac2g,30902,,6935384739527.577,s
30,ac2g,2810,ac2g,0,e,6935384798121.057,f
36890,ac2g,2810,ac2g,30902,,6935384739532.882,s
30,ac2g,2812,ac2g,0,e,6935384798126.785,f
36890,ac2g,2812,ac2g,30902,,6935384739538.436,s
36890,ac2g,2820,ac2g,30902,e,6935384739550.224,f
36890,ac2g,2823,ac2g,30902,,6935384739551.706,s
30,ac2g,2824,ac2g,0,e,6935384802223.588,f
36890,ac2g,2824,ac2g,30902,,6935384739552.067,s
30,ac2g,2825,ac2g,0,e,6935384802835.461,f
36890,ac2g,2825,ac2g,30902,,6935384739558.105,s
30,ac2g,2827,ac2g,0,e,6935384802842.085,f
36890,ac2g,2827,ac2g,30902,,6935384739563.42,s
36890,ac2g,2835,ac2g,30902,e,6935384739575.384,f
36890,ac2g,2838,ac2g,30902,,6935384739576.846,s
30,ac2g,2839,ac2g,0,e,6935384807018.665,f
36890,ac2g,2839,ac2g,30902,,6935384739577.21,s
30,ac2g,2840,ac2g,0,e,6935384807630.921,f
36890,ac2g,2840,ac2g,30902,,6935384739582.253,s
30,ac2g,2842,ac2g,0,e,6935384807637.898,f
36890,ac2g,2842,ac2g,30902,,6935384739588.05,s
36890,ac2g,2850,ac2g,30902,e,6935384739598.884,f
36890,ac2g,2853,ac2g,30902,,6935384739600.382,s
30,ac2g,2854,ac2g,0,e,6935384811820.077,f
36890,ac2g,2854,ac2g,30902,,6935384739600.754,s
30,ac2g,2855,ac2g,0,e,6935384812432.622,f
36890,ac2g,2855,ac2g,30902,,6935384739605.839,s
30,ac2g,2857,ac2g,0,e,6935384812437.998,f
36890,ac2g,2857,ac2g,30902,,6935384739611.257,s
36890,ac2g,2865,ac2g,30902,e,6935384739623.36,f
36890,ac2g,2868,ac2g,30902,,6935384739624.894,s
30,ac2g,2869,ac2g,0,e,6935384816557.714,f
36890,ac2g,2869,ac2g,30902,,6935384739625.259,s
30,ac2g,2870,ac2g,0,e,6935384819603.957,f
36890,ac2g,2870,ac2g,30902,,6935384739631.377,s
30,ac2g,2872,ac2g,0,e,6935384819610.709,f
36890,ac2g,2872,ac2g,30902,,6935384739639.33,s
36890,ac2g,2880,ac2g,30902,e,6935384739650.542,f
36890,ac2g,2883,ac2g,30902,,6935384739652.014,s
30,ac2g,2884,ac2g,0,e,6935384821293.75,f
36890,ac2g,2884,ac2g,30902,,6935384739652.373,s
30,ac2g,2885,ac2g,0,e,6935384822774.327,f
36890,ac2g,2885,ac2g,30902,,6935384739658.125,s
