ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6935384737297.825,36890,30902,0,59.278,cpu_op,X,,autograd::engine::evaluate_function: SumBackward0,,1,,,0,1903,2049
6935384737312.06,36890,30902,1,35.304,cpu_op,X,"[""float""]",SumBackward0,[[]],1,"[""""]",[[]],0,1903,2050
6935384737326.327,36890,30902,2,19.811,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar""]",aten::expand,"[[], [], []]",,"["""", ""[300, 15]"", ""False""]","[[], [], []]",0,,2051
6935384737335.486,36890,30902,3,4.857,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[], [], [], []]",,"["""", ""[300, 15]"", ""[0, 0]"", """"]","[[], [], [], []]",0,,2052
6935384737367.169,36890,30902,4,347.04,cpu_op,X,,autograd::engine::evaluate_function: AddmmBackward0,,1,,,0,1902,2053
6935384737370.667,36890,30902,5,278.782,cpu_op,X,"[""float""]",AddmmBackward0,"[[0, 0]]",1,"[""""]","[[300, 15]]",0,1902,2054
6935384737377.594,36890,30902,6,11.276,cpu_op,X,"[""float""]",aten::t,"[[1, 50]]",,"[""""]","[[50, 15]]",0,,2055
6935384737382.714,36890,30902,7,4.261,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[1, 50], [], []]",,"["""", ""0"", ""1""]","[[50, 15], [], []]",0,,2056
6935384737385.432,36890,30902,8,0.855,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[1, 50], [], [], []]",,"["""", ""[15, 50]"", ""[50, 1]"", """"]","[[50, 15], [], [], []]",0,,2057
6935384737395.538,36890,30902,9,143.951,cpu_op,X,"[""float"", ""float""]",aten::mm,"[[0, 0], [50, 1]]",,"["""", """"]","[[300, 15], [15, 50]]",0,,2058
6935384737417.056,36890,30902,10,69.635,cpu_op,X,"[""float"", ""Scalar""]",aten::clone,"[[0, 0], []]",,"["""", ""0""]","[[300, 15], []]",0,,2059
6935384737419.4,36890,30902,11,14.172,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[0, 0], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[300, 15], [], [], [], [], []]",0,,2060
6935384737424.6,36890,30902,12,8.029,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[300, 15]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,2061
6935384737437.04,36890,30902,13,48.952,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::copy_,"[[15, 1], [0, 0], []]",,"["""", """", ""False""]","[[300, 15], [300, 15], []]",0,,2062
6935384737544.673,36890,30902,14,8.749,cpu_op,X,"[""float""]",aten::t,"[[0, 0]]",,"[""""]","[[300, 15]]",0,,2063
6935384737547.063,36890,30902,15,4.747,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[0, 0], [], []]",,"["""", ""0"", ""1""]","[[300, 15], [], []]",0,,2064
6935384737550.013,36890,30902,16,1.284,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[0, 0], [], [], []]",,"["""", ""[15, 300]"", ""[0, 0]"", """"]","[[300, 15], [], [], []]",0,,2065
6935384737565.763,36890,30902,17,72.425,cpu_op,X,"[""float"", ""float""]",aten::mm,"[[0, 0], [50, 1]]",,"["""", """"]","[[15, 300], [300, 50]]",0,,2066
6935384737575.311,36890,30902,18,32.874,cpu_op,X,"[""float"", ""Scalar""]",aten::clone,"[[0, 0], []]",,"["""", ""0""]","[[15, 300], []]",0,,2067
6935384737577.02,36890,30902,19,9.328,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[0, 0], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[15, 300], [], [], [], [], []]",0,,2068
6935384737579.636,36890,30902,20,5.975,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[15, 300]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,2069
6935384737588.042,36890,30902,21,19.559,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::copy_,"[[300, 1], [0, 0], []]",,"["""", """", ""False""]","[[15, 300], [15, 300], []]",0,,2070
6935384737640.549,36890,30902,22,7.275,cpu_op,X,"[""float""]",aten::t,"[[50, 1]]",,"[""""]","[[15, 50]]",0,,2071
6935384737642.205,36890,30902,23,4.254,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[50, 1], [], []]",,"["""", ""0"", ""1""]","[[15, 50], [], []]",0,,2072
6935384737644.847,36890,30902,24,1.101,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[50, 1], [], [], []]",,"["""", ""[50, 15]"", ""[1, 50]"", """"]","[[15, 50], [], [], []]",0,,2073
6935384737655.362,36890,30902,25,32.608,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,"[[0, 0], [], [], []]",,"["""", ""[0]"", ""True"", """"]","[[300, 15], [], [], []]",0,,2074
6935384737693.979,36890,30902,26,4.691,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[15, 1], []]",,"["""", ""[15]""]","[[1, 15], []]",0,,2075
6935384737733.127,36890,30902,27,23.237,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,2076
