ts,tid,pid,cbid,dur,cat,ph,name,correlation,External id
6935384739447.384,36890,30902,307,6.277,cuda_driver,X,cuLaunchKernel,2764,2121
6935384739476.937,36890,30902,307,4.531,cuda_driver,X,cuLaunchKernel,2779,2121
6935384739502.701,36890,30902,307,4.479,cuda_driver,X,cuLaunchKernel,2794,2121
6935384739527.577,36890,30902,307,4.553,cuda_driver,X,cuLaunchKernel,2809,2121
6935384739552.067,36890,30902,307,5.239,cuda_driver,X,cuLaunchKernel,2824,2121
6935384739577.21,36890,30902,307,4.284,cuda_driver,X,cuLaunchKernel,2839,2121
6935384739600.754,36890,30902,307,4.334,cuda_driver,X,cuLaunchKernel,2854,2121
6935384739625.259,36890,30902,307,5.365,cuda_driver,X,cuLaunchKernel,2869,2121
6935384739652.373,36890,30902,307,4.921,cuda_driver,X,cuLaunchKernel,2884,2121
6935384740925.709,36890,30902,307,9.849,cuda_driver,X,cuLaunchKernel,3042,2121
6935384740953.929,36890,30902,307,6.038,cuda_driver,X,cuLaunchKernel,3054,2121
6935384740971.159,36890,30902,307,5.116,cuda_driver,X,cuLaunchKernel,3067,2121
6935384740986.75,36890,30902,307,6.628,cuda_driver,X,cuLaunchKernel,3080,2121
6935384741004.959,36890,30902,307,4.927,cuda_driver,X,cuLaunchKernel,3092,2121
6935384741019.97,36890,30902,307,7.057,cuda_driver,X,cuLaunchKernel,3105,2121
6935384741036.626,36890,30902,307,5.951,cuda_driver,X,cuLaunchKernel,3118,2121
6935384741053.38,36890,30902,307,5.412,cuda_driver,X,cuLaunchKernel,3130,2121
6935384741068.389,36890,30902,307,6.655,cuda_driver,X,cuLaunchKernel,3143,2121
6935384741084.685,36890,30902,307,7.146,cuda_driver,X,cuLaunchKernel,3156,2121
6935384741102.899,36890,30902,307,5.686,cuda_driver,X,cuLaunchKernel,3168,2121
6935384741118.345,36890,30902,307,7.236,cuda_driver,X,cuLaunchKernel,3181,2121
6935384741135.428,36890,30902,307,4.783,cuda_driver,X,cuLaunchKernel,3194,2121
6935384741151.039,36890,30902,307,4.646,cuda_driver,X,cuLaunchKernel,3206,2121
6935384741165.349,36890,30902,307,4.734,cuda_driver,X,cuLaunchKernel,3219,2121
6935384741179.704,36890,30902,307,5.397,cuda_driver,X,cuLaunchKernel,3232,2121
6935384741195.836,36890,30902,307,4.585,cuda_driver,X,cuLaunchKernel,3244,2121
6935384741209.989,36890,30902,307,4.795,cuda_driver,X,cuLaunchKernel,3257,2121
6935384741224.401,36890,30902,307,5.173,cuda_driver,X,cuLaunchKernel,3270,2121
6935384741240.375,36890,30902,307,4.59,cuda_driver,X,cuLaunchKernel,3282,2121
6935384741254.571,36890,30902,307,6.495,cuda_driver,X,cuLaunchKernel,3295,2121
6935384741270.79,36890,30902,307,4.573,cuda_driver,X,cuLaunchKernel,3308,2121
6935384741286.551,36890,30902,307,5.146,cuda_driver,X,cuLaunchKernel,3320,2121
6935384741301.71,36890,30902,307,5.119,cuda_driver,X,cuLaunchKernel,3333,2121
6935384741316.402,36890,30902,307,6.851,cuda_driver,X,cuLaunchKernel,3346,2121
6935384741334.149,36890,30902,307,4.551,cuda_driver,X,cuLaunchKernel,3358,2121
6935384741348.367,36890,30902,307,4.347,cuda_driver,X,cuLaunchKernel,3371,2121
6935384741362.317,36890,30902,307,5.173,cuda_driver,X,cuLaunchKernel,3384,2121
6935384741378.403,36890,30902,307,4.344,cuda_driver,X,cuLaunchKernel,3396,2121
6935384741392.327,36890,30902,307,4.388,cuda_driver,X,cuLaunchKernel,3409,2121
