tid,cat,name,pid,dur,External id,cbid,correlation,ts,ph
30902,cuda_runtime,cudaLaunchKernel,30902,38.579,1542,211,2460,6935384736955.67,X
36890,cuda_runtime,cudaLaunchKernel,30902,27.887,2062,211,2486,6935384737453.627,X
36890,cuda_runtime,cudaLaunchKernel,30902,11.762,2058,211,2499,6935384737521.115,X
36890,cuda_runtime,cudaLaunchKernel,30902,8.687,2070,211,2517,6935384737595.782,X
36890,cuda_runtime,cudaLaunchKernel,30902,7.349,2066,211,2530,6935384737626.306,X
36890,cuda_runtime,cudaLaunchKernel,30902,9.099,2074,211,2543,6935384737675.905,X
36890,cuda_runtime,cudaLaunchKernel,30902,10.182,2095,211,2573,6935384737847.926,X
36890,cuda_runtime,cudaMemcpyAsync,30902,23.924,2098,41,2580,6935384737878.814,X
36890,cuda_runtime,cudaLaunchKernel,30902,7.984,2105,211,2598,6935384737955.55,X
36890,cuda_runtime,cudaLaunchKernel,30902,6.888,2108,211,2606,6935384737987.051,X
36890,cuda_runtime,cudaLaunchKernel,30902,6.991,2115,211,2625,6935384738038.82,X
36890,cuda_runtime,cudaMemcpyAsync,30902,20.475,2118,41,2632,6935384738060.739,X
36890,cuda_runtime,cudaLaunchKernel,30902,8.219,2126,211,2651,6935384738167.68,X
36890,cuda_runtime,cudaLaunchKernel,30902,5.769,2131,211,2667,6935384738197.352,X
36890,cuda_runtime,cudaEventRecord,30902,2.963,2121,135,2675,6935384738215.665,X
36890,cuda_runtime,cudaStreamIsCapturing,30902,1.103,2121,317,2676,6935384738219.036,X
36890,cuda_runtime,cudaStreamGetPriority,30902,0.836,2121,203,2677,6935384738220.471,X
36890,cuda_runtime,cudaDeviceGetStreamPriorityRange,30902,0.74,2121,205,2678,6935384738221.642,X
36890,cuda_runtime,cudaLaunchKernel,30902,7.187,2142,211,2688,6935384738262.462,X
36890,cuda_runtime,cudaLaunchKernel,30902,6.631,2147,211,2702,6935384738292.969,X
36890,cuda_runtime,cudaEventRecord,30902,2.458,2121,135,2741,6935384739368.726,X
36890,cuda_runtime,cudaStreamWaitEvent,30902,1.965,2121,147,2742,6935384739371.875,X
36890,cuda_runtime,cudaStreamWaitEvent,30902,0.766,2121,147,2743,6935384739375.622,X
36890,cuda_runtime,cudaStreamWaitEvent,30902,0.665,2121,147,2744,6935384739377.721,X
36890,cuda_runtime,cudaStreamWaitEvent,30902,0.518,2121,147,2745,6935384739379.774,X
36890,cuda_runtime,cudaEventRecord,30902,0.894,2121,135,2746,6935384739380.702,X
36890,cuda_runtime,cudaStreamIsCapturing,30902,0.704,2121,317,2747,6935384739381.905,X
36890,cuda_runtime,cudaStreamGetPriority,30902,0.511,2121,203,2748,6935384739382.862,X
36890,cuda_runtime,cudaDeviceGetStreamPriorityRange,30902,0.614,2121,205,2749,6935384739383.614,X
36890,cuda_runtime,cudaLaunchKernel,30902,14.952,2121,211,2750,6935384739389.655,X
36890,cuda_runtime,cudaLaunchKernel,30902,6.199,2121,211,2752,6935384739408.837,X
36890,cuda_runtime,cudaDeviceGetAttribute,30902,1.254,2121,200,2760,6935384739441.675,X
36890,cuda_runtime,cudaMemsetAsync,30902,0.677,2121,51,2763,6935384739446.377,X
36890,cuda_runtime,cudaLaunchKernel,30902,5.863,2121,211,2765,6935384739454.911,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.588,2121,211,2767,6935384739461.597,X
36890,cuda_runtime,cudaDeviceGetAttribute,30902,0.38,2121,200,2775,6935384739475.003,X
36890,cuda_runtime,cudaMemsetAsync,30902,0.186,2121,51,2778,6935384739476.495,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.978,2121,211,2780,6935384739482.198,X
36890,cuda_runtime,cudaLaunchKernel,30902,5.232,2121,211,2782,6935384739487.957,X
36890,cuda_runtime,cudaDeviceGetAttribute,30902,0.383,2121,200,2790,6935384739500.829,X
36890,cuda_runtime,cudaMemsetAsync,30902,0.177,2121,51,2793,6935384739502.296,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.697,2121,211,2795,6935384739507.942,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.909,2121,211,2797,6935384739513.392,X
36890,cuda_runtime,cudaDeviceGetAttribute,30902,0.39,2121,200,2805,6935384739525.74,X
36890,cuda_runtime,cudaMemsetAsync,30902,0.174,2121,51,2808,6935384739527.212,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.8,2121,211,2810,6935384739532.882,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.341,2121,211,2812,6935384739538.436,X
36890,cuda_runtime,cudaDeviceGetAttribute,30902,0.386,2121,200,2820,6935384739550.224,X
36890,cuda_runtime,cudaMemsetAsync,30902,0.173,2121,51,2823,6935384739551.706,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.496,2121,211,2825,6935384739558.105,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.485,2121,211,2827,6935384739563.42,X
36890,cuda_runtime,cudaDeviceGetAttribute,30902,0.383,2121,200,2835,6935384739575.384,X
36890,cuda_runtime,cudaMemsetAsync,30902,0.172,2121,51,2838,6935384739576.846,X
36890,cuda_runtime,cudaLaunchKernel,30902,5.008,2121,211,2840,6935384739582.253,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.236,2121,211,2842,6935384739588.05,X
36890,cuda_runtime,cudaDeviceGetAttribute,30902,0.388,2121,200,2850,6935384739598.884,X
36890,cuda_runtime,cudaMemsetAsync,30902,0.175,2121,51,2853,6935384739600.382,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.652,2121,211,2855,6935384739605.839,X
36890,cuda_runtime,cudaLaunchKernel,30902,5.207,2121,211,2857,6935384739611.257,X
36890,cuda_runtime,cudaDeviceGetAttribute,30902,0.384,2121,200,2865,6935384739623.36,X
36890,cuda_runtime,cudaMemsetAsync,30902,0.174,2121,51,2868,6935384739624.894,X
36890,cuda_runtime,cudaLaunchKernel,30902,7.194,2121,211,2870,6935384739631.377,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.499,2121,211,2872,6935384739639.33,X
36890,cuda_runtime,cudaDeviceGetAttribute,30902,0.386,2121,200,2880,6935384739650.542,X
36890,cuda_runtime,cudaMemsetAsync,30902,0.17,2121,51,2883,6935384739652.014,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.42,2121,211,2885,6935384739658.125,X
36890,cuda_runtime,cudaLaunchKernel,30902,4.478,2121,211,2887,6935384739663.309,X
36890,cuda_runtime,cudaLaunchKernel,30902,6.538,2121,211,2892,6935384739675.357,X
36890,cuda_runtime,cudaEventRecord,30902,1.478,2121,135,2894,6935384739683.266,X
36890,cuda_runtime,cudaStreamIsCapturing,30902,0.587,2121,317,2895,6935384739684.997,X
36890,cuda_runtime,cudaStreamGetPriority,30902,0.426,2121,203,2896,6935384739685.811,X
36890,cuda_runtime,cudaDeviceGetStreamPriorityRange,30902,0.473,2121,205,2897,6935384739686.426,X
36890,cuda_runtime,cudaEventRecord,30902,0.63,2121,135,2898,6935384739687.403,X
36890,cuda_runtime,cudaStreamWaitEvent,30902,1.316,2121,147,2899,6935384739688.32,X
36890,cuda_runtime,cudaEventRecord,30902,0.54,2121,135,2900,6935384739689.876,X
36890,cuda_runtime,cudaStreamWaitEvent,30902,0.995,2121,147,2901,6935384739690.584,X
36890,cuda_runtime,cudaEventRecord,30902,0.53,2121,135,2902,6935384739691.775,X
36890,cuda_runtime,cudaStreamWaitEvent,30902,0.82,2121,147,2903,6935384739692.457,X
36890,cuda_runtime,cudaEventRecord,30902,0.531,2121,135,2904,6935384739693.457,X
36890,cuda_runtime,cudaStreamWaitEvent,30902,0.657,2121,147,2905,6935384739694.143,X
36890,cuda_runtime,cudaEventRecord,30902,1.387,2121,135,2909,6935384739766.764,X
36890,cuda_runtime,cudaStreamIsCapturing,30902,0.408,2121,317,2910,6935384739768.342,X
36890,cuda_runtime,cudaStreamGetPriority,30902,0.375,2121,203,2911,6935384739768.935,X
36890,cuda_runtime,cudaDeviceGetStreamPriorityRange,30902,0.377,2121,205,2912,6935384739769.502,X
