ts,tid,pid,cat,ph,bp,name,id
6083647116976.769,383547,383547,ac2g,f,e,ac2g,8
6083647116989.415,383547,383547,ac2g,f,e,ac2g,9
6083647116991.052,383547,383547,ac2g,f,e,ac2g,10
6083647116992.642,383547,383547,ac2g,f,e,ac2g,11
6083647120702.857,7,0,ac2g,f,e,ac2g,15
6083647117016.659,383547,383547,ac2g,s,,ac2g,15
6083647117043.81,383547,383547,ac2g,f,e,ac2g,16
6083647117048.348,383547,383547,ac2g,s,,ac2g,17
6083647120705.801,7,0,ac2g,f,e,ac2g,18
6083647117049.614,383547,383547,ac2g,s,,ac2g,18
6083647117058.89,383547,383547,ac2g,f,e,ac2g,19
6083647120746.122,7,0,ac2g,f,e,ac2g,26
6083647117122.714,383547,383547,ac2g,s,,ac2g,26
6083647120792.905,7,0,ac2g,f,e,ac2g,32
6083647117231.142,383547,383547,ac2g,s,,ac2g,32
6083647117367.842,383547,383547,ac2g,f,e,ac2g,46
6083647117371.552,383547,383547,ac2g,f,e,ac2g,47
6083647117372.925,383547,383547,ac2g,f,e,ac2g,48
6083647117374.091,383547,383547,ac2g,f,e,ac2g,49
6083647117413.115,383547,383547,ac2g,f,e,ac2g,73
6083647117414.526,383547,383547,ac2g,f,e,ac2g,74
6083647117415.19,383547,383547,ac2g,f,e,ac2g,75
6083647117415.838,383547,383547,ac2g,f,e,ac2g,76
6083647120795.913,7,0,ac2g,f,e,ac2g,84
6083647117429.208,383547,383547,ac2g,s,,ac2g,84
6083647120860.841,7,0,ac2g,f,e,ac2g,96
6083647117527.516,383547,383547,ac2g,s,,ac2g,96
6083647120907.945,7,0,ac2g,f,e,ac2g,104
6083647117615.273,383547,383547,ac2g,s,,ac2g,104
6083647117732.661,383547,383547,ac2g,f,e,ac2g,119
6083647117736.163,383547,383547,ac2g,f,e,ac2g,120
6083647117737.357,383547,383547,ac2g,f,e,ac2g,121
6083647117738.467,383547,383547,ac2g,f,e,ac2g,122
6083647117761.234,383547,383547,ac2g,f,e,ac2g,126
6083647120955.113,7,0,ac2g,f,e,ac2g,127
6083647117764.073,383547,383547,ac2g,s,,ac2g,127
6083647120959.049,7,0,ac2g,f,e,ac2g,129
6083647117777.93,383547,383547,ac2g,s,,ac2g,129
6083647117783.965,383547,383547,ac2g,f,e,ac2g,130
6083647121104.137,7,0,ac2g,f,e,ac2g,137
6083647117813.675,383547,383547,ac2g,s,,ac2g,137
6083647121150.857,7,0,ac2g,f,e,ac2g,143
6083647117885.993,383547,383547,ac2g,s,,ac2g,143
6083647117965.858,383547,383547,ac2g,f,e,ac2g,157
6083647117968.909,383547,383547,ac2g,f,e,ac2g,158
6083647117970.004,383547,383547,ac2g,f,e,ac2g,159
6083647117970.972,383547,383547,ac2g,f,e,ac2g,160
6083647118010.662,383547,383547,ac2g,f,e,ac2g,184
6083647118012.041,383547,383547,ac2g,f,e,ac2g,185
6083647118012.683,383547,383547,ac2g,f,e,ac2g,186
6083647118013.324,383547,383547,ac2g,f,e,ac2g,187
6083647121153.736,7,0,ac2g,f,e,ac2g,195
6083647118025.804,383547,383547,ac2g,s,,ac2g,195
6083647121219.241,7,0,ac2g,f,e,ac2g,207
6083647118096.234,383547,383547,ac2g,s,,ac2g,207
6083647121265.929,7,0,ac2g,f,e,ac2g,215
6083647118134.752,383547,383547,ac2g,s,,ac2g,215
6083647121313.0,7,0,ac2g,f,e,ac2g,234
6083647118240.781,383547,383547,ac2g,s,,ac2g,234
6083647118376.031,383547,383547,ac2g,f,e,ac2g,245
6083647118379.171,383547,383547,ac2g,f,e,ac2g,246
6083647118380.325,383547,383547,ac2g,f,e,ac2g,247
6083647118381.523,383547,383547,ac2g,f,e,ac2g,248
6083647121358.216,7,0,ac2g,f,e,ac2g,252
6083647118400.973,383547,383547,ac2g,s,,ac2g,252
6083647121369.352,7,0,ac2g,f,e,ac2g,254
6083647118415.334,383547,383547,ac2g,s,,ac2g,254
