Input type,tid,cat,Record function id,Ev Idx,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",383547,cpu_op,0,1,aten::conv2d,383547,2290.012,2,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1""]",132,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [1], [], [], [], []]","[[1, 3, 224, 224], [64, 3, 3, 3], [64], [], [], [], []]",6083647114854.46,0,X
"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",383547,cpu_op,0,2,aten::convolution,383547,2279.24,3,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]",132,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [1], [], [], [], [], [], []]","[[1, 3, 224, 224], [64, 3, 3, 3], [64], [], [], [], [], [], []]",6083647114863.977,0,X
"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",383547,cpu_op,0,3,aten::_convolution,383547,2259.558,4,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]",,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [1], [], [], [], [], [], [], [], [], [], []]","[[1, 3, 224, 224], [64, 3, 3, 3], [64], [], [], [], [], [], [], [], [], [], []]",6083647114878.348,,X
"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",383547,cpu_op,0,4,aten::cudnn_convolution,383547,2175.837,5,"["""", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]",,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [], [], [], [], [], [], []]","[[1, 3, 224, 224], [64, 3, 3, 3], [], [], [], [], [], [], []]",6083647114892.812,,X
"[""float"", ""ScalarList""]",383547,cpu_op,0,5,aten::reshape,383547,7.48,6,"["""", ""[1, -1, 1, 1]""]",,"[[1], []]","[[64], []]",6083647117086.712,,X
"[""float"", ""ScalarList""]",383547,cpu_op,0,6,aten::view,383547,2.962,7,"["""", ""[1, -1, 1, 1]""]",,"[[1], []]","[[64], []]",6083647117090.829,,X
"[""float"", ""float"", ""Scalar""]",383547,cpu_op,0,7,aten::add_,383547,29.576,8,"["""", """", ""1""]",,"[[3211264, 50176, 224, 1], [64, 1, 1, 1], []]","[[1, 64, 224, 224], [1, 64, 1, 1], []]",6083647117106.342,,X
"[""long int"", ""long int"", ""Scalar""]",383547,cpu_op,0,8,aten::add_,383547,25.282,9,"["""", """", ""1""]",133,"[[], [], []]","[[], [], []]",6083647117219.925,0,X
"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",383547,cpu_op,0,9,aten::batch_norm,383547,149.416,10,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",133,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], [], []]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], [], []]",6083647117300.489,0,X
"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",383547,cpu_op,0,10,aten::_batch_norm_impl_index,383547,144.313,11,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",133,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], [], []]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], [], []]",6083647117305.052,0,X
