tid,cat,name,pid,dur,External id,cbid,correlation,ts,ph
383547,cuda_runtime,cudaEventRecord,383547,12.215,5,135,8,6083647116976.769,X
383547,cuda_runtime,cudaStreamIsCapturing,383547,1.198,5,317,9,6083647116989.415,X
383547,cuda_runtime,cudaStreamGetPriority,383547,1.0,5,203,10,6083647116991.052,X
383547,cuda_runtime,cudaDeviceGetStreamPriorityRange,383547,0.776,5,205,11,6083647116992.642,X
383547,cuda_runtime,cudaLaunchKernel,383547,26.32,5,211,15,6083647117016.659,X
383547,cuda_runtime,cudaPeekAtLastError,383547,0.57,5,11,16,6083647117043.81,X
383547,cuda_runtime,cudaMemsetAsync,383547,0.514,5,51,17,6083647117048.348,X
383547,cuda_runtime,cudaLaunchKernel,383547,8.756,5,211,18,6083647117049.614,X
383547,cuda_runtime,cudaPeekAtLastError,383547,0.164,5,11,19,6083647117058.89,X
383547,cuda_runtime,cudaLaunchKernel,383547,9.701,8,211,26,6083647117122.714,X
383547,cuda_runtime,cudaLaunchKernel,383547,10.587,9,211,32,6083647117231.142,X
383547,cuda_runtime,cudaEventRecord,383547,3.32,12,135,46,6083647117367.842,X
383547,cuda_runtime,cudaStreamIsCapturing,383547,1.041,12,317,47,6083647117371.552,X
383547,cuda_runtime,cudaStreamGetPriority,383547,0.795,12,203,48,6083647117372.925,X
383547,cuda_runtime,cudaDeviceGetStreamPriorityRange,383547,0.697,12,205,49,6083647117374.091,X
383547,cuda_runtime,cudaEventRecord,383547,1.206,12,135,73,6083647117413.115,X
383547,cuda_runtime,cudaStreamIsCapturing,383547,0.436,12,317,74,6083647117414.526,X
383547,cuda_runtime,cudaStreamGetPriority,383547,0.431,12,203,75,6083647117415.19,X
383547,cuda_runtime,cudaDeviceGetStreamPriorityRange,383547,0.439,12,205,76,6083647117415.838,X
383547,cuda_runtime,cudaLaunchKernel,383547,11.547,12,211,84,6083647117429.208,X
383547,cuda_runtime,cudaMemcpyAsync,383547,19.504,23,41,96,6083647117527.516,X
383547,cuda_runtime,cudaLaunchKernel,383547,10.788,25,211,104,6083647117615.273,X
383547,cuda_runtime,cudaEventRecord,383547,3.105,30,135,119,6083647117732.661,X
383547,cuda_runtime,cudaStreamIsCapturing,383547,0.835,30,317,120,6083647117736.163,X
383547,cuda_runtime,cudaStreamGetPriority,383547,0.763,30,203,121,6083647117737.357,X
383547,cuda_runtime,cudaDeviceGetStreamPriorityRange,383547,0.581,30,205,122,6083647117738.467,X
383547,cuda_runtime,cudaPeekAtLastError,383547,0.496,30,11,126,6083647117761.234,X
383547,cuda_runtime,cudaLaunchKernel,383547,11.564,30,211,127,6083647117764.073,X
383547,cuda_runtime,cudaLaunchKernel,383547,5.49,30,211,129,6083647117777.93,X
383547,cuda_runtime,cudaPeekAtLastError,383547,0.141,30,11,130,6083647117783.965,X
383547,cuda_runtime,cudaLaunchKernel,383547,7.213,33,211,137,6083647117813.675,X
383547,cuda_runtime,cudaLaunchKernel,383547,7.661,34,211,143,6083647117885.993,X
383547,cuda_runtime,cudaEventRecord,383547,2.687,37,135,157,6083647117965.858,X
383547,cuda_runtime,cudaStreamIsCapturing,383547,0.789,37,317,158,6083647117968.909,X
383547,cuda_runtime,cudaStreamGetPriority,383547,0.659,37,203,159,6083647117970.004,X
383547,cuda_runtime,cudaDeviceGetStreamPriorityRange,383547,0.637,37,205,160,6083647117970.972,X
