tid,cat,memory bandwidth (GB/s),name,device,pid,dur,External id,stream,context,bytes,correlation,ts,ph
7,gpu_memcpy,138.83695240977528,Memcpy DtoD (Device -> Device),0,0,46.368,23,7,1,12845056,96,6083647120860.841,X
7,gpu_memcpy,140.4844587352626,Memcpy DtoD (Device -> Device),0,0,45.824,48,7,1,12845056,207,6083647121219.241,X
7,gpu_memcpy,138.16939526278424,Memcpy DtoD (Device -> Device),0,0,23.296,75,7,1,6422528,338,6083647121481.768,X
7,gpu_memcpy,137.982383018949,Memcpy DtoD (Device -> Device),0,0,23.327,100,7,1,6422528,453,6083647121711.144,X
7,gpu_memcpy,183.55324378393826,Memcpy DtoD (Device -> Device),0,0,8.768,127,7,1,3211264,584,6083647121871.176,X
7,gpu_memcpy,190.51162790697674,Memcpy DtoD (Device -> Device),0,0,8.448,152,7,1,3211264,701,6083647122017.383,X
7,gpu_memcpy,191.2263443101292,Memcpy DtoD (Device -> Device),0,0,8.416,177,7,1,3211264,818,6083647122167.367,X
7,gpu_memcpy,326.54708155379296,Memcpy DtoD (Device -> Device),0,0,2.464,204,7,1,1605632,953,6083647122289.159,X
7,gpu_memcpy,322.35133507327845,Memcpy DtoD (Device -> Device),0,0,2.497,229,7,1,1605632,1073,6083647122453.062,X
7,gpu_memcpy,314.3367267032107,Memcpy DtoD (Device -> Device),0,0,2.56,254,7,1,1605632,1193,6083647122616.646,X
7,gpu_memcpy,98.23984336759668,Memcpy DtoD (Device -> Device),0,0,2.047,281,7,1,401408,1329,6083647127320.958,X
7,gpu_memcpy,118.6193853427896,Memcpy DtoD (Device -> Device),0,0,1.696,306,7,1,401408,1450,6083647127425.117,X
7,gpu_memcpy,120.90602409638554,Memcpy DtoD (Device -> Device),0,0,1.664,331,7,1,401408,1571,6083647127528.477,X
