shared memory,pid,dur,stream,ts,est. achieved occupancy %,tid,cat,warps per SM,grid,registers per thread,correlation,ph,name,device,External id,queued,blocks per SM,context,block
0,0,2.209,7,6083647120702.857,39,7,kernel,18.761906,"[197, 1, 1]",16,15,X,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",0,5,0,2.345238,1,"[256, 1, 1]"
16384,0,39.52,7,6083647120705.801,33,7,kernel,18.666666,"[392, 1, 1]",128,18,X,_5x_cudnn_ampere_scudnn_128x64_relu_medium_nn_v1,0,5,0,4.666667,1,"[128, 1, 1]"
0,0,46.015,7,6083647120746.122,100,7,kernel,597.333313,"[12544, 1, 1]",16,26,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,8,0,149.333328,1,"[128, 1, 1]"
0,0,2.272,7,6083647120792.905,0,7,kernel,0.047619,"[1, 1, 1]",24,32,X,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",0,9,0,0.011905,1,"[128, 1, 1]"
144,0,64.096,7,6083647120795.913,25,7,kernel,12.190476,"[64, 1, 1]",40,84,X,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, 512, true, 1, true>(cudnnTensorStruct, float const*, cudnnTensorStruct, float*, float const*, float const*, float, float, float*, float*, float*, float*, float, float)",0,12,0,0.761905,1,"[512, 1, 1]"
0,0,46.368,7,6083647120907.945,100,7,kernel,298.666656,"[6272, 1, 1]",18,104,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)",0,25,0,74.666664,1,"[128, 1, 1]"
8704,0,3.136,7,6083647120955.113,3,7,kernel,1.52381,"[2, 16, 1]",40,127,X,"void cudnn::winograd::generateWinogradTilesKernel<0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)",0,30,0,0.380952,1,"[32, 4, 1]"
49152,0,144.192,7,6083647120959.049,33,7,kernel,74.666664,"[2, 28, 14]",126,129,X,_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,0,30,0,9.333333,1,"[256, 1, 1]"
0,0,46.016,7,6083647121104.137,100,7,kernel,597.333313,"[12544, 1, 1]",16,137,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,33,0,149.333328,1,"[128, 1, 1]"
0,0,2.112,7,6083647121150.857,0,7,kernel,0.047619,"[1, 1, 1]",24,143,X,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",0,34,0,0.011905,1,"[128, 1, 1]"
144,0,64.705,7,6083647121153.736,25,7,kernel,12.190476,"[64, 1, 1]",40,195,X,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, 512, true, 1, true>(cudnnTensorStruct, float const*, cudnnTensorStruct, float*, float const*, float const*, float, float, float*, float*, float*, float*, float, float)",0,37,0,0.761905,1,"[512, 1, 1]"
0,0,46.271,7,6083647121265.929,100,7,kernel,298.666656,"[6272, 1, 1]",18,215,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)",0,50,0,74.666664,1,"[128, 1, 1]"
0,0,44.417,7,6083647121313.0,100,7,kernel,298.666656,"[3136, 1, 1]",26,234,X,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",0,53,0,37.333332,1,"[256, 1, 1]"
4224,0,10.336,7,6083647121358.216,100,7,kernel,74.666664,"[392, 2, 1]",38,252,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,57,0,9.333333,1,"[256, 1, 1]"
4224,0,4.0,7,6083647121369.352,51,7,kernel,24.380953,"[1, 2, 128]",38,254,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,57,0,3.047619,1,"[256, 1, 1]"
98304,0,62.336,7,6083647121374.12,0,7,kernel,4.666667,"[1, 49, 1]",254,259,X,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize256x128x32_stage2_warpsize4x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,0,57,0,0.583333,1,"[256, 1, 1]"
0,0,17.568,7,6083647121437.608,100,7,kernel,298.666656,"[6272, 1, 1]",16,268,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,60,0,74.666664,1,"[128, 1, 1]"
0,0,2.24,7,6083647121455.912,0,7,kernel,0.047619,"[1, 1, 1]",24,274,X,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",0,61,0,0.011905,1,"[128, 1, 1]"
144,0,22.048,7,6083647121458.952,51,7,kernel,24.380953,"[128, 1, 1]",40,326,X,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, 512, true, 1, true>(cudnnTensorStruct, float const*, cudnnTensorStruct, float*, float const*, float const*, float, float, float*, float*, float*, float*, float, float)",0,64,0,1.52381,1,"[512, 1, 1]"
0,0,23.552,7,6083647121505.8,100,7,kernel,149.333328,"[3136, 1, 1]",18,346,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)",0,77,0,37.333332,1,"[128, 1, 1]"
4224,0,21.376,7,6083647121530.152,100,7,kernel,149.333328,"[392, 4, 1]",38,368,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,82,0,18.666666,1,"[256, 1, 1]"
4224,0,4.96,7,6083647121552.712,100,7,kernel,48.761906,"[1, 4, 128]",38,370,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,82,0,6.095238,1,"[256, 1, 1]"
49152,0,102.08,7,6083647121560.872,17,7,kernel,9.333333,"[1, 98, 2]",230,374,X,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,0,82,0,2.333333,1,"[128, 1, 1]"
0,0,20.384,7,6083647121663.752,100,7,kernel,298.666656,"[6272, 1, 1]",16,383,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,85,0,74.666664,1,"[128, 1, 1]"
0,0,2.304,7,6083647121684.936,0,7,kernel,0.047619,"[1, 1, 1]",24,389,X,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",0,86,0,0.011905,1,"[128, 1, 1]"
