tid,cat,id,name,pid,bp,ts,ph
7,ac2g,3514,ac2g,0,e,6940680715155.497,f
159650,ac2g,3514,ac2g,159650,,6940680702956.206,s
7,ac2g,3527,ac2g,0,e,6940680723774.624,f
159650,ac2g,3527,ac2g,159650,,6940680715957.049,s
7,ac2g,3553,ac2g,0,e,6940680744734.245,f
159840,ac2g,3553,ac2g,159650,,6940680722830.04,s
159840,ac2g,3560,ac2g,159650,e,6940680742810.775,f
159840,ac2g,3562,ac2g,159650,e,6940680742822.864,f
159840,ac2g,3571,ac2g,159650,e,6940680742847.331,f
159840,ac2g,3580,ac2g,159650,e,6940680742861.222,f
159840,ac2g,3591,ac2g,159650,e,6940680743196.938,f
7,ac2g,3592,ac2g,0,e,6940680744740.901,f
159840,ac2g,3592,ac2g,159650,,6940680743326.546,s
7,ac2g,3610,ac2g,0,e,6940680744775.814,f
159840,ac2g,3610,ac2g,159650,,6940680743434.473,s
159840,ac2g,3623,ac2g,159650,e,6940680743488.665,f
7,ac2g,3624,ac2g,0,e,6940680747085.844,f
159840,ac2g,3624,ac2g,159650,,6940680746929.603,s
7,ac2g,3637,ac2g,0,e,6940680747115.828,f
159840,ac2g,3637,ac2g,159650,,6940680747034.352,s
7,ac2g,3666,ac2g,0,e,6940680747371.158,f
159840,ac2g,3666,ac2g,159650,,6940680747259.488,s
159840,ac2g,3687,ac2g,159650,e,6940680747389.844,f
7,ac2g,3688,ac2g,0,e,6940680747905.241,f
159840,ac2g,3688,ac2g,159650,,6940680747404.86,s
7,ac2g,3690,ac2g,0,e,6940680755018.79,f
159840,ac2g,3690,ac2g,159650,,6940680747423.949,s
159840,ac2g,3699,ac2g,159650,e,6940680754878.414,f
159840,ac2g,3700,ac2g,159650,e,6940680754881.628,f
159840,ac2g,3711,ac2g,159650,e,6940680755085.572,f
7,ac2g,3712,ac2g,0,e,6940680762867.096,f
159840,ac2g,3712,ac2g,159650,,6940680760639.606,s
7,ac2g,3725,ac2g,0,e,6940680765331.112,f
159840,ac2g,3725,ac2g,159650,,6940680760733.782,s
7,ac2g,3754,ac2g,0,e,6940680765336.616,f
159840,ac2g,3754,ac2g,159650,,6940680761026.516,s
159840,ac2g,3775,ac2g,159650,e,6940680761120.934,f
7,ac2g,3776,ac2g,0,e,6940680765339.464,f
159840,ac2g,3776,ac2g,159650,,6940680761136.406,s
7,ac2g,3777,ac2g,0,e,6940680765342.024,f
159840,ac2g,3777,ac2g,159650,,6940680761148.761,s
159840,ac2g,3786,ac2g,159650,e,6940680761184.136,f
159840,ac2g,3787,ac2g,159650,e,6940680761186.425,f
159840,ac2g,3798,ac2g,159650,e,6940680761408.38,f
7,ac2g,3799,ac2g,0,e,6940680766036.908,f
159840,ac2g,3799,ac2g,159650,,6940680761425.485,s
7,ac2g,3812,ac2g,0,e,6940680766759.825,f
159840,ac2g,3812,ac2g,159650,,6940680761494.87,s
7,ac2g,3844,ac2g,0,e,6940680766763.473,f
159840,ac2g,3844,ac2g,159650,,6940680761749.887,s
7,ac2g,3853,ac2g,0,e,6940680766769.041,f
159840,ac2g,3853,ac2g,159650,,6940680761772.69,s
7,ac2g,3870,ac2g,0,e,6940680769149.696,f
159840,ac2g,3870,ac2g,159650,,6940680761892.228,s
159840,ac2g,3901,ac2g,159650,e,6940680767000.05,f
159840,ac2g,3903,ac2g,159650,e,6940680767002.777,f
159840,ac2g,3904,ac2g,159650,e,6940680767003.573,f
159840,ac2g,3905,ac2g,159650,e,6940680767005.63,f
159840,ac2g,3906,ac2g,159650,e,6940680767006.681,f
159840,ac2g,3907,ac2g,159650,e,6940680767007.325,f
159840,ac2g,3908,ac2g,159650,e,6940680767007.858,f
159840,ac2g,3909,ac2g,159650,e,6940680767008.32,f
159840,ac2g,3910,ac2g,159650,e,6940680767008.76,f
159840,ac2g,3911,ac2g,159650,e,6940680767009.285,f
159840,ac2g,3912,ac2g,159650,e,6940680767009.835,f
159840,ac2g,3913,ac2g,159650,e,6940680768549.799,f
159840,ac2g,3914,ac2g,159650,e,6940680769598.249,f
159840,ac2g,3915,ac2g,159650,e,6940680769598.794,f
159840,ac2g,3916,ac2g,159650,e,6940680769599.262,f
159840,ac2g,3917,ac2g,159650,e,6940680769599.693,f
159840,ac2g,3918,ac2g,159650,e,6940680769600.342,f
159840,ac2g,3919,ac2g,159650,e,6940680769601.133,f
159840,ac2g,3920,ac2g,159650,e,6940680769601.552,f
159840,ac2g,3921,ac2g,159650,e,6940680769602.14,f
159840,ac2g,3922,ac2g,159650,e,6940680769602.538,f
159840,ac2g,3923,ac2g,159650,e,6940680769602.942,f
159840,ac2g,3924,ac2g,159650,e,6940680769603.334,f
159840,ac2g,3925,ac2g,159650,e,6940680769604.156,f
159840,ac2g,3926,ac2g,159650,e,6940680771684.225,f
159840,ac2g,3927,ac2g,159650,e,6940680771684.727,f
159840,ac2g,3928,ac2g,159650,e,6940680771685.986,f
159840,ac2g,3929,ac2g,159650,e,6940680771697.619,f
159840,ac2g,3930,ac2g,159650,e,6940680771700.342,f
159840,ac2g,3931,ac2g,159650,e,6940680771702.875,f
159840,ac2g,3932,ac2g,159650,e,6940680771705.718,f
159840,ac2g,3933,ac2g,159650,e,6940680771709.26,f
159840,ac2g,3934,ac2g,159650,e,6940680771712.481,f
159840,ac2g,3935,ac2g,159650,e,6940680771714.798,f
159840,ac2g,3936,ac2g,159650,e,6940680771858.4,f
159840,ac2g,3937,ac2g,159650,e,6940680771863.717,f
159840,ac2g,3938,ac2g,159650,e,6940680771865.914,f
159840,ac2g,3939,ac2g,159650,e,6940680771868.721,f
159840,ac2g,3940,ac2g,159650,e,6940680771870.859,f
159840,ac2g,3941,ac2g,159650,e,6940680771873.059,f
159840,ac2g,3942,ac2g,159650,e,6940680771875.317,f
159840,ac2g,3943,ac2g,159650,e,6940680771877.456,f
159840,ac2g,3944,ac2g,159650,e,6940680771906.216,f
30,ac2g,3945,ac2g,0,e,6940680772026.642,f
159840,ac2g,3945,ac2g,159650,,6940680771917.484,s
159840,ac2g,3947,ac2g,159650,e,6940680771942.518,f
159840,ac2g,3948,ac2g,159650,e,6940680771955.387,f
159840,ac2g,3949,ac2g,159650,e,6940680771959.231,f
159840,ac2g,3951,ac2g,159650,e,6940680771966.165,f
159840,ac2g,3952,ac2g,159650,e,6940680771970.182,f
159840,ac2g,3953,ac2g,159650,e,6940680771971.738,f
159840,ac2g,3954,ac2g,159650,e,6940680771972.998,f
159840,ac2g,3962,ac2g,159650,e,6940680772286.244,f
7,ac2g,3963,ac2g,0,e,6940680781008.715,f
159840,ac2g,3963,ac2g,159650,,6940680780834.99,s
159840,ac2g,3987,ac2g,159650,e,6940680781054.128,f
159840,ac2g,3988,ac2g,159650,e,6940680781058.247,f
159840,ac2g,3989,ac2g,159650,e,6940680781059.726,f
159840,ac2g,3990,ac2g,159650,e,6940680781060.968,f
159840,ac2g,3992,ac2g,159650,e,6940680781441.554,f
159840,ac2g,3993,ac2g,159650,e,6940680781750.3,f
159840,ac2g,3994,ac2g,159650,e,6940680781961.021,f
159840,ac2g,3995,ac2g,159650,e,6940680782188.606,f
159840,ac2g,3996,ac2g,159650,e,6940680782910.341,f
159840,ac2g,3997,ac2g,159650,e,6940680783679.989,f
159840,ac2g,3998,ac2g,159650,e,6940680783877.434,f
159840,ac2g,3999,ac2g,159650,e,6940680784144.128,f
159840,ac2g,4000,ac2g,159650,e,6940680784477.356,f
159840,ac2g,4001,ac2g,159650,e,6940680784833.322,f
159840,ac2g,4002,ac2g,159650,e,6940680785354.983,f
159840,ac2g,4003,ac2g,159650,e,6940680786244.835,f
159840,ac2g,4004,ac2g,159650,e,6940680786586.092,f
159840,ac2g,4005,ac2g,159650,e,6940680786591.237,f
159840,ac2g,4006,ac2g,159650,e,6940680786595.546,f
159840,ac2g,4007,ac2g,159650,e,6940680786599.536,f
159840,ac2g,4008,ac2g,159650,e,6940680786603.212,f
159840,ac2g,4009,ac2g,159650,e,6940680786607.33,f
159840,ac2g,4010,ac2g,159650,e,6940680786610.978,f
159840,ac2g,4011,ac2g,159650,e,6940680786614.779,f
159840,ac2g,4012,ac2g,159650,e,6940680786618.151,f
159840,ac2g,4013,ac2g,159650,e,6940680786621.482,f
159840,ac2g,4014,ac2g,159650,e,6940680786624.716,f
159840,ac2g,4015,ac2g,159650,e,6940680786627.992,f
159840,ac2g,4016,ac2g,159650,e,6940680786674.216,f
159840,ac2g,4017,ac2g,159650,e,6940680787044.743,f
159840,ac2g,4018,ac2g,159650,e,6940680787558.756,f
159840,ac2g,4019,ac2g,159650,e,6940680788577.061,f
159840,ac2g,4020,ac2g,159650,e,6940680789613.609,f
159840,ac2g,4021,ac2g,159650,e,6940680789992.806,f
159840,ac2g,4022,ac2g,159650,e,6940680790394.98,f
159840,ac2g,4023,ac2g,159650,e,6940680790777.55,f
159840,ac2g,4024,ac2g,159650,e,6940680791170.666,f
159840,ac2g,4025,ac2g,159650,e,6940680791480.647,f
159840,ac2g,4026,ac2g,159650,e,6940680792107.968,f
159840,ac2g,4027,ac2g,159650,e,6940680794491.901,f
159840,ac2g,4028,ac2g,159650,e,6940680796779.931,f
159840,ac2g,4029,ac2g,159650,e,6940680796785.052,f
159840,ac2g,4030,ac2g,159650,e,6940680796788.823,f
159840,ac2g,4031,ac2g,159650,e,6940680796792.706,f
159840,ac2g,4032,ac2g,159650,e,6940680796796.373,f
159840,ac2g,4033,ac2g,159650,e,6940680796800.544,f
159840,ac2g,4034,ac2g,159650,e,6940680796804.235,f
159840,ac2g,4035,ac2g,159650,e,6940680796808.068,f
159840,ac2g,4036,ac2g,159650,e,6940680796812.035,f
159840,ac2g,4037,ac2g,159650,e,6940680796815.77,f
159840,ac2g,4038,ac2g,159650,e,6940680796819.961,f
159840,ac2g,4039,ac2g,159650,e,6940680796824.042,f
159840,ac2g,4040,ac2g,159650,e,6940680796857.298,f
159840,ac2g,4041,ac2g,159650,e,6940680796860.977,f
159840,ac2g,4042,ac2g,159650,e,6940680796864.109,f
159840,ac2g,4043,ac2g,159650,e,6940680796867.182,f
159840,ac2g,4044,ac2g,159650,e,6940680796870.317,f
159840,ac2g,4045,ac2g,159650,e,6940680796873.576,f
159840,ac2g,4046,ac2g,159650,e,6940680796876.796,f
159840,ac2g,4047,ac2g,159650,e,6940680796879.903,f
159840,ac2g,4048,ac2g,159650,e,6940680796883.083,f
159840,ac2g,4049,ac2g,159650,e,6940680796886.451,f
159840,ac2g,4050,ac2g,159650,e,6940680796889.653,f
159840,ac2g,4051,ac2g,159650,e,6940680796892.799,f
159840,ac2g,4052,ac2g,159650,e,6940680797003.918,f
159840,ac2g,4053,ac2g,159650,e,6940680797008.489,f
159840,ac2g,4054,ac2g,159650,e,6940680797012.31,f
159840,ac2g,4055,ac2g,159650,e,6940680797017.129,f
159840,ac2g,4056,ac2g,159650,e,6940680797021.688,f
159840,ac2g,4057,ac2g,159650,e,6940680797025.846,f
159840,ac2g,4058,ac2g,159650,e,6940680797030.616,f
159840,ac2g,4059,ac2g,159650,e,6940680797034.546,f
159840,ac2g,4060,ac2g,159650,e,6940680797038.355,f
159840,ac2g,4061,ac2g,159650,e,6940680797042.643,f
159840,ac2g,4062,ac2g,159650,e,6940680797046.341,f
159840,ac2g,4063,ac2g,159650,e,6940680797049.789,f
159840,ac2g,4064,ac2g,159650,e,6940680797150.302,f
159840,ac2g,4065,ac2g,159650,e,6940680798757.951,f
159840,ac2g,4066,ac2g,159650,e,6940680799151.328,f
159840,ac2g,4067,ac2g,159650,e,6940680799905.237,f
159840,ac2g,4068,ac2g,159650,e,6940680801051.653,f
159840,ac2g,4069,ac2g,159650,e,6940680801575.074,f
159840,ac2g,4070,ac2g,159650,e,6940680801977.831,f
159840,ac2g,4071,ac2g,159650,e,6940680804240.126,f
159840,ac2g,4072,ac2g,159650,e,6940680804965.209,f
159840,ac2g,4073,ac2g,159650,e,6940680806291.139,f
159840,ac2g,4074,ac2g,159650,e,6940680806857.881,f
159840,ac2g,4075,ac2g,159650,e,6940680807298.386,f
159840,ac2g,4076,ac2g,159650,e,6940680808680.109,f
159840,ac2g,4077,ac2g,159650,e,6940680808684.709,f
159840,ac2g,4078,ac2g,159650,e,6940680808688.644,f
159840,ac2g,4079,ac2g,159650,e,6940680808693.017,f
159840,ac2g,4080,ac2g,159650,e,6940680808696.912,f
159840,ac2g,4081,ac2g,159650,e,6940680808700.69,f
159840,ac2g,4082,ac2g,159650,e,6940680808704.885,f
159840,ac2g,4083,ac2g,159650,e,6940680808708.72,f
159840,ac2g,4084,ac2g,159650,e,6940680808712.385,f
159840,ac2g,4085,ac2g,159650,e,6940680808716.453,f
159840,ac2g,4086,ac2g,159650,e,6940680808720.299,f
159840,ac2g,4087,ac2g,159650,e,6940680808724.324,f
159840,ac2g,4088,ac2g,159650,e,6940680808821.198,f
159840,ac2g,4089,ac2g,159650,e,6940680808825.952,f
159840,ac2g,4090,ac2g,159650,e,6940680808829.462,f
159840,ac2g,4091,ac2g,159650,e,6940680808833.119,f
159840,ac2g,4092,ac2g,159650,e,6940680808836.668,f
159840,ac2g,4093,ac2g,159650,e,6940680808840.481,f
159840,ac2g,4094,ac2g,159650,e,6940680808844.105,f
159840,ac2g,4095,ac2g,159650,e,6940680808847.836,f
159840,ac2g,4096,ac2g,159650,e,6940680808851.497,f
159840,ac2g,4097,ac2g,159650,e,6940680808855.455,f
159840,ac2g,4098,ac2g,159650,e,6940680808859.41,f
159840,ac2g,4099,ac2g,159650,e,6940680808863.016,f
159840,ac2g,4100,ac2g,159650,e,6940680808895.134,f
159840,ac2g,4101,ac2g,159650,e,6940680808898.873,f
159840,ac2g,4102,ac2g,159650,e,6940680808902.1,f
