ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6936340682833.396,60237,60051,0,264.408,cpu_op,X,,autograd::engine::evaluate_function: SumBackward0,,1,,,0,198,1025
6936340682911.172,60237,60051,1,166.665,cpu_op,X,"[""float""]",SumBackward0,[[]],1,"[""""]",[[]],0,198,1026
6936340682995.634,60237,60051,2,72.63,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar""]",aten::expand,"[[], [], []]",,"["""", ""[1, 1000]"", ""False""]","[[], [], []]",0,,1027
6936340683048.188,60237,60051,3,8.354,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[], [], [], []]",,"["""", ""[1, 1000]"", ""[0, 0]"", """"]","[[], [], [], []]",0,,1028
6936340683126.4,60237,60051,4,26339.002,cpu_op,X,,autograd::engine::evaluate_function: AddmmBackward0,,1,,,0,197,1029
6936340683147.309,60237,60051,5,26212.148,cpu_op,X,"[""float""]",AddmmBackward0,"[[0, 0]]",1,"[""""]","[[1, 1000]]",0,197,1030
6936340683159.783,60237,60051,6,27.084,cpu_op,X,"[""float""]",aten::t,"[[1, 4096]]",,"[""""]","[[4096, 1000]]",0,,1031
6936340683169.647,60237,60051,7,12.313,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[1, 4096], [], []]",,"["""", ""0"", ""1""]","[[4096, 1000], [], []]",0,,1032
6936340683178.061,60237,60051,8,2.241,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[1, 4096], [], [], []]",,"["""", ""[1000, 4096]"", ""[4096, 1]"", """"]","[[4096, 1000], [], [], []]",0,,1033
6936340683204.929,60237,60051,9,22141.096,cpu_op,X,"[""float"", ""float""]",aten::mm,"[[0, 0], [4096, 1]]",,"["""", """"]","[[1, 1000], [1000, 4096]]",0,,1034
6936340683266.357,60237,60051,10,21478.616,cpu_op,X,"[""float"", ""Scalar""]",aten::clone,"[[0, 0], []]",,"["""", ""0""]","[[1, 1000], []]",0,,1035
6936340683272.04,60237,60051,11,39.278,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[0, 0], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[1, 1000], [], [], [], [], []]",0,,1036
6936340683281.142,60237,60051,12,27.505,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 1000]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,1037
6936340683317.361,60237,60051,13,21424.503,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::copy_,"[[1000, 1], [0, 0], []]",,"["""", """", ""False""]","[[1, 1000], [1, 1000], []]",0,,1038
6936340705366.061,60237,60051,14,22.308,cpu_op,X,"[""float""]",aten::t,"[[0, 0]]",,"[""""]","[[1, 1000]]",0,,1039
6936340705372.446,60237,60051,15,11.816,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[0, 0], [], []]",,"["""", ""0"", ""1""]","[[1, 1000], [], []]",0,,1040
6936340705379.39,60237,60051,16,4.287,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[0, 0], [], [], []]",,"["""", ""[1000, 1]"", ""[0, 0]"", """"]","[[1, 1000], [], [], []]",0,,1041
