ts,tid,pid,cbid,dur,cat,ph,name,correlation,External id
6936340658483.62,60051,60051,211,15731.225,cuda_runtime,X,cudaLaunchKernel,3514,515
6936340674642.531,60051,60051,211,7421.474,cuda_runtime,X,cudaLaunchKernel,3527,520
6936340683375.082,60237,60051,211,21352.129,cuda_runtime,X,cudaLaunchKernel,3553,1038
6936340704775.109,60237,60051,22,2.605,cuda_runtime,X,cudaFree,3560,1034
6936340704787.12,60237,60051,20,12.174,cuda_runtime,X,cudaMalloc,3562,1034
6936340704813.55,60237,60051,20,4.139,cuda_runtime,X,cudaMalloc,3571,1034
6936340704825.922,60237,60051,20,185.624,cuda_runtime,X,cudaMalloc,3580,1034
6936340705196.537,60237,60051,251,46.792,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,3591,1034
6936340705317.736,60237,60051,211,16.188,cuda_runtime,X,cudaLaunchKernel,3592,1034
6936340705447.152,60237,60051,211,13.023,cuda_runtime,X,cudaLaunchKernel,3610,1046
6936340705501.597,60237,60051,251,3779.102,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,3623,1042
6936340709302.556,60237,60051,211,15.089,cuda_runtime,X,cudaLaunchKernel,3624,1042
6936340709416.978,60237,60051,211,12.365,cuda_runtime,X,cudaLaunchKernel,3637,1050
6936340709677.356,60237,60051,211,43.791,cuda_runtime,X,cudaLaunchKernel,3666,1067
6936340709817.592,60237,60051,251,2.396,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,3687,1075
6936340709831.017,60237,60051,211,11.294,cuda_runtime,X,cudaLaunchKernel,3688,1075
6936340709850.755,60237,60051,211,8763.83,cuda_runtime,X,cudaLaunchKernel,3690,1075
6936340718671.217,60237,60051,317,2.793,cuda_runtime,X,cudaStreamIsCapturing,3699,1079
6936340718675.182,60237,60051,20,185.746,cuda_runtime,X,cudaMalloc,3700,1079
6936340718896.593,60237,60051,210,4341.131,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessor,3711,1079
6936340723265.06,60237,60051,211,15.778,cuda_runtime,X,cudaLaunchKernel,3712,1079
6936340723369.611,60237,60051,211,117.736,cuda_runtime,X,cudaLaunchKernel,3725,1083
6936340723680.187,60237,60051,211,13.511,cuda_runtime,X,cudaLaunchKernel,3754,1100
6936340723780.336,60237,60051,210,1.969,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessor,3775,1108
6936340723795.084,60237,60051,51,11.031,cuda_runtime,X,cudaMemsetAsync,3776,1108
6936340723807.496,60237,60051,211,10.072,cuda_runtime,X,cudaLaunchKernel,3777,1108
6936340723844.095,60237,60051,317,1.86,cuda_runtime,X,cudaStreamIsCapturing,3786,1112
6936340723846.827,60237,60051,20,199.811,cuda_runtime,X,cudaMalloc,3787,1112
6936340724074.93,60237,60051,210,1.77,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessor,3798,1112
6936340724095.806,60237,60051,211,13.442,cuda_runtime,X,cudaLaunchKernel,3799,1112
6936340724160.379,60237,60051,211,9.729,cuda_runtime,X,cudaLaunchKernel,3812,1116
6936340724398.158,60237,60051,211,11.401,cuda_runtime,X,cudaLaunchKernel,3844,1139
6936340724419.536,60237,60051,211,42.68,cuda_runtime,X,cudaLaunchKernel,3853,1137
6936340724535.944,60237,60051,211,8979.221,cuda_runtime,X,cudaLaunchKernel,3870,1142
6936340733725.85,60237,60051,3,0.342,cuda_runtime,X,cudaGetDeviceCount,3901,1146
6936340733728.764,60237,60051,1,0.45,cuda_runtime,X,cudaDriverGetVersion,3903,1146
6936340733729.753,60237,60051,200,1.839,cuda_runtime,X,cudaDeviceGetAttribute,3904,1146
6936340733731.896,60237,60051,200,0.6,cuda_runtime,X,cudaDeviceGetAttribute,3905,1146
6936340733732.767,60237,60051,200,0.559,cuda_runtime,X,cudaDeviceGetAttribute,3906,1146
6936340733733.624,60237,60051,200,0.439,cuda_runtime,X,cudaDeviceGetAttribute,3907,1146
6936340733734.71,60237,60051,200,0.42,cuda_runtime,X,cudaDeviceGetAttribute,3908,1146
6936340733735.463,60237,60051,200,0.428,cuda_runtime,X,cudaDeviceGetAttribute,3909,1146
6936340733736.181,60237,60051,200,0.42,cuda_runtime,X,cudaDeviceGetAttribute,3910,1146
6936340733736.895,60237,60051,200,0.601,cuda_runtime,X,cudaDeviceGetAttribute,3911,1146
6936340733737.726,60237,60051,200,1320.133,cuda_runtime,X,cudaDeviceGetAttribute,3912,1146
6936340735058.355,60237,60051,200,946.156,cuda_runtime,X,cudaDeviceGetAttribute,3913,1146
6936340736004.9,60237,60051,200,0.55,cuda_runtime,X,cudaDeviceGetAttribute,3914,1146
6936340736005.702,60237,60051,200,0.506,cuda_runtime,X,cudaDeviceGetAttribute,3915,1146
6936340736006.504,60237,60051,200,0.504,cuda_runtime,X,cudaDeviceGetAttribute,3916,1146
6936340736007.305,60237,60051,200,0.638,cuda_runtime,X,cudaDeviceGetAttribute,3917,1146
6936340736008.218,60237,60051,200,0.804,cuda_runtime,X,cudaDeviceGetAttribute,3918,1146
6936340736009.302,60237,60051,200,0.499,cuda_runtime,X,cudaDeviceGetAttribute,3919,1146
6936340736010.044,60237,60051,200,0.598,cuda_runtime,X,cudaDeviceGetAttribute,3920,1146
6936340736010.928,60237,60051,200,0.468,cuda_runtime,X,cudaDeviceGetAttribute,3921,1146
6936340736011.628,60237,60051,200,0.5,cuda_runtime,X,cudaDeviceGetAttribute,3922,1146
6936340736012.364,60237,60051,200,0.481,cuda_runtime,X,cudaDeviceGetAttribute,3923,1146
6936340736013.137,60237,60051,200,0.792,cuda_runtime,X,cudaDeviceGetAttribute,3924,1146
6936340736014.382,60237,60051,440,2283.085,cuda_runtime,X,cudaGetDeviceProperties_v2,3925,1146
6936340738297.851,60237,60051,200,0.525,cuda_runtime,X,cudaDeviceGetAttribute,3926,1146
6936340738298.636,60237,60051,200,0.444,cuda_runtime,X,cudaDeviceGetAttribute,3927,1146
6936340738300.666,60237,60051,198,15.309,cuda_runtime,X,cudaStreamCreateWithFlags,3928,1146
6936340738316.317,60237,60051,198,3.602,cuda_runtime,X,cudaStreamCreateWithFlags,3929,1146
6936340738320.277,60237,60051,198,2.695,cuda_runtime,X,cudaStreamCreateWithFlags,3930,1146
6936340738323.319,60237,60051,198,3.36,cuda_runtime,X,cudaStreamCreateWithFlags,3931,1146
6936340738326.99,60237,60051,198,3.215,cuda_runtime,X,cudaStreamCreateWithFlags,3932,1146
6936340738330.52,60237,60051,198,3.019,cuda_runtime,X,cudaStreamCreateWithFlags,3933,1146
6936340738333.855,60237,60051,198,3.128,cuda_runtime,X,cudaStreamCreateWithFlags,3934,1146
6936340738337.284,60237,60051,198,179.492,cuda_runtime,X,cudaStreamCreateWithFlags,3935,1146
6936340738517.607,60237,60051,198,3.123,cuda_runtime,X,cudaStreamCreateWithFlags,3936,1146
6936340738521.082,60237,60051,198,2.7,cuda_runtime,X,cudaStreamCreateWithFlags,3937,1146
6936340738524.142,60237,60051,198,5.683,cuda_runtime,X,cudaStreamCreateWithFlags,3938,1146
6936340738530.144,60237,60051,198,2.744,cuda_runtime,X,cudaStreamCreateWithFlags,3939,1146
6936340738533.215,60237,60051,198,3.325,cuda_runtime,X,cudaStreamCreateWithFlags,3940,1146
6936340738536.907,60237,60051,198,2.655,cuda_runtime,X,cudaStreamCreateWithFlags,3941,1146
6936340738539.877,60237,60051,198,2.983,cuda_runtime,X,cudaStreamCreateWithFlags,3942,1146
6936340738543.179,60237,60051,198,33.338,cuda_runtime,X,cudaStreamCreateWithFlags,3943,1146
6936340738577.538,60237,60051,20,14.089,cuda_runtime,X,cudaMalloc,3944,1146
6936340738592.878,60237,60051,51,25.242,cuda_runtime,X,cudaMemsetAsync,3945,1146
6936340738622.832,60237,60051,27,15.518,cuda_runtime,X,cudaHostAlloc,3947,1146
6936340738639.044,60237,60051,28,2.036,cuda_runtime,X,cudaHostGetDevicePointer,3948,1146
6936340738644.189,60237,60051,22,1.401,cuda_runtime,X,cudaFree,3949,1146
6936340738652.729,60237,60051,135,3.887,cuda_runtime,X,cudaEventRecord,3951,1146
6936340738657.495,60237,60051,317,1.504,cuda_runtime,X,cudaStreamIsCapturing,3952,1146
6936340738659.488,60237,60051,203,1.215,cuda_runtime,X,cudaStreamGetPriority,3953,1146
6936340738661.243,60237,60051,205,1.084,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,3954,1146
6936340739031.472,60237,60051,273,10336.287,cuda_runtime,X,cudaFuncSetAttribute,3962,1146
6936340749374.054,60237,60051,211,18.862,cuda_runtime,X,cudaLaunchKernel,3963,1146
6936340749709.865,60237,60051,135,5.375,cuda_runtime,X,cudaEventRecord,3987,1162
6936340749716.003,60237,60051,317,1.626,cuda_runtime,X,cudaStreamIsCapturing,3988,1162
6936340749718.154,60237,60051,203,1.375,cuda_runtime,X,cudaStreamGetPriority,3989,1162
6936340749720.243,60237,60051,205,0.953,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,3990,1162
6936340750166.669,60237,60051,15,556.535,cuda_runtime,X,cudaFuncGetAttributes,3992,1162
6936340750724.3,60237,60051,15,522.408,cuda_runtime,X,cudaFuncGetAttributes,3993,1162
6936340751248.288,60237,60051,15,1615.052,cuda_runtime,X,cudaFuncGetAttributes,3994,1162
6936340752863.905,60237,60051,15,3501.993,cuda_runtime,X,cudaFuncGetAttributes,3995,1162
6936340756367.232,60237,60051,15,3432.318,cuda_runtime,X,cudaFuncGetAttributes,3996,1162
6936340759800.481,60237,60051,15,3450.531,cuda_runtime,X,cudaFuncGetAttributes,3997,1162
6936340763251.962,60237,60051,15,2731.408,cuda_runtime,X,cudaFuncGetAttributes,3998,1162
6936340765988.46,60237,60051,15,2654.128,cuda_runtime,X,cudaFuncGetAttributes,3999,1162
