ts,memory bandwidth (GB/s),tid,pid,dur,context,stream,cat,ph,name,device,bytes,correlation,External id
6936340732003.101,0.1180722891566265,7,0,3.328,1,7,gpu_memset,X,Memset (Device),0,784,3776,1108
6936340740203.254,4.430769230769231,30,0,1.825,1,30,gpu_memset,X,Memset (Device),0,16128,3945,1146
6936340792400.745,0.11135276207046542,7,0,1.152,1,7,gpu_memset,X,Memset (Device),0,256,4159,1162
6936340861618.03,0.15421686746987953,7,0,0.832,1,7,gpu_memset,X,Memset (Device),0,256,4420,1197
6936340861810.254,0.14325685506435368,7,0,0.896,1,7,gpu_memset,X,Memset (Device),0,256,4577,1232
6936340872099.301,0.08053691275167785,7,0,0.896,1,7,gpu_memset,X,Memset (Device),0,144,6117,1382
6936340872400.389,0.15031315240083507,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,144,6274,1417
6936340882216.957,151.5129653401797,7,0,1.952,1,7,gpu_memset,X,Memset (Device),0,590143,7138,1492
6936340882219.901,0.043373493975903614,7,0,1.664,1,7,gpu_memset,X,Memset (Device),0,144,7141,1492
6936340886937.593,75.797432605905,7,0,1.952,1,7,gpu_memset,X,Memset (Device),0,295231,7538,1527
6936340886940.505,0.14103819784524976,7,0,0.512,1,7,gpu_memset,X,Memset (Device),0,144,7541,1527
6936340889954.582,188.06319431797488,7,0,2.752,1,7,gpu_memset,X,Memset (Device),0,1032655,7965,1567
6936340889958.262,0.30062630480167013,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,288,7968,1567
6936340890299.222,1.8989010989010988,7,0,1.824,1,7,gpu_memset,X,Memset (Device),0,6912,8176,1602
