pid,warps per SM,ph,name,device,block,dur,shared memory,ts,context,stream,registers per thread,est. achieved occupancy %,correlation,tid,cat,queued,grid,blocks per SM,External id
0,0.047619,X,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",0,"[128, 1, 1]",4.256,528,6936340676704.365,1,7,32,0,3514,7,kernel,0,"[1, 1, 1]",0.011905,515
0,0.047619,X,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>)",0,"[128, 1, 1]",1.504,0,6936340686574.084,1,7,16,0,3527,7,kernel,0,"[1, 1, 1]",0.011905,520
0,0.190476,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,"[128, 1, 1]",2.592,0,6936340709195.217,1,7,16,0,3553,7,kernel,0,"[4, 1, 1]",0.047619,1038
0,12.190476,X,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, false, false, 9, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",0,"[64, 8, 1]",34.432,2304,6936340709201.873,1,7,128,25,3592,7,kernel,0,"[64, 1, 1]",0.761905,1034
0,0.190476,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,"[128, 1, 1]",1.824,0,6936340709237.137,1,7,16,0,3610,7,kernel,0,"[4, 1, 1]",0.047619,1046
0,390.095245,X,"void gemmk1_kernel<int, float, 256, 5, false, false, false, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, biasType<cublasGemvTensorStridedBatched<float>::value_type, float>::type>)",0,"[256, 1, 1]",31.328,1024,6936340713748.397,1,7,20,100,3624,7,kernel,0,"[128, 32, 1]",48.761906,1042
0,0.380952,X,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",0,"[512, 1, 1]",4.608,16,6936340713781.005,1,7,32,1,3637,7,kernel,0,"[2, 1, 1]",0.02381,1050
0,0.380952,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::masked_scale_kernel<bool, float, float>(at::Tensor&, at::Tensor const&, at::Tensor const&, float)::{lambda(float, bool)#1}, at::detail::Array<char*, 3> >(int, at::native::(anonymous namespace)::masked_scale_kernel<bool, float, float>(at::Tensor&, at::Tensor const&, at::Tensor const&, float)::{lambda(float, bool)#1}, at::detail::Array<char*, 3>)",0,"[128, 1, 1]",1.984,0,6936340713789.197,1,7,22,1,3666,7,kernel,0,"[8, 1, 1]",0.095238,1067
0,48.761906,X,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, false, false, 9, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",0,"[64, 8, 1]",128.544,2304,6936340713791.885,1,7,128,33,3688,7,kernel,0,"[64, 1, 4]",3.047619,1075
0,48.761906,X,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",0,"[32, 16, 1]",3.424,0,6936340723185.797,1,7,44,67,3690,7,kernel,0,"[1, 256, 1]",3.047619,1075
0,390.095245,X,ampere_sgemm_128x32_nn,0,"[256, 1, 1]",123.2,16384,6936340727713.985,1,7,57,67,3712,7,kernel,0,"[32, 128, 1]",48.761906,1079
0,0.380952,X,"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",0,"[128, 1, 1]",4.863,16,6936340731992.67,1,7,48,1,3725,7,kernel,0,"[8, 1, 1]",0.095238,1083
0,0.380952,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::masked_scale_kernel<bool, float, float>(at::Tensor&, at::Tensor const&, at::Tensor const&, float)::{lambda(float, bool)#1}, at::detail::Array<char*, 3> >(int, at::native::(anonymous namespace)::masked_scale_kernel<bool, float, float>(at::Tensor&, at::Tensor const&, at::Tensor const&, float)::{lambda(float, bool)#1}, at::detail::Array<char*, 3>)",0,"[128, 1, 1]",1.983,0,6936340731998.27,1,7,22,1,3754,7,kernel,0,"[8, 1, 1]",0.095238,1100
0,93.333336,X,ampere_sgemm_128x32_nn,0,"[256, 1, 1]",696.736,16384,6936340732009.277,1,7,57,67,3777,7,kernel,0,"[196, 1, 5]",11.666667,1108
0,2389.333252,X,ampere_sgemm_128x32_nn,0,"[256, 1, 1]",721.759,16384,6936340732706.749,1,7,57,67,3799,7,kernel,0,"[196, 128, 1]",298.666656,1112
0,0.380952,X,"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",0,"[128, 1, 1]",2.912,16,6936340733429.34,1,7,48,1,3812,7,kernel,0,"[8, 1, 1]",0.095238,1116
0,9.333333,X,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>)",0,"[128, 1, 1]",1.696,0,6936340733433.116,1,7,16,19,3844,7,kernel,0,"[196, 1, 1]",2.333333,1139
0,48.761906,X,"void at::native::(anonymous namespace)::max_pool_backward_nchw<float, float>(float const*, long const*, int, long, long, long, int, int, int, int, int, int, int, int, int, int, float*)",0,"[256, 1, 1]",5.184,0,6936340733439.036,1,7,40,100,3853,7,kernel,0,"[1, 1, 512]",6.095238,1137
0,9.333333,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::hardtanh_backward_kernel(at::TensorIterator&, c10::Scalar const&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, at::detail::Array<char*, 3> >(int, at::native::(anonymous namespace)::hardtanh_backward_kernel(at::TensorIterator&, c10::Scalar const&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, at::detail::Array<char*, 3>)",0,"[128, 1, 1]",3.392,0,6936340735794.65,1,7,23,19,3870,7,kernel,0,"[196, 1, 1]",2.333333,1142
0,97.523811,X,"void cudnn::bn_bw_1C11_singleread<float, 512, true, 1, 2, 0>(cudnn::bn_bw_1C11_args<float>)",0,"[512, 1, 1]",11.2,4368,6936340749655.79,1,7,45,67,3963,7,kernel,0,"[512, 1, 1]",6.095238,1146
0,780.190491,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",34.143,4224,6936340792361.098,1,7,38,100,4154,7,kernel,0,"[1, 16, 512]",97.523811,1162
0,10.666667,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",3.807,4224,6936340792395.946,1,7,38,22,4156,7,kernel,0,"[7, 16, 1]",1.333333,1162
0,3.047619,X,sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x16_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,0,"[128, 1, 1]",44.416,65536,6936340800102.403,1,7,250,0,4162,7,kernel,0,"[4, 2, 8]",0.761905,1162
0,10.666667,X,"void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)",0,"[256, 1, 1]",2.592,4224,6936340800147.523,1,7,40,22,4165,7,kernel,0,"[7, 16, 1]",1.333333,1162
0,10.666667,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",3.392,4224,6936340861476.206,1,7,38,22,4289,7,kernel,0,"[7, 16, 1]",1.333333,1162
0,10.666667,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",3.743,4224,6936340861480.399,1,7,38,22,4291,7,kernel,0,"[7, 16, 1]",1.333333,1162
0,6.857143,X,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688wgrad_optimized_tf32_256x128_16x3_nhwc_align4>(cutlass_tensorop_s1688wgrad_optimized_tf32_256x128_16x3_nhwc_align4::Params),0,"[256, 1, 1]",37.6,73728,6936340861484.847,1,7,229,0,4295,7,kernel,0,"[8, 9, 1]",0.857143,1162
0,780.190491,X,"void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)",0,"[256, 1, 1]",32.993,4224,6936340861523.246,1,7,40,100,4299,7,kernel,0,"[1, 16, 512]",97.523811,1162
0,6.095238,X,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",0,"[32, 16, 1]",5.375,16,6936340861556.943,1,7,32,13,4313,7,kernel,0,"[32, 1, 1]",0.380952,1165
0,9.333333,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::hardtanh_backward_kernel(at::TensorIterator&, c10::Scalar const&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, at::detail::Array<char*, 3> >(int, at::native::(anonymous namespace)::hardtanh_backward_kernel(at::TensorIterator&, c10::Scalar const&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, at::detail::Array<char*, 3>)",0,"[128, 1, 1]",3.457,0,6936340861563.054,1,7,23,19,4340,7,kernel,0,"[196, 1, 1]",2.333333,1177
0,97.523811,X,"void cudnn::bn_bw_1C11_singleread<float, 512, true, 1, 2, 0>(cudnn::bn_bw_1C11_args<float>)",0,"[512, 1, 1]",10.912,4368,6936340861567.183,1,7,45,67,4384,7,kernel,0,"[512, 1, 1]",6.095238,1181
0,780.190491,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",33.215,4224,6936340861578.927,1,7,38,100,4415,7,kernel,0,"[1, 16, 512]",97.523811,1197
0,10.666667,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",3.936,4224,6936340861612.878,1,7,38,22,4417,7,kernel,0,"[7, 16, 1]",1.333333,1197
0,3.047619,X,sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x16_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,0,"[128, 1, 1]",44.064,65536,6936340861620.238,1,7,250,0,4423,7,kernel,0,"[4, 2, 8]",0.761905,1197
0,10.666667,X,"void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)",0,"[256, 1, 1]",2.624,4224,6936340861665.07,1,7,40,22,4426,7,kernel,0,"[7, 16, 1]",1.333333,1197
0,10.666667,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",3.552,4224,6936340861668.494,1,7,38,22,4446,7,kernel,0,"[7, 16, 1]",1.333333,1197
0,10.666667,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",3.489,4224,6936340861672.75,1,7,38,22,4448,7,kernel,0,"[7, 16, 1]",1.333333,1197
0,6.857143,X,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688wgrad_optimized_tf32_256x128_16x3_nhwc_align4>(cutlass_tensorop_s1688wgrad_optimized_tf32_256x128_16x3_nhwc_align4::Params),0,"[256, 1, 1]",37.472,73728,6936340861676.91,1,7,229,0,4452,7,kernel,0,"[8, 9, 1]",0.857143,1197
0,780.190491,X,"void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)",0,"[256, 1, 1]",33.088,4224,6936340861715.086,1,7,40,100,4456,7,kernel,0,"[1, 16, 512]",97.523811,1197
0,6.095238,X,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",0,"[32, 16, 1]",5.344,16,6936340861748.942,1,7,32,13,4470,7,kernel,0,"[32, 1, 1]",0.380952,1200
0,9.333333,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::hardtanh_backward_kernel(at::TensorIterator&, c10::Scalar const&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, at::detail::Array<char*, 3> >(int, at::native::(anonymous namespace)::hardtanh_backward_kernel(at::TensorIterator&, c10::Scalar const&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, at::detail::Array<char*, 3>)",0,"[128, 1, 1]",3.84,0,6936340861755.054,1,7,23,19,4497,7,kernel,0,"[196, 1, 1]",2.333333,1212
0,97.523811,X,"void cudnn::bn_bw_1C11_singleread<float, 512, true, 1, 2, 0>(cudnn::bn_bw_1C11_args<float>)",0,"[512, 1, 1]",10.944,4368,6936340861759.662,1,7,45,67,4541,7,kernel,0,"[512, 1, 1]",6.095238,1216
0,780.190491,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",33.408,4224,6936340861771.374,1,7,38,100,4572,7,kernel,0,"[1, 16, 512]",97.523811,1232
0,10.666667,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,"[256, 1, 1]",3.872,4224,6936340861805.486,1,7,38,22,4574,7,kernel,0,"[7, 16, 1]",1.333333,1232
0,3.047619,X,sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x16_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,0,"[128, 1, 1]",44.256,65536,6936340861812.174,1,7,250,0,4580,7,kernel,0,"[4, 2, 8]",0.761905,1232
