ts,tid,pid,Python id,dur,Ev Idx,cat,ph,name,Python parent id
6936340655406.459,0,0,1,244079.378,598,python_function,X,threading.py(973): _bootstrap,
6936340655407.917,0,0,2,244077.92,599,python_function,X,threading.py(1016): _bootstrap_inner,1
6936340655409.967,0,0,3,244075.87,600,python_function,X,decorator.py(232): fun,2
6936340655410.809,0,0,4,244075.028,601,python_function,X,IPython/core/history.py(61): only_when_enabled,3
6936340655413.327,0,0,5,244072.51,602,python_function,X,IPython/core/history.py(903): run,4
6936340655414.078,0,0,6,244071.759,603,python_function,X,threading.py(607): wait,5
6936340655414.645,0,0,7,244071.192,604,python_function,X,threading.py(320): wait,6
6936340655418.455,0,0,8,244067.382,605,python_function,X,threading.py(973): _bootstrap,7
6936340655419.01,0,0,9,244066.827,606,python_function,X,threading.py(1016): _bootstrap_inner,8
6936340655420.352,0,0,10,244065.485,607,python_function,X,ipykernel/control.py(23): run,9
6936340655421.683,0,0,11,244064.154,608,python_function,X,tornado/platform/asyncio.py(205): start,10
6936340655423.146,0,0,12,244062.691,609,python_function,X,asyncio/base_events.py(603): run_forever,11
6936340655423.987,0,0,13,244061.85,610,python_function,X,asyncio/base_events.py(1871): _run_once,12
6936340655424.888,0,0,14,244060.949,611,python_function,X,selectors.py(469): select,13
6936340655427.067,0,0,15,244058.77,612,python_function,X,threading.py(973): _bootstrap,14
6936340655427.453,0,0,16,244058.384,613,python_function,X,threading.py(1016): _bootstrap_inner,15
6936340655428.4,0,0,17,244057.437,614,python_function,X,threading.py(953): run,16
6936340655429.227,0,0,18,244056.61,615,python_function,X,ipykernel/iostream.py(387): _watch_pipe_fd,17
6936340655431.288,0,0,19,244054.549,616,python_function,X,threading.py(973): _bootstrap,18
6936340655431.681,0,0,20,244054.156,617,python_function,X,threading.py(1016): _bootstrap_inner,19
6936340655432.427,0,0,21,244053.41,618,python_function,X,threading.py(953): run,20
6936340655432.755,0,0,22,244053.082,619,python_function,X,ipykernel/iostream.py(387): _watch_pipe_fd,21
6936340655434.492,0,0,23,244051.345,620,python_function,X,threading.py(973): _bootstrap,22
6936340655434.838,0,0,24,244050.999,621,python_function,X,threading.py(1016): _bootstrap_inner,23
6936340655435.953,0,0,25,244049.884,622,python_function,X,ipykernel/heartbeat.py(106): run,24
6936340655438.337,60054,60051,26,244047.5,623,python_function,X,threading.py(973): _bootstrap,
6936340655438.648,60054,60051,27,244047.189,624,python_function,X,threading.py(1016): _bootstrap_inner,26
6936340655439.107,60054,60051,28,244046.73,625,python_function,X,threading.py(953): run,27
6936340655439.862,60054,60051,29,244045.975,626,python_function,X,ipykernel/iostream.py(92): _thread_main,28
6936340655440.848,60054,60051,30,244044.989,627,python_function,X,tornado/platform/asyncio.py(205): start,29
6936340655441.331,60054,60051,31,244044.506,628,python_function,X,asyncio/base_events.py(603): run_forever,30
6936340655441.842,60054,60051,32,194856.637,629,python_function,X,asyncio/base_events.py(1871): _run_once,31
6936340655442.311,60054,60051,33,194021.643,630,python_function,X,selectors.py(469): select,32
6936340655449.555,60051,60051,34,244036.282,631,python_function,X,runpy.py(196): _run_module_as_main,
6936340655450.567,60051,60051,35,244035.27,632,python_function,X,runpy.py(86): _run_code,34
6936340655451.669,60051,60051,36,244034.168,633,python_function,X,ipykernel_launcher.py(18): <module>,35
6936340655452.544,60051,60051,37,244033.293,634,python_function,X,traitlets/config/application.py(1075): launch_instance,36
