tid,cat,id,name,pid,bp,ts,ph
159650,ac2g,8,ac2g,159650,e,6940680648615.305,f
159650,ac2g,9,ac2g,159650,e,6940680648632.865,f
159650,ac2g,10,ac2g,159650,e,6940680648635.385,f
159650,ac2g,11,ac2g,159650,e,6940680648637.449,f
7,ac2g,15,ac2g,0,e,6940680648793.148,f
159650,ac2g,15,ac2g,159650,,6940680648681.01,s
159650,ac2g,16,ac2g,159650,e,6940680648713.032,f
159650,ac2g,17,ac2g,159650,,6940680648721.059,s
7,ac2g,18,ac2g,0,e,6940680648795.996,f
159650,ac2g,18,ac2g,159650,,6940680648722.695,s
159650,ac2g,19,ac2g,159650,e,6940680648731.538,f
7,ac2g,26,ac2g,0,e,6940680651182.941,f
159650,ac2g,26,ac2g,159650,,6940680648818.231,s
7,ac2g,32,ac2g,0,e,6940680651230.718,f
159650,ac2g,32,ac2g,159650,,6940680648953.393,s
159650,ac2g,42,ac2g,159650,e,6940680649113.666,f
159650,ac2g,43,ac2g,159650,e,6940680649116.548,f
159650,ac2g,50,ac2g,159650,e,6940680649277.019,f
159650,ac2g,51,ac2g,159650,e,6940680649280.79,f
159650,ac2g,52,ac2g,159650,e,6940680649281.946,f
159650,ac2g,53,ac2g,159650,e,6940680649283.336,f
159650,ac2g,77,ac2g,159650,e,6940680649338.718,f
159650,ac2g,78,ac2g,159650,e,6940680649340.068,f
159650,ac2g,79,ac2g,159650,e,6940680649340.784,f
159650,ac2g,80,ac2g,159650,e,6940680649341.439,f
7,ac2g,88,ac2g,0,e,6940680651233.406,f
159650,ac2g,88,ac2g,159650,,6940680649361.668,s
159650,ac2g,97,ac2g,159650,e,6940680649476.674,f
159650,ac2g,98,ac2g,159650,e,6940680649478.704,f
7,ac2g,104,ac2g,0,e,6940680651298.079,f
159650,ac2g,104,ac2g,159650,,6940680649625.268,s
7,ac2g,112,ac2g,0,e,6940680651345.696,f
159650,ac2g,112,ac2g,159650,,6940680649708.586,s
159650,ac2g,125,ac2g,159650,e,6940680649849.942,f
159650,ac2g,126,ac2g,159650,e,6940680649852.004,f
159650,ac2g,131,ac2g,159650,e,6940680650003.169,f
159650,ac2g,132,ac2g,159650,e,6940680650006.454,f
