ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6936340600385.063,60051,60051,1,2444.662,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",aten::conv2d,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [1], [], [], [], []]",0,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1""]","[[1, 3, 224, 224], [64, 3, 3, 3], [64], [], [], [], []]",0,66,2
6936340600396.853,60051,60051,2,2431.638,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",aten::convolution,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [1], [], [], [], [], [], []]",0,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]","[[1, 3, 224, 224], [64, 3, 3, 3], [64], [], [], [], [], [], []]",0,66,3
6936340600421.426,60051,60051,3,2399.661,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::_convolution,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [1], [], [], [], [], [], [], [], [], [], []]",,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]","[[1, 3, 224, 224], [64, 3, 3, 3], [64], [], [], [], [], [], [], [], [], [], []]",0,,4
6936340600440.883,60051,60051,4,2280.957,cpu_op,X,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::cudnn_convolution,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [], [], [], [], [], [], []]",,"["""", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]","[[1, 3, 224, 224], [64, 3, 3, 3], [], [], [], [], [], [], []]",0,,5
6936340602747.207,60051,60051,5,11.109,cpu_op,X,"[""float"", ""ScalarList""]",aten::reshape,"[[1], []]",,"["""", ""[1, -1, 1, 1]""]","[[64], []]",0,,6
6936340602751.724,60051,60051,6,6.175,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1], []]",,"["""", ""[1, -1, 1, 1]""]","[[64], []]",0,,7
6936340602771.977,60051,60051,7,46.877,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::add_,"[[3211264, 50176, 224, 1], [64, 1, 1, 1], []]",,"["""", """", ""1""]","[[1, 64, 224, 224], [1, 64, 1, 1], []]",0,,8
6936340602920.417,60051,60051,8,29.362,cpu_op,X,"[""long int"", ""long int"", ""Scalar""]",aten::add_,"[[], [], []]",0,"["""", """", ""1""]","[[], [], []]",0,67,9
6936340603013.305,60051,60051,9,363.973,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::batch_norm,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], [], []]",0,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], [], []]",0,67,10
6936340603018.199,60051,60051,10,358.295,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::_batch_norm_impl_index,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], [], []]",0,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], [], []]",0,67,11
6936340603034.799,60051,60051,11,339.958,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::cudnn_batch_norm,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], []]",0,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05""]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], []]",0,67,12
6936340603066.021,60051,60051,12,188.506,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[3211264, 50176, 224, 1], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[1, 64, 224, 224], [], [], [], [], []]",0,,13
6936340603078.529,60051,60051,13,173.079,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 64, 224, 224]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,14
6936340603281.813,60051,60051,14,3.051,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1], []]",,"["""", ""[1, 64, 1, 1]""]","[[64], []]",0,,15
6936340603290.77,60051,60051,15,11.674,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[64]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,16
6936340603304.776,60051,60051,16,5.727,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[64]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,17
6936340603315.385,60051,60051,17,4.598,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,18
6936340603330.265,60051,60051,18,5.318,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,19
6936340603432.687,60051,60051,19,287.218,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::hardtanh_,"[[3211264, 50176, 224, 1], [], []]",0,"["""", ""0."", ""6.""]","[[1, 64, 224, 224], [], []]",0,68,20
6936340603444.902,60051,60051,20,198.235,cpu_op,X,"[""float"", """"]",aten::clone,"[[3211264, 50176, 224, 1], []]",0,"["""", """"]","[[1, 64, 224, 224], []]",0,69,21
6936340603453.379,60051,60051,21,132.136,cpu_op,X,"[""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", """"]",aten::empty_strided,"[[], [], [], [], [], []]",,"[""[1, 64, 224, 224]"", ""[3211264, 50176, 224, 1]"", ""6"", ""0"", """", """"]","[[], [], [], [], [], []]",0,,22
6936340603597.112,60051,60051,22,42.041,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::copy_,"[[3211264, 50176, 224, 1], [3211264, 50176, 224, 1], []]",,"["""", """", ""False""]","[[1, 64, 224, 224], [1, 64, 224, 224], []]",0,,23
