ts,tid,pid,cbid,dur,cat,ph,name,correlation,External id
6936340602596.7,60051,60051,135,17.849,cuda_runtime,X,cudaEventRecord,8,5
6936340602615.406,60051,60051,317,1.465,cuda_runtime,X,cudaStreamIsCapturing,9,5
6936340602617.469,60051,60051,203,1.127,cuda_runtime,X,cudaStreamGetPriority,10,5
6936340602619.145,60051,60051,205,0.865,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,11,5
6936340602660.39,60051,60051,211,29.36,cuda_runtime,X,cudaLaunchKernel,15,5
6936340602690.938,60051,60051,11,0.963,cuda_runtime,X,cudaPeekAtLastError,16,5
6936340602699.214,60051,60051,51,0.565,cuda_runtime,X,cudaMemsetAsync,17,5
6936340602700.559,60051,60051,211,8.875,cuda_runtime,X,cudaLaunchKernel,18,5
6936340602710.034,60051,60051,11,0.147,cuda_runtime,X,cudaPeekAtLastError,19,5
6936340602803.058,60051,60051,211,11.505,cuda_runtime,X,cudaLaunchKernel,26,8
6936340602936.248,60051,60051,211,10.105,cuda_runtime,X,cudaLaunchKernel,32,9
6936340603091.308,60051,60051,317,1.828,cuda_runtime,X,cudaStreamIsCapturing,42,14
6936340603094.133,60051,60051,20,145.696,cuda_runtime,X,cudaMalloc,43,14
6936340603259.84,60051,60051,135,4.115,cuda_runtime,X,cudaEventRecord,50,12
6936340603264.381,60051,60051,317,0.925,cuda_runtime,X,cudaStreamIsCapturing,51,12
6936340603265.695,60051,60051,203,0.948,cuda_runtime,X,cudaStreamGetPriority,52,12
6936340603267.208,60051,60051,205,0.661,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,53,12
6936340603323.141,60051,60051,135,1.474,cuda_runtime,X,cudaEventRecord,77,12
6936340603324.828,60051,60051,317,0.517,cuda_runtime,X,cudaStreamIsCapturing,78,12
6936340603325.575,60051,60051,203,0.403,cuda_runtime,X,cudaStreamGetPriority,79,12
6936340603326.217,60051,60051,205,0.374,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,80,12
6936340603346.672,60051,60051,211,17.112,cuda_runtime,X,cudaLaunchKernel,88,12
6936340603464.06,60051,60051,317,1.611,cuda_runtime,X,cudaStreamIsCapturing,97,22
6936340603466.129,60051,60051,20,110.859,cuda_runtime,X,cudaMalloc,98,22
6936340603611.53,60051,60051,41,23.49,cuda_runtime,X,cudaMemcpyAsync,104,23
6936340603690.13,60051,60051,211,11.427,cuda_runtime,X,cudaLaunchKernel,112,25
6936340603820.419,60051,60051,317,1.497,cuda_runtime,X,cudaStreamIsCapturing,125,30
6936340603822.39,60051,60051,20,142.752,cuda_runtime,X,cudaMalloc,126,30
6936340603983.82,60051,60051,135,3.352,cuda_runtime,X,cudaEventRecord,131,30
6936340603987.659,60051,60051,317,0.778,cuda_runtime,X,cudaStreamIsCapturing,132,30
6936340603988.788,60051,60051,203,0.861,cuda_runtime,X,cudaStreamGetPriority,133,30
6936340603990.078,60051,60051,205,0.691,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,134,30
6936340604014.952,60051,60051,11,1.077,cuda_runtime,X,cudaPeekAtLastError,138,30
6936340604019.209,60051,60051,211,16.832,cuda_runtime,X,cudaLaunchKernel,139,30
6936340604038.824,60051,60051,211,5.93,cuda_runtime,X,cudaLaunchKernel,141,30
6936340604045.309,60051,60051,11,0.167,cuda_runtime,X,cudaPeekAtLastError,142,30
6936340604083.232,60051,60051,211,8.283,cuda_runtime,X,cudaLaunchKernel,149,33
6936340604171.222,60051,60051,211,9.499,cuda_runtime,X,cudaLaunchKernel,155,34
6936340604256.552,60051,60051,317,1.409,cuda_runtime,X,cudaStreamIsCapturing,165,39
6936340604258.419,60051,60051,20,112.436,cuda_runtime,X,cudaMalloc,166,39
6936340604389.282,60051,60051,135,3.105,cuda_runtime,X,cudaEventRecord,173,37
6936340604392.841,60051,60051,317,0.775,cuda_runtime,X,cudaStreamIsCapturing,174,37
6936340604394.295,60051,60051,203,0.745,cuda_runtime,X,cudaStreamGetPriority,175,37
6936340604395.402,60051,60051,205,0.715,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,176,37
6936340604439.509,60051,60051,135,1.287,cuda_runtime,X,cudaEventRecord,200,37
6936340604441.009,60051,60051,317,0.486,cuda_runtime,X,cudaStreamIsCapturing,201,37
6936340604441.691,60051,60051,203,0.449,cuda_runtime,X,cudaStreamGetPriority,202,37
6936340604442.372,60051,60051,205,0.372,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,203,37
6936340604456.415,60051,60051,211,14.731,cuda_runtime,X,cudaLaunchKernel,211,37
6936340604539.551,60051,60051,317,1.481,cuda_runtime,X,cudaStreamIsCapturing,220,47
6936340604541.448,60051,60051,20,112.617,cuda_runtime,X,cudaMalloc,221,47
6936340604676.662,60051,60051,41,20.111,cuda_runtime,X,cudaMemcpyAsync,227,48
6936340604726.204,60051,60051,211,9.655,cuda_runtime,X,cudaLaunchKernel,235,50
6936340604868.429,60051,60051,317,1.38,cuda_runtime,X,cudaStreamIsCapturing,248,53
6936340604870.242,60051,60051,20,132.4,cuda_runtime,X,cudaMalloc,249,53
6936340605024.47,60051,60051,211,16.139,cuda_runtime,X,cudaLaunchKernel,258,53
6936340605160.116,60051,60051,135,3.15,cuda_runtime,X,cudaEventRecord,269,57
6936340605163.725,60051,60051,317,0.859,cuda_runtime,X,cudaStreamIsCapturing,270,57
6936340605164.96,60051,60051,203,0.68,cuda_runtime,X,cudaStreamGetPriority,271,57
6936340605166.0,60051,60051,205,0.695,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,272,57
6936340605190.833,60051,60051,211,12.642,cuda_runtime,X,cudaLaunchKernel,276,57
6936340605206.127,60051,60051,211,4.753,cuda_runtime,X,cudaLaunchKernel,278,57
6936340605219.177,60051,60051,11,0.234,cuda_runtime,X,cudaPeekAtLastError,280,57
6936340605232.094,60051,60051,273,3.089,cuda_runtime,X,cudaFuncSetAttribute,281,57
6936340605235.436,60051,60051,273,0.56,cuda_runtime,X,cudaFuncSetAttribute,282,57
6936340605236.526,60051,60051,430,7.992,cuda_runtime,X,cudaLaunchKernelExC,283,57
6936340605246.211,60051,60051,11,0.126,cuda_runtime,X,cudaPeekAtLastError,285,57
6936340605278.09,60051,60051,211,7.193,cuda_runtime,X,cudaLaunchKernel,292,60
6936340605341.372,60051,60051,211,7.458,cuda_runtime,X,cudaLaunchKernel,298,61
6936340605416.013,60051,60051,317,1.493,cuda_runtime,X,cudaStreamIsCapturing,308,66
6936340605417.955,60051,60051,20,122.885,cuda_runtime,X,cudaMalloc,309,66
6936340605564.052,60051,60051,135,3.042,cuda_runtime,X,cudaEventRecord,316,64
6936340605567.51,60051,60051,317,0.733,cuda_runtime,X,cudaStreamIsCapturing,317,64
6936340605568.595,60051,60051,203,0.76,cuda_runtime,X,cudaStreamGetPriority,318,64
6936340605569.709,60051,60051,205,0.694,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,319,64
6936340605614.331,60051,60051,135,1.323,cuda_runtime,X,cudaEventRecord,343,64
6936340605615.869,60051,60051,317,0.454,cuda_runtime,X,cudaStreamIsCapturing,344,64
6936340605616.551,60051,60051,203,0.401,cuda_runtime,X,cudaStreamGetPriority,345,64
6936340605617.198,60051,60051,205,0.374,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,346,64
6936340605629.583,60051,60051,211,14.894,cuda_runtime,X,cudaLaunchKernel,354,64
6936340605718.694,60051,60051,41,18.385,cuda_runtime,X,cudaMemcpyAsync,366,75
6936340605762.001,60051,60051,211,8.3,cuda_runtime,X,cudaLaunchKernel,374,77
6936340605872.894,60051,60051,135,2.615,cuda_runtime,X,cudaEventRecord,389,82
6936340605875.902,60051,60051,317,0.726,cuda_runtime,X,cudaStreamIsCapturing,390,82
6936340605876.96,60051,60051,203,0.669,cuda_runtime,X,cudaStreamGetPriority,391,82
6936340605877.993,60051,60051,205,0.616,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,392,82
6936340605886.238,60051,60051,317,1.088,cuda_runtime,X,cudaStreamIsCapturing,398,82
6936340605887.771,60051,60051,20,115.826,cuda_runtime,X,cudaMalloc,399,82
6936340606023.677,60051,60051,211,14.658,cuda_runtime,X,cudaLaunchKernel,400,82
6936340606040.636,60051,60051,211,4.705,cuda_runtime,X,cudaLaunchKernel,402,82
6936340606051.338,60051,60051,11,0.263,cuda_runtime,X,cudaPeekAtLastError,404,82
6936340606057.669,60051,60051,51,9.747,cuda_runtime,X,cudaMemsetAsync,405,82
6936340606069.721,60051,60051,430,8.206,cuda_runtime,X,cudaLaunchKernelExC,406,82
6936340606079.297,60051,60051,11,0.168,cuda_runtime,X,cudaPeekAtLastError,408,82
6936340606115.738,60051,60051,211,7.808,cuda_runtime,X,cudaLaunchKernel,415,85
6936340606191.236,60051,60051,211,7.474,cuda_runtime,X,cudaLaunchKernel,421,86
6936340606272.821,60051,60051,135,2.843,cuda_runtime,X,cudaEventRecord,435,89
6936340606276.114,60051,60051,317,0.871,cuda_runtime,X,cudaStreamIsCapturing,436,89
6936340606277.32,60051,60051,203,0.821,cuda_runtime,X,cudaStreamGetPriority,437,89
6936340606278.498,60051,60051,205,0.642,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,438,89
6936340606320.715,60051,60051,135,1.369,cuda_runtime,X,cudaEventRecord,462,89
6936340606322.294,60051,60051,317,0.454,cuda_runtime,X,cudaStreamIsCapturing,463,89
6936340606323.016,60051,60051,203,0.482,cuda_runtime,X,cudaStreamGetPriority,464,89
6936340606323.713,60051,60051,205,0.409,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,465,89
6936340606336.239,60051,60051,211,8.98,cuda_runtime,X,cudaLaunchKernel,473,89
6936340606402.265,60051,60051,41,19.355,cuda_runtime,X,cudaMemcpyAsync,485,100
6936340606444.918,60051,60051,211,7.994,cuda_runtime,X,cudaLaunchKernel,493,102
6936340606517.098,60051,60051,211,8.043,cuda_runtime,X,cudaLaunchKernel,512,105
6936340606619.763,60051,60051,317,1.466,cuda_runtime,X,cudaStreamIsCapturing,521,109
6936340606621.782,60051,60051,20,126.207,cuda_runtime,X,cudaMalloc,522,109
6936340606765.036,60051,60051,135,3.133,cuda_runtime,X,cudaEventRecord,527,109
6936340606768.632,60051,60051,317,0.696,cuda_runtime,X,cudaStreamIsCapturing,528,109
6936340606769.662,60051,60051,203,0.757,cuda_runtime,X,cudaStreamGetPriority,529,109
6936340606770.804,60051,60051,205,0.701,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,530,109
6936340606791.612,60051,60051,211,14.665,cuda_runtime,X,cudaLaunchKernel,534,109
6936340606808.516,60051,60051,211,4.343,cuda_runtime,X,cudaLaunchKernel,536,109
6936340606818.6,60051,60051,11,0.26,cuda_runtime,X,cudaPeekAtLastError,538,109
6936340606825.294,60051,60051,430,6.907,cuda_runtime,X,cudaLaunchKernelExC,539,109
6936340606833.451,60051,60051,11,0.157,cuda_runtime,X,cudaPeekAtLastError,541,109
6936340606868.896,60051,60051,211,6.799,cuda_runtime,X,cudaLaunchKernel,548,112
6936340606941.169,60051,60051,211,8.006,cuda_runtime,X,cudaLaunchKernel,554,113
6936340607027.151,60051,60051,135,2.745,cuda_runtime,X,cudaEventRecord,568,116
6936340607030.443,60051,60051,317,0.694,cuda_runtime,X,cudaStreamIsCapturing,569,116
6936340607031.477,60051,60051,203,0.733,cuda_runtime,X,cudaStreamGetPriority,570,116
