ts,memory bandwidth (GB/s),tid,pid,dur,context,stream,cat,ph,name,device,bytes,correlation,External id
6936340607647.044,137.7914418425033,7,0,46.72,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,12845056,104,23
6936340608006.819,139.8984501780716,7,0,46.016,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,12845056,227,48
6936340608271.235,138.55092223061158,7,0,23.231,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,6422528,366,75
6936340608498.562,143.08213959498295,7,0,22.496,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,6422528,485,100
6936340608654.914,182.88421891907285,7,0,8.8,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,3211264,620,127
6936340608799.138,184.22718145832138,7,0,8.736,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,3211264,741,152
6936340608944.962,177.72228678952902,7,0,9.056,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,3211264,858,177
6936340609066.306,335.2750052202965,7,0,2.4,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,1605632,993,204
6936340613701.594,318.32513877874703,7,0,2.528,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,1605632,1117,229
6936340613864.826,322.4160642570281,7,0,2.495,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,1605632,1237,254
6936340613975.769,116.41763341067285,7,0,1.728,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,401408,1377,281
6936340614078.937,120.90602409638554,7,0,1.664,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,401408,1498,306
6936340614180.857,118.6193853427896,7,0,1.696,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,401408,1623,331
