Ev Idx,tid,cat,name,pid,dur,Python parent id,Python module id,Python id,ts,ph
364,0,python_function,threading.py(973): _bootstrap,0,15146.895,,,1,6940680645027.508,X
365,0,python_function,threading.py(1016): _bootstrap_inner,0,15142.062,1,,2,6940680645032.341,X
366,0,python_function,decorator.py(232): fun,0,15127.21,2,,3,6940680645047.193,X
367,0,python_function,IPython/core/history.py(61): only_when_enabled,0,15120.141,3,,4,6940680645054.262,X
368,0,python_function,IPython/core/history.py(903): run,0,15114.453,4,,5,6940680645059.95,X
369,0,python_function,threading.py(607): wait,0,15106.495,5,,6,6940680645067.908,X
370,0,python_function,threading.py(320): wait,0,15103.686,6,,7,6940680645070.717,X
371,0,python_function,threading.py(973): _bootstrap,0,15076.083,7,,8,6940680645098.32,X
372,0,python_function,threading.py(1016): _bootstrap_inner,0,15075.571,8,,9,6940680645098.832,X
373,0,python_function,ipykernel/control.py(23): run,0,15066.729,9,,10,6940680645107.674,X
374,0,python_function,tornado/platform/asyncio.py(205): start,0,15048.579,10,,11,6940680645125.824,X
375,0,python_function,asyncio/base_events.py(603): run_forever,0,15035.558,11,,12,6940680645138.845,X
376,0,python_function,asyncio/base_events.py(1871): _run_once,0,15025.834,12,,13,6940680645148.569,X
377,0,python_function,selectors.py(469): select,0,15010.61,13,,14,6940680645163.793,X
378,0,python_function,threading.py(973): _bootstrap,0,15008.362,14,,15,6940680645166.041,X
379,0,python_function,threading.py(1016): _bootstrap_inner,0,15007.997,15,,16,6940680645166.406,X
380,0,python_function,threading.py(953): run,0,15007.347,16,,17,6940680645167.056,X
381,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,14996.476,17,,18,6940680645177.927,X
382,0,python_function,threading.py(973): _bootstrap,0,14980.054,18,,19,6940680645194.349,X
383,0,python_function,threading.py(1016): _bootstrap_inner,0,14979.761,19,,20,6940680645194.642,X
384,0,python_function,threading.py(953): run,0,14977.358,20,,21,6940680645197.045,X
385,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,14977.024,21,,22,6940680645197.379,X
386,0,python_function,threading.py(973): _bootstrap,0,14964.156,22,,23,6940680645210.247,X
387,0,python_function,threading.py(1016): _bootstrap_inner,0,14963.848,23,,24,6940680645210.555,X
388,0,python_function,ipykernel/heartbeat.py(106): run,0,14960.451,24,,25,6940680645213.952,X
389,0,python_function,threading.py(973): _bootstrap,0,14948.592,25,,26,6940680645225.811,X
390,0,python_function,threading.py(1016): _bootstrap_inner,0,14948.294,26,,27,6940680645226.109,X
391,0,python_function,threading.py(953): run,0,14947.75,27,,28,6940680645226.653,X
392,0,python_function,ipykernel/iostream.py(92): _thread_main,0,14945.925,28,,29,6940680645228.478,X
393,0,python_function,tornado/platform/asyncio.py(205): start,0,14943.1,29,,30,6940680645231.303,X
394,0,python_function,asyncio/base_events.py(603): run_forever,0,14942.782,30,,31,6940680645231.621,X
395,0,python_function,asyncio/base_events.py(1871): _run_once,0,14942.289,31,,32,6940680645232.114,X
396,0,python_function,selectors.py(469): select,0,14941.835,32,,33,6940680645232.568,X
397,159650,python_function,runpy.py(196): _run_module_as_main,159650,14898.975,,,34,6940680645275.428,X
398,159650,python_function,runpy.py(86): _run_code,159650,14888.79,34,,35,6940680645285.613,X
399,159650,python_function,ipykernel_launcher.py(18): <module>,159650,14878.444,35,,36,6940680645295.959,X
400,159650,python_function,traitlets/config/application.py(1075): launch_instance,159650,14864.891,36,,37,6940680645309.512,X
401,159650,python_function,ipykernel/kernelapp.py(739): start,159650,14856.59,37,,38,6940680645317.813,X
402,159650,python_function,tornado/platform/asyncio.py(205): start,159650,14856.219,38,,39,6940680645318.184,X
403,159650,python_function,asyncio/base_events.py(603): run_forever,159650,14855.802,39,,40,6940680645318.601,X
404,159650,python_function,asyncio/base_events.py(1909): _run_once,159650,14855.195,40,,41,6940680645319.208,X
405,159650,python_function,asyncio/events.py(80): _run,159650,14841.541,41,,42,6940680645332.862,X
406,159650,python_function,ipykernel/kernelbase.py(545): dispatch_queue,159650,14834.008,42,,43,6940680645340.395,X
407,159650,python_function,ipykernel/kernelbase.py(534): process_one,159650,14833.44,43,,44,6940680645340.963,X
408,159650,python_function,ipykernel/kernelbase.py(437): dispatch_shell,159650,14831.039,44,,45,6940680645343.364,X
409,159650,python_function,ipykernel/ipkernel.py(362): execute_request,159650,14819.047,45,,46,6940680645355.356,X
410,159650,python_function,ipykernel/kernelbase.py(778): execute_request,159650,14817.473,46,,47,6940680645356.93,X
411,159650,python_function,ipykernel/ipkernel.py(449): do_execute,159650,14810.841,47,,48,6940680645363.562,X
412,159650,python_function,ipykernel/zmqshell.py(549): run_cell,159650,14799.519,48,,49,6940680645374.884,X
413,159650,python_function,IPython/core/interactiveshell.py(3075): run_cell,159650,14789.817,49,,50,6940680645384.586,X
414,159650,python_function,IPython/core/interactiveshell.py(3130): _run_cell,159650,14787.875,50,,51,6940680645386.528,X
415,159650,python_function,IPython/core/async_helpers.py(128): _pseudo_sync_runner,159650,14767.957,51,,52,6940680645406.446,X
416,159650,python_function,IPython/core/interactiveshell.py(3334): run_cell_async,159650,14765.776,52,,53,6940680645408.627,X
417,159650,python_function,IPython/core/interactiveshell.py(3517): run_ast_nodes,159650,14762.444,53,,54,6940680645411.959,X
418,159650,python_function,IPython/core/interactiveshell.py(3577): run_code,159650,14760.604,54,,55,6940680645413.799,X
419,159650,python_function,/tmp/ipykernel_159650/3224433625.py(8): <module>,159650,14760.016,55,,56,6940680645414.387,X
420,159650,python_function,pytorch_tracing.py(31): py_tracing_forward,159650,14759.225,56,,57,6940680645415.178,X
421,159650,python_function,torch/profiler/profiler.py(776): step,159650,662.289,57,,58,6940680645415.972,X
422,159650,python_function,torch/profiler/profiler.py(793): _transit_action,159650,353.125,58,,59,6940680645416.47,X
423,159650,python_function,torch/profiler/profiler.py(174): start_trace,159650,351.296,59,,60,6940680645417.207,X
424,159650,python_function,torch/autograd/profiler.py(339): _start_trace,159650,48.446,60,,61,6940680645417.76,X
425,159650,python_function,<built-in function perf_counter_ns>,159650,1.276,61,,62,6940680645454.838,X
426,159650,python_function,torch/profiler/profiler.py(304): add_metadata_json,159650,18.426,60,,63,6940680645474.089,X
427,159650,python_function,<built-in method _add_metadata_json of PyCapsule object at 0x7f2505a790e0>,159650,4.761,63,,64,6940680645487.455,X
