tid,cat,id,name,pid,bp,ts,ph
7,ac2g,9953,ac2g,0,e,6940680935972.229,f
159650,ac2g,9953,ac2g,159650,,6940680933966.875,s
7,ac2g,9979,ac2g,0,e,6940680935974.468,f
159840,ac2g,9979,ac2g,159650,,6940680934645.366,s
7,ac2g,9992,ac2g,0,e,6940680935977.476,f
159840,ac2g,9992,ac2g,159650,,6940680934784.363,s
7,ac2g,10010,ac2g,0,e,6940680936011.909,f
159840,ac2g,10010,ac2g,159650,,6940680934918.055,s
7,ac2g,10023,ac2g,0,e,6940680936014.277,f
159840,ac2g,10023,ac2g,159650,,6940680934975.129,s
7,ac2g,10036,ac2g,0,e,6940680936042.789,f
159840,ac2g,10036,ac2g,159650,,6940680935076.297,s
7,ac2g,10065,ac2g,0,e,6940680936047.941,f
159840,ac2g,10065,ac2g,159650,,6940680935425.897,s
7,ac2g,10086,ac2g,0,e,6940680936050.661,f
159840,ac2g,10086,ac2g,159650,,6940680935580.665,s
7,ac2g,10088,ac2g,0,e,6940680936178.342,f
159840,ac2g,10088,ac2g,159650,,6940680935603.423,s
7,ac2g,10105,ac2g,0,e,6940680936181.894,f
159840,ac2g,10105,ac2g,159650,,6940680935696.881,s
7,ac2g,10118,ac2g,0,e,6940680936299.046,f
159840,ac2g,10118,ac2g,159650,,6940680935786.588,s
7,ac2g,10147,ac2g,0,e,6940680936304.871,f
159840,ac2g,10147,ac2g,159650,,6940680936209.384,s
7,ac2g,10168,ac2g,0,e,6940680938578.421,f
159840,ac2g,10168,ac2g,159650,,6940680936478.96,s
7,ac2g,10169,ac2g,0,e,6940680938581.493,f
159840,ac2g,10169,ac2g,159650,,6940680936514.294,s
7,ac2g,10186,ac2g,0,e,6940680939277.785,f
159840,ac2g,10186,ac2g,159650,,6940680936688.518,s
7,ac2g,10199,ac2g,0,e,6940680940000.99,f
159840,ac2g,10199,ac2g,159650,,6940680936850.05,s
7,ac2g,10231,ac2g,0,e,6940680940006.782,f
159840,ac2g,10231,ac2g,159650,,6940680937355.847,s
7,ac2g,10240,ac2g,0,e,6940680940008.862,f
159840,ac2g,10240,ac2g,159650,,6940680937408.395,s
7,ac2g,10257,ac2g,0,e,6940680940014.75,f
159840,ac2g,10257,ac2g,159650,,6940680937542.545,s
159840,ac2g,10289,ac2g,159650,e,6940680937811.781,f
159840,ac2g,10290,ac2g,159650,e,6940680937820.161,f
159840,ac2g,10291,ac2g,159650,e,6940680937823.192,f
159840,ac2g,10292,ac2g,159650,e,6940680937825.774,f
159840,ac2g,10300,ac2g,159650,e,6940680937884.196,f
7,ac2g,10301,ac2g,0,e,6940680940017.79,f
159840,ac2g,10301,ac2g,159650,,6940680937891.593,s
159840,ac2g,10325,ac2g,159650,e,6940680938176.922,f
159840,ac2g,10326,ac2g,159650,e,6940680938181.965,f
159840,ac2g,10327,ac2g,159650,e,6940680938184.36,f
159840,ac2g,10328,ac2g,159650,e,6940680938186.49,f
7,ac2g,10332,ac2g,0,e,6940680940029.374,f
159840,ac2g,10332,ac2g,159650,,6940680938230.418,s
7,ac2g,10334,ac2g,0,e,6940680940063.838,f
159840,ac2g,10334,ac2g,159650,,6940680938258.719,s
159840,ac2g,10336,ac2g,159650,e,6940680938280.355,f
7,ac2g,10337,ac2g,0,e,6940680940068.831,f
159840,ac2g,10337,ac2g,159650,,6940680938283.808,s
159840,ac2g,10338,ac2g,159650,e,6940680938304.001,f
159840,ac2g,10339,ac2g,159650,e,6940680938308.1,f
