ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6936340956253.321,60237,60051,0,106.729,cpu_op,X,,autograd::engine::evaluate_function: SumBackward0,,1,,,0,265,2561
6936340956280.834,60237,60051,1,58.182,cpu_op,X,"[""float""]",SumBackward0,[[]],1,"[""""]",[[]],0,265,2562
6936340956302.526,60237,60051,2,34.64,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar""]",aten::expand,"[[], [], []]",,"["""", ""[1, 1000]"", ""False""]","[[], [], []]",0,,2563
6936340956317.416,60237,60051,3,7.902,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[], [], [], []]",,"["""", ""[1, 1000]"", ""[0, 0]"", """"]","[[], [], [], []]",0,,2564
6936340956383.589,60237,60051,4,667.332,cpu_op,X,,autograd::engine::evaluate_function: AddmmBackward0,,1,,,0,264,2565
6936340956392.356,60237,60051,5,536.222,cpu_op,X,"[""float""]",AddmmBackward0,"[[0, 0]]",1,"[""""]","[[1, 1000]]",0,264,2566
6936340956404.198,60237,60051,6,23.81,cpu_op,X,"[""float""]",aten::t,"[[1, 4096]]",,"[""""]","[[4096, 1000]]",0,,2567
6936340956412.082,60237,60051,7,10.279,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[1, 4096], [], []]",,"["""", ""0"", ""1""]","[[4096, 1000], [], []]",0,,2568
6936340956418.332,60237,60051,8,2.31,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[1, 4096], [], [], []]",,"["""", ""[1000, 4096]"", ""[4096, 1]"", """"]","[[4096, 1000], [], [], []]",0,,2569
6936340956433.441,60237,60051,9,282.191,cpu_op,X,"[""float"", ""float""]",aten::mm,"[[0, 0], [4096, 1]]",,"["""", """"]","[[1, 1000], [1000, 4096]]",0,,2570
6936340956473.695,60237,60051,10,142.685,cpu_op,X,"[""float"", ""Scalar""]",aten::clone,"[[0, 0], []]",,"["""", ""0""]","[[1, 1000], []]",0,,2571
6936340956478.857,60237,60051,11,27.73,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[0, 0], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[1, 1000], [], [], [], [], []]",0,,2572
6936340956487.814,60237,60051,12,16.447,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 1000]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,2573
6936340956512.105,60237,60051,13,102.429,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::copy_,"[[1000, 1], [0, 0], []]",,"["""", """", ""False""]","[[1, 1000], [1, 1000], []]",0,,2574
6936340956728.056,60237,60051,14,20.271,cpu_op,X,"[""float""]",aten::t,"[[0, 0]]",,"[""""]","[[1, 1000]]",0,,2575
6936340956733.178,60237,60051,15,11.371,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[0, 0], [], []]",,"["""", ""0"", ""1""]","[[1, 1000], [], []]",0,,2576
6936340956739.888,60237,60051,16,3.412,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[0, 0], [], [], []]",,"["""", ""[1000, 1]"", ""[0, 0]"", """"]","[[1, 1000], [], [], []]",0,,2577
6936340956752.637,60237,60051,17,149.886,cpu_op,X,"[""float"", ""float""]",aten::mm,"[[0, 0], [4096, 1]]",,"["""", """"]","[[1000, 1], [1, 4096]]",0,,2578
6936340956773.932,60237,60051,18,73.793,cpu_op,X,"[""float"", ""Scalar""]",aten::clone,"[[0, 0], []]",,"["""", ""0""]","[[1000, 1], []]",0,,2579
6936340956777.341,60237,60051,19,22.377,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[0, 0], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[1000, 1], [], [], [], [], []]",0,,2580
6936340956783.565,60237,60051,20,14.274,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1000, 1]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,2581
6936340956803.737,60237,60051,21,42.435,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::copy_,"[[1, 1], [0, 0], []]",,"["""", """", ""False""]","[[1000, 1], [1000, 1], []]",0,,2582
6936340956908.016,60237,60051,22,16.99,cpu_op,X,"[""float""]",aten::t,"[[4096, 1]]",,"[""""]","[[1000, 4096]]",0,,2583
6936340956911.98,60237,60051,23,8.957,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[4096, 1], [], []]",,"["""", ""0"", ""1""]","[[1000, 4096], [], []]",0,,2584
6936340956917.177,60237,60051,24,2.712,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[4096, 1], [], [], []]",,"["""", ""[4096, 1000]"", ""[1, 4096]"", """"]","[[1000, 4096], [], [], []]",0,,2585
6936340956938.227,60237,60051,25,65.343,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,"[[0, 0], [], [], []]",,"["""", ""[0]"", ""True"", """"]","[[1, 1000], [], [], []]",0,,2586
6936340957011.619,60237,60051,26,8.314,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1000, 1], []]",,"["""", ""[1000]""]","[[1, 1000], []]",0,,2587
6936340957091.976,60237,60051,27,46.915,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,2588
6936340957102.727,60237,60051,28,27.454,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[1000]],0,,2589
6936340957112.449,60237,60051,29,15.4,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[1000]],0,,2590
6936340957117.119,60237,60051,30,9.809,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[1000]],0,,2591
6936340957157.991,60237,60051,31,38.515,cpu_op,X,,autograd::engine::evaluate_function: TBackward0,,1,,,0,263,2592
6936340957164.907,60237,60051,32,22.062,cpu_op,X,"[""float""]",TBackward0,"[[1, 4096]]",1,"[""""]","[[4096, 1000]]",0,263,2593
6936340957168.706,60237,60051,33,17.12,cpu_op,X,"[""float""]",aten::t,"[[1, 4096]]",,"[""""]","[[4096, 1000]]",0,,2594
6936340957173.061,60237,60051,34,9.276,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[1, 4096], [], []]",,"["""", ""0"", ""1""]","[[4096, 1000], [], []]",0,,2595
6936340957178.564,60237,60051,35,2.555,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[1, 4096], [], [], []]",,"["""", ""[1000, 4096]"", ""[4096, 1]"", """"]","[[4096, 1000], [], [], []]",0,,2596
6936340957216.032,60237,60051,36,25.544,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,2597
6936340957224.025,60237,60051,37,11.942,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,"[[4096, 1]]",,"[""""]","[[1000, 4096]]",0,,2598
6936340957228.06,60237,60051,38,6.66,cpu_op,X,"[""float""]",aten::detach,"[[4096, 1]]",,"[""""]","[[1000, 4096]]",0,,2599
6936340957230.571,60237,60051,39,3.297,cpu_op,X,"[""float""]",detach,"[[4096, 1]]",,"[""""]","[[1000, 4096]]",0,,2600
6936340957259.769,60237,60051,40,116.016,cpu_op,X,,autograd::engine::evaluate_function: NativeDropoutBackward0,,1,,,0,262,2601
6936340957266.449,60237,60051,41,95.113,cpu_op,X,"[""float""]",NativeDropoutBackward0,"[[4096, 1]]",1,"[""""]","[[1, 4096]]",0,262,2602
6936340957273.581,60237,60051,42,86.192,cpu_op,X,"[""float"", ""bool"", ""Scalar""]",aten::native_dropout_backward,"[[4096, 1], [4096, 1], []]",,"["""", """", ""1.25""]","[[1, 4096], [1, 4096], []]",0,,2603
6936340957283.9,60237,60051,43,26.347,cpu_op,X,"[""float"", """", """", """", """", ""Scalar""]",aten::empty_like,"[[4096, 1], [], [], [], [], []]",,"["""", """", """", """", """", ""0""]","[[1, 4096], [], [], [], [], []]",0,,2604
6936340957290.145,60237,60051,44,18.027,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 4096]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,2605
6936340957398.368,60237,60051,45,374.841,cpu_op,X,,autograd::engine::evaluate_function: AddmmBackward0,,1,,,0,261,2606
6936340957405.449,60237,60051,46,258.841,cpu_op,X,"[""float""]",AddmmBackward0,"[[4096, 1]]",1,"[""""]","[[1, 4096]]",0,261,2607
6936340957411.509,60237,60051,47,16.137,cpu_op,X,"[""float""]",aten::t,"[[1, 4096]]",,"[""""]","[[4096, 4096]]",0,,2608
6936340957415.778,60237,60051,48,8.465,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[1, 4096], [], []]",,"["""", ""0"", ""1""]","[[4096, 4096], [], []]",0,,2609
6936340957420.745,60237,60051,49,2.41,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[1, 4096], [], [], []]",,"["""", ""[4096, 4096]"", ""[4096, 1]"", """"]","[[4096, 4096], [], [], []]",0,,2610
6936340957431.51,60237,60051,50,91.91,cpu_op,X,"[""float"", ""float""]",aten::mm,"[[4096, 1], [4096, 1]]",,"["""", """"]","[[1, 4096], [4096, 4096]]",0,,2611
6936340957531.053,60237,60051,51,14.86,cpu_op,X,"[""float""]",aten::t,"[[4096, 1]]",,"[""""]","[[1, 4096]]",0,,2612
6936340957534.545,60237,60051,52,8.687,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[4096, 1], [], []]",,"["""", ""0"", ""1""]","[[1, 4096], [], []]",0,,2613
6936340957540.339,60237,60051,53,1.99,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[4096, 1], [], [], []]",,"["""", ""[4096, 1]"", ""[1, 4096]"", """"]","[[1, 4096], [], [], []]",0,,2614
6936340957549.225,60237,60051,54,91.143,cpu_op,X,"[""float"", ""float""]",aten::mm,"[[1, 4096], [4096, 1]]",,"["""", """"]","[[4096, 1], [1, 4096]]",0,,2615
6936340957646.177,60237,60051,55,15.206,cpu_op,X,"[""float""]",aten::t,"[[4096, 1]]",,"[""""]","[[4096, 4096]]",0,,2616
6936340957649.689,60237,60051,56,8.936,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[4096, 1], [], []]",,"["""", ""0"", ""1""]","[[4096, 4096], [], []]",0,,2617
6936340957654.681,60237,60051,57,2.908,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[4096, 1], [], [], []]",,"["""", ""[4096, 4096]"", ""[1, 4096]"", """"]","[[4096, 4096], [], [], []]",0,,2618
6936340957671.015,60237,60051,58,62.094,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,"[[4096, 1], [], [], []]",,"["""", ""[0]"", ""True"", """"]","[[1, 4096], [], [], []]",0,,2619
6936340957740.232,60237,60051,59,5.984,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[4096, 1], []]",,"["""", ""[4096]""]","[[1, 4096], []]",0,,2620
6936340957805.674,60237,60051,60,33.092,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,2621
6936340957815.166,60237,60051,61,17.703,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[4096]],0,,2622
6936340957821.041,60237,60051,62,10.083,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[4096]],0,,2623
6936340957824.719,60237,60051,63,5.678,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[4096]],0,,2624
6936340957856.503,60237,60051,64,35.107,cpu_op,X,,autograd::engine::evaluate_function: TBackward0,,1,,,0,260,2625
6936340957863.22,60237,60051,65,20.036,cpu_op,X,"[""float""]",TBackward0,"[[1, 4096]]",1,"[""""]","[[4096, 4096]]",0,260,2626
6936340957866.477,60237,60051,66,15.726,cpu_op,X,"[""float""]",aten::t,"[[1, 4096]]",,"[""""]","[[4096, 4096]]",0,,2627
6936340957870.641,60237,60051,67,8.355,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[1, 4096], [], []]",,"["""", ""0"", ""1""]","[[4096, 4096], [], []]",0,,2628
6936340957875.552,60237,60051,68,2.247,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[1, 4096], [], [], []]",,"["""", ""[4096, 4096]"", ""[4096, 1]"", """"]","[[4096, 4096], [], [], []]",0,,2629
6936340957910.786,60237,60051,69,24.472,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,2630
6936340957918.509,60237,60051,70,11.722,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,"[[4096, 1]]",,"[""""]","[[4096, 4096]]",0,,2631
6936340957922.487,60237,60051,71,6.455,cpu_op,X,"[""float""]",aten::detach,"[[4096, 1]]",,"[""""]","[[4096, 4096]]",0,,2632
6936340957924.908,60237,60051,72,3.278,cpu_op,X,"[""float""]",detach,"[[4096, 1]]",,"[""""]","[[4096, 4096]]",0,,2633
6936340957952.067,60237,60051,73,100.215,cpu_op,X,,autograd::engine::evaluate_function: NativeDropoutBackward0,,1,,,0,259,2634
6936340957958.421,60237,60051,74,79.235,cpu_op,X,"[""float""]",NativeDropoutBackward0,"[[4096, 1]]",1,"[""""]","[[1, 4096]]",0,259,2635
6936340957963.469,60237,60051,75,72.614,cpu_op,X,"[""float"", ""bool"", ""Scalar""]",aten::native_dropout_backward,"[[4096, 1], [4096, 1], []]",,"["""", """", ""1.25""]","[[1, 4096], [1, 4096], []]",0,,2636
