tid,cat,name,pid,dur,External id,cbid,correlation,ts,ph
159650,cuda_runtime,cudaLaunchKernel,159650,25.866,2054,211,9953,6940680933966.875,X
159840,cuda_runtime,cudaLaunchKernel,159650,60.356,2574,211,9979,6940680934645.366,X
159840,cuda_runtime,cudaLaunchKernel,159650,16.958,2570,211,9992,6940680934784.363,X
159840,cuda_runtime,cudaLaunchKernel,159650,18.284,2582,211,10010,6940680934918.055,X
159840,cuda_runtime,cudaLaunchKernel,159650,15.437,2578,211,10023,6940680934975.129,X
159840,cuda_runtime,cudaLaunchKernel,159650,19.25,2586,211,10036,6940680935076.297,X
159840,cuda_runtime,cudaLaunchKernel,159650,22.637,2603,211,10065,6940680935425.897,X
159840,cuda_runtime,cudaLaunchKernel,159650,19.059,2611,211,10086,6940680935580.665,X
159840,cuda_runtime,cudaLaunchKernel,159650,13.361,2611,211,10088,6940680935603.423,X
159840,cuda_runtime,cudaLaunchKernel,159650,17.858,2615,211,10105,6940680935696.881,X
159840,cuda_runtime,cudaLaunchKernel,159650,16.228,2619,211,10118,6940680935786.588,X
159840,cuda_runtime,cudaLaunchKernel,159650,40.836,2636,211,10147,6940680936209.384,X
159840,cuda_runtime,cudaMemsetAsync,159650,30.597,2644,51,10168,6940680936478.96,X
159840,cuda_runtime,cudaLaunchKernel,159650,34.475,2644,211,10169,6940680936514.294,X
159840,cuda_runtime,cudaLaunchKernel,159650,29.157,2648,211,10186,6940680936688.518,X
159840,cuda_runtime,cudaLaunchKernel,159650,28.883,2652,211,10199,6940680936850.05,X
159840,cuda_runtime,cudaLaunchKernel,159650,31.524,2675,211,10231,6940680937355.847,X
159840,cuda_runtime,cudaLaunchKernel,159650,13.682,2673,211,10240,6940680937408.395,X
159840,cuda_runtime,cudaLaunchKernel,159650,40.148,2678,211,10257,6940680937542.545,X
159840,cuda_runtime,cudaEventRecord,159650,7.392,2682,135,10289,6940680937811.781,X
159840,cuda_runtime,cudaStreamIsCapturing,159650,2.29,2682,317,10290,6940680937820.161,X
159840,cuda_runtime,cudaStreamGetPriority,159650,1.811,2682,203,10291,6940680937823.192,X
159840,cuda_runtime,cudaDeviceGetStreamPriorityRange,159650,1.709,2682,205,10292,6940680937825.774,X
159840,cuda_runtime,cudaFuncSetAttribute,159650,5.122,2682,273,10300,6940680937884.196,X
159840,cuda_runtime,cudaLaunchKernel,159650,26.211,2682,211,10301,6940680937891.593,X
159840,cuda_runtime,cudaEventRecord,159650,4.346,2698,135,10325,6940680938176.922,X
159840,cuda_runtime,cudaStreamIsCapturing,159650,1.779,2698,317,10326,6940680938181.965,X
159840,cuda_runtime,cudaStreamGetPriority,159650,1.333,2698,203,10327,6940680938184.36,X
159840,cuda_runtime,cudaDeviceGetStreamPriorityRange,159650,1.439,2698,205,10328,6940680938186.49,X
159840,cuda_runtime,cudaLaunchKernel,159650,23.109,2698,211,10332,6940680938230.418,X
159840,cuda_runtime,cudaLaunchKernel,159650,10.5,2698,211,10334,6940680938258.719,X
159840,cuda_runtime,cudaPeekAtLastError,159650,0.626,2698,11,10336,6940680938280.355,X
159840,cuda_runtime,cudaMemsetAsync,159650,17.054,2698,51,10337,6940680938283.808,X
159840,cuda_runtime,cudaFuncSetAttribute,159650,3.587,2698,273,10338,6940680938304.001,X
159840,cuda_runtime,cudaFuncSetAttribute,159650,1.332,2698,273,10339,6940680938308.1,X
159840,cuda_runtime,cudaLaunchKernelExC,159650,15.416,2698,430,10340,6940680938310.53,X
159840,cuda_runtime,cudaPeekAtLastError,159650,0.381,2698,11,10342,6940680938328.288,X
159840,cuda_runtime,cudaLaunchKernel,159650,11.718,2698,211,10343,6940680938334.071,X
159840,cuda_runtime,cudaEventRecord,159650,3.557,2698,135,10356,6940680938397.51,X
159840,cuda_runtime,cudaStreamIsCapturing,159650,1.418,2698,317,10357,6940680938401.574,X
159840,cuda_runtime,cudaStreamGetPriority,159650,1.273,2698,203,10358,6940680938403.514,X
159840,cuda_runtime,cudaDeviceGetStreamPriorityRange,159650,1.199,2698,205,10359,6940680938405.302,X
159840,cuda_runtime,cudaLaunchKernel,159650,13.501,2698,211,10363,6940680938428.893,X
159840,cuda_runtime,cudaLaunchKernel,159650,9.667,2698,211,10365,6940680938446.655,X
159840,cuda_runtime,cudaFuncSetAttribute,159650,1.92,2698,273,10367,6940680938464.968,X
159840,cuda_runtime,cudaPeekAtLastError,159650,0.321,2698,11,10368,6940680938467.985,X
159840,cuda_runtime,cudaLaunchKernel,159650,11.292,2698,211,10369,6940680938470.355,X
159840,cuda_runtime,cudaPeekAtLastError,159650,0.275,2698,11,10372,6940680938484.073,X
159840,cuda_runtime,cudaLaunchKernel,159650,9.934,2698,211,10373,6940680938487.901,X
159840,cuda_runtime,cudaLaunchKernel,159650,18.027,2701,211,10387,6940680938577.903,X
159840,cuda_runtime,cudaLaunchKernel,159650,19.385,2713,211,10414,6940680938826.009,X
159840,cuda_runtime,cudaEventRecord,159650,4.396,2717,135,10446,6940680938992.439,X
159840,cuda_runtime,cudaStreamIsCapturing,159650,1.623,2717,317,10447,6940680938997.517,X
159840,cuda_runtime,cudaStreamGetPriority,159650,1.609,2717,203,10448,6940680938999.757,X
159840,cuda_runtime,cudaDeviceGetStreamPriorityRange,159650,1.288,2717,205,10449,6940680939002.017,X
159840,cuda_runtime,cudaFuncSetAttribute,159650,3.563,2717,273,10457,6940680939051.974,X
159840,cuda_runtime,cudaLaunchKernel,159650,18.068,2717,211,10458,6940680939057.307,X
159840,cuda_runtime,cudaEventRecord,159650,4.129,2733,135,10482,6940680939295.897,X
159840,cuda_runtime,cudaStreamIsCapturing,159650,1.497,2733,317,10483,6940680939300.703,X
159840,cuda_runtime,cudaStreamGetPriority,159650,1.384,2733,203,10484,6940680939302.777,X
159840,cuda_runtime,cudaDeviceGetStreamPriorityRange,159650,1.273,2733,205,10485,6940680939304.792,X
159840,cuda_runtime,cudaLaunchKernel,159650,19.937,2733,211,10489,6940680939334.467,X
