Ev Idx,tid,cat,name,pid,dur,Python parent id,Python id,ts,ph
656,0,python_function,threading.py(973): _bootstrap,0,54341.315,,1,6940680930543.101,X
657,0,python_function,threading.py(1016): _bootstrap_inner,0,54340.05,1,2,6940680930544.366,X
658,0,python_function,decorator.py(232): fun,0,54337.927,2,3,6940680930546.489,X
659,0,python_function,IPython/core/history.py(61): only_when_enabled,0,54337.093,3,4,6940680930547.323,X
660,0,python_function,IPython/core/history.py(903): run,0,54335.112,4,5,6940680930549.304,X
661,0,python_function,threading.py(607): wait,0,54334.508,5,6,6940680930549.908,X
662,0,python_function,threading.py(320): wait,0,54333.912,6,7,6940680930550.504,X
663,0,python_function,threading.py(973): _bootstrap,0,54331.508,7,8,6940680930552.908,X
664,0,python_function,threading.py(1016): _bootstrap_inner,0,54331.016,8,9,6940680930553.4,X
665,0,python_function,ipykernel/control.py(23): run,0,54329.766,9,10,6940680930554.65,X
666,0,python_function,tornado/platform/asyncio.py(205): start,0,54328.417,10,11,6940680930555.999,X
667,0,python_function,asyncio/base_events.py(603): run_forever,0,54327.098,11,12,6940680930557.318,X
668,0,python_function,asyncio/base_events.py(1871): _run_once,0,54326.395,12,13,6940680930558.021,X
669,0,python_function,selectors.py(469): select,0,54325.6,13,14,6940680930558.816,X
670,0,python_function,threading.py(973): _bootstrap,0,54324.064,14,15,6940680930560.352,X
671,0,python_function,threading.py(1016): _bootstrap_inner,0,54323.731,15,16,6940680930560.685,X
672,0,python_function,threading.py(953): run,0,54322.554,16,17,6940680930561.862,X
673,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,54321.936,17,18,6940680930562.48,X
674,0,python_function,threading.py(973): _bootstrap,0,54320.507,18,19,6940680930563.909,X
675,0,python_function,threading.py(1016): _bootstrap_inner,0,54320.166,19,20,6940680930564.25,X
676,0,python_function,threading.py(953): run,0,54319.345,20,21,6940680930565.071,X
677,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,54319.05,21,22,6940680930565.366,X
678,0,python_function,threading.py(973): _bootstrap,0,54317.948,22,23,6940680930566.468,X
679,0,python_function,threading.py(1016): _bootstrap_inner,0,54317.645,23,24,6940680930566.771,X
680,0,python_function,ipykernel/heartbeat.py(106): run,0,54316.545,24,25,6940680930567.871,X
681,0,python_function,threading.py(973): _bootstrap,0,54314.85,25,26,6940680930569.566,X
682,0,python_function,threading.py(1016): _bootstrap_inner,0,54314.593,26,27,6940680930569.823,X
683,0,python_function,threading.py(953): run,0,54314.0,27,28,6940680930570.416,X
684,0,python_function,ipykernel/iostream.py(92): _thread_main,0,54313.388,28,29,6940680930571.028,X
685,0,python_function,tornado/platform/asyncio.py(205): start,0,54312.557,29,30,6940680930571.859,X
686,0,python_function,asyncio/base_events.py(603): run_forever,0,54312.198,30,31,6940680930572.218,X
687,0,python_function,asyncio/base_events.py(1871): _run_once,0,54311.805,31,32,6940680930572.611,X
688,0,python_function,selectors.py(469): select,0,54311.375,32,33,6940680930573.041,X
689,159650,python_function,runpy.py(196): _run_module_as_main,159650,54304.823,,34,6940680930579.593,X
690,159650,python_function,runpy.py(86): _run_code,159650,54304.102,34,35,6940680930580.314,X
691,159650,python_function,ipykernel_launcher.py(18): <module>,159650,54303.119,35,36,6940680930581.297,X
692,159650,python_function,traitlets/config/application.py(1075): launch_instance,159650,54302.171,36,37,6940680930582.245,X
693,159650,python_function,ipykernel/kernelapp.py(739): start,159650,54300.932,37,38,6940680930583.484,X
694,159650,python_function,tornado/platform/asyncio.py(205): start,159650,54300.305,38,39,6940680930584.111,X
695,159650,python_function,asyncio/base_events.py(603): run_forever,159650,54299.93,39,40,6940680930584.486,X
696,159650,python_function,asyncio/base_events.py(1909): _run_once,159650,54299.382,40,41,6940680930585.034,X
697,159650,python_function,asyncio/events.py(80): _run,159650,54297.848,41,42,6940680930586.568,X
698,159650,python_function,ipykernel/kernelbase.py(545): dispatch_queue,159650,54296.983,42,43,6940680930587.433,X
699,159650,python_function,ipykernel/kernelbase.py(534): process_one,159650,54296.424,43,44,6940680930587.992,X
700,159650,python_function,ipykernel/kernelbase.py(437): dispatch_shell,159650,54295.674,44,45,6940680930588.742,X
701,159650,python_function,ipykernel/ipkernel.py(362): execute_request,159650,54294.877,45,46,6940680930589.539,X
702,159650,python_function,ipykernel/kernelbase.py(778): execute_request,159650,54294.246,46,47,6940680930590.17,X
703,159650,python_function,ipykernel/ipkernel.py(449): do_execute,159650,54293.181,47,48,6940680930591.235,X
704,159650,python_function,ipykernel/zmqshell.py(549): run_cell,159650,54292.104,48,49,6940680930592.312,X
705,159650,python_function,IPython/core/interactiveshell.py(3075): run_cell,159650,54290.262,49,50,6940680930594.154,X
