ts,tid,pid,cat,ph,bp,name,id
6928969296052.974,7,0,ac2g,f,e,ac2g,4072
6928969283588.53,4097061,4097061,ac2g,s,,ac2g,4072
6928969304178.369,7,0,ac2g,f,e,ac2g,4085
6928969296643.635,4097061,4097061,ac2g,s,,ac2g,4085
6928969326106.846,7,0,ac2g,f,e,ac2g,4111
6928969305605.539,4097251,4097061,ac2g,s,,ac2g,4111
6928969326176.472,4097251,4097061,ac2g,f,e,ac2g,4118
6928969326194.308,4097251,4097061,ac2g,f,e,ac2g,4120
6928969326231.678,4097251,4097061,ac2g,f,e,ac2g,4129
6928969326246.029,4097251,4097061,ac2g,f,e,ac2g,4138
6928969328811.545,4097251,4097061,ac2g,f,e,ac2g,4153
6928969328837.21,7,0,ac2g,f,e,ac2g,4155
6928969328818.988,4097251,4097061,ac2g,s,,ac2g,4155
6928969338452.49,7,0,ac2g,f,e,ac2g,4156
6928969328852.675,4097251,4097061,ac2g,s,,ac2g,4156
6928969338665.674,7,0,ac2g,f,e,ac2g,4174
6928969338648.817,4097251,4097061,ac2g,s,,ac2g,4174
6928969338727.484,4097251,4097061,ac2g,f,e,ac2g,4187
6928969344843.681,7,0,ac2g,f,e,ac2g,4188
6928969344824.886,4097251,4097061,ac2g,s,,ac2g,4188
6928969345000.96,7,0,ac2g,f,e,ac2g,4201
6928969344985.386,4097251,4097061,ac2g,s,,ac2g,4201
6928969356683.821,7,0,ac2g,f,e,ac2g,4231
6928969345366.415,4097251,4097061,ac2g,s,,ac2g,4231
6928969370213.464,7,0,ac2g,f,e,ac2g,4245
6928969356920.167,4097251,4097061,ac2g,s,,ac2g,4245
6928969370487.434,4097251,4097061,ac2g,f,e,ac2g,4280
6928969370491.424,4097251,4097061,ac2g,f,e,ac2g,4282
6928969370492.855,4097251,4097061,ac2g,f,e,ac2g,4283
6928969370495.7,4097251,4097061,ac2g,f,e,ac2g,4284
6928969370496.652,4097251,4097061,ac2g,f,e,ac2g,4285
6928969370497.542,4097251,4097061,ac2g,f,e,ac2g,4286
6928969370498.243,4097251,4097061,ac2g,f,e,ac2g,4287
6928969370498.922,4097251,4097061,ac2g,f,e,ac2g,4288
6928969370499.61,4097251,4097061,ac2g,f,e,ac2g,4289
6928969370500.314,4097251,4097061,ac2g,f,e,ac2g,4290
6928969370501.25,4097251,4097061,ac2g,f,e,ac2g,4291
6928969371882.383,4097251,4097061,ac2g,f,e,ac2g,4292
6928969372444.139,4097251,4097061,ac2g,f,e,ac2g,4293
6928969372444.685,4097251,4097061,ac2g,f,e,ac2g,4294
6928969372445.157,4097251,4097061,ac2g,f,e,ac2g,4295
6928969372445.623,4097251,4097061,ac2g,f,e,ac2g,4296
6928969372446.289,4097251,4097061,ac2g,f,e,ac2g,4297
6928969372447.256,4097251,4097061,ac2g,f,e,ac2g,4298
6928969372447.669,4097251,4097061,ac2g,f,e,ac2g,4299
6928969372448.314,4097251,4097061,ac2g,f,e,ac2g,4300
6928969372448.764,4097251,4097061,ac2g,f,e,ac2g,4301
6928969372449.207,4097251,4097061,ac2g,f,e,ac2g,4302
6928969372449.626,4097251,4097061,ac2g,f,e,ac2g,4303
6928969372450.654,4097251,4097061,ac2g,f,e,ac2g,4304
6928969373588.395,4097251,4097061,ac2g,f,e,ac2g,4305
6928969373588.895,4097251,4097061,ac2g,f,e,ac2g,4306
6928969373590.741,4097251,4097061,ac2g,f,e,ac2g,4307
6928969373612.781,4097251,4097061,ac2g,f,e,ac2g,4308
6928969373616.702,4097251,4097061,ac2g,f,e,ac2g,4309
6928969373620.484,4097251,4097061,ac2g,f,e,ac2g,4310
6928969373624.365,4097251,4097061,ac2g,f,e,ac2g,4311
6928969373627.845,4097251,4097061,ac2g,f,e,ac2g,4312
6928969373632.034,4097251,4097061,ac2g,f,e,ac2g,4313
6928969373640.036,4097251,4097061,ac2g,f,e,ac2g,4314
6928969373892.862,4097251,4097061,ac2g,f,e,ac2g,4315
6928969373895.933,4097251,4097061,ac2g,f,e,ac2g,4316
6928969373898.374,4097251,4097061,ac2g,f,e,ac2g,4317
6928969373901.03,4097251,4097061,ac2g,f,e,ac2g,4318
6928969373903.945,4097251,4097061,ac2g,f,e,ac2g,4319
6928969373906.356,4097251,4097061,ac2g,f,e,ac2g,4320
6928969373908.827,4097251,4097061,ac2g,f,e,ac2g,4321
6928969373911.236,4097251,4097061,ac2g,f,e,ac2g,4322
6928969373944.009,4097251,4097061,ac2g,f,e,ac2g,4323
6928969373997.17,30,0,ac2g,f,e,ac2g,4324
6928969373964.713,4097251,4097061,ac2g,s,,ac2g,4324
6928969374003.037,4097251,4097061,ac2g,f,e,ac2g,4326
6928969374024.992,4097251,4097061,ac2g,f,e,ac2g,4327
6928969374031.536,4097251,4097061,ac2g,f,e,ac2g,4328
6928969374042.684,4097251,4097061,ac2g,f,e,ac2g,4330
6928969374047.735,4097251,4097061,ac2g,f,e,ac2g,4331
6928969374050.527,4097251,4097061,ac2g,f,e,ac2g,4332
6928969374052.43,4097251,4097061,ac2g,f,e,ac2g,4333
6928969374493.387,4097251,4097061,ac2g,f,e,ac2g,4341
6928969385810.623,7,0,ac2g,f,e,ac2g,4342
6928969385790.945,4097251,4097061,ac2g,s,,ac2g,4342
6928969386114.154,4097251,4097061,ac2g,f,e,ac2g,4366
6928969386120.299,4097251,4097061,ac2g,f,e,ac2g,4367
6928969386122.059,4097251,4097061,ac2g,f,e,ac2g,4368
6928969386123.666,4097251,4097061,ac2g,f,e,ac2g,4369
6928969386610.003,4097251,4097061,ac2g,f,e,ac2g,4371
6928969386891.082,4097251,4097061,ac2g,f,e,ac2g,4372
6928969387084.37,4097251,4097061,ac2g,f,e,ac2g,4373
6928969387260.759,4097251,4097061,ac2g,f,e,ac2g,4374
6928969387473.047,4097251,4097061,ac2g,f,e,ac2g,4375
6928969387655.472,4097251,4097061,ac2g,f,e,ac2g,4376
6928969387847.849,4097251,4097061,ac2g,f,e,ac2g,4377
6928969388214.484,4097251,4097061,ac2g,f,e,ac2g,4378
6928969388402.281,4097251,4097061,ac2g,f,e,ac2g,4379
6928969388570.285,4097251,4097061,ac2g,f,e,ac2g,4380
6928969388741.892,4097251,4097061,ac2g,f,e,ac2g,4381
6928969388904.043,4097251,4097061,ac2g,f,e,ac2g,4382
6928969389214.075,4097251,4097061,ac2g,f,e,ac2g,4383
6928969389220.027,4097251,4097061,ac2g,f,e,ac2g,4384
6928969389225.233,4097251,4097061,ac2g,f,e,ac2g,4385
6928969389229.257,4097251,4097061,ac2g,f,e,ac2g,4386
6928969389233.62,4097251,4097061,ac2g,f,e,ac2g,4387
6928969389238.027,4097251,4097061,ac2g,f,e,ac2g,4388
6928969389242.249,4097251,4097061,ac2g,f,e,ac2g,4389
6928969389246.001,4097251,4097061,ac2g,f,e,ac2g,4390
