Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
0,4097251,cpu_op,0,,autograd::engine::evaluate_function: SumBackward0,4097061,242.745,1025,,210,,,6928969305046.431,1,X
1,4097251,cpu_op,0,"[""float""]",SumBackward0,4097061,151.441,1026,"[""""]",210,[[]],[[]],6928969305117.488,1,X
2,4097251,cpu_op,0,"[""float"", ""ScalarList"", ""Scalar""]",aten::expand,4097061,68.495,1027,"["""", ""[5, 1000]"", ""False""]",,"[[], [], []]","[[], [], []]",6928969305189.721,,X
3,4097251,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,4097061,7.489,1028,"["""", ""[5, 1000]"", ""[0, 0]"", """"]",,"[[], [], [], []]","[[], [], [], []]",6928969305239.44,,X
4,4097251,cpu_op,0,,autograd::engine::evaluate_function: AddmmBackward0,4097061,39735.939,1029,,209,,,6928969305314.693,1,X
5,4097251,cpu_op,0,"[""float""]",AddmmBackward0,4097061,39575.722,1030,"[""""]",209,"[[0, 0]]","[[5, 1000]]",6928969305334.963,1,X
6,4097251,cpu_op,0,"[""float""]",aten::t,4097061,28.283,1031,"[""""]",,"[[1, 512]]","[[512, 1000]]",6928969305349.169,,X
7,4097251,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,4097061,10.708,1032,"["""", ""0"", ""1""]",,"[[1, 512], [], []]","[[512, 1000], [], []]",6928969305361.207,,X
8,4097251,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,4097061,1.7,1033,"["""", ""[1000, 512]"", ""[512, 1]"", """"]",,"[[1, 512], [], [], []]","[[512, 1000], [], [], []]",6928969305368.704,,X
9,4097251,cpu_op,0,"[""float"", ""float""]",aten::mm,4097061,33094.174,1034,"["""", """"]",,"[[0, 0], [512, 1]]","[[5, 1000], [1000, 512]]",6928969305395.076,,X
10,4097251,cpu_op,0,"[""float"", ""Scalar""]",aten::clone,4097061,20686.663,1035,"["""", ""0""]",,"[[0, 0], []]","[[5, 1000], []]",6928969305456.32,,X
11,4097251,cpu_op,0,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,4097061,39.357,1036,"["""", ""6"", ""0"", """", """", ""0""]",,"[[0, 0], [], [], [], [], []]","[[5, 1000], [], [], [], [], []]",6928969305462.744,,X
12,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,4097061,28.891,1037,"[""[5, 1000]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969305471.163,,X
13,4097251,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::copy_,4097061,20629.464,1038,"["""", """", ""False""]",,"[[1000, 1], [0, 0], []]","[[5, 1000], [5, 1000], []]",6928969305508.517,,X
14,4097251,cpu_op,0,"[""float""]",aten::t,4097061,33.811,1039,"[""""]",,"[[0, 0]]","[[5, 1000]]",6928969338520.063,,X
15,4097251,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,4097061,17.133,1040,"["""", ""0"", ""1""]",,"[[0, 0], [], []]","[[5, 1000], [], []]",6928969338531.023,,X
16,4097251,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,4097061,6.16,1041,"["""", ""[1000, 5]"", ""[0, 0]"", """"]",,"[[0, 0], [], [], []]","[[5, 1000], [], [], []]",6928969338541.114,,X
17,4097251,cpu_op,0,"[""float"", ""float""]",aten::mm,4097061,6307.167,1042,"["""", """"]",,"[[0, 0], [512, 1]]","[[1000, 5], [5, 512]]",6928969338558.568,,X
18,4097251,cpu_op,0,"[""float"", ""Scalar""]",aten::clone,4097061,89.149,1043,"["""", ""0""]",,"[[0, 0], []]","[[1000, 5], []]",6928969338585.435,,X
19,4097251,cpu_op,0,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,4097061,23.694,1044,"["""", ""6"", ""0"", """", """", ""0""]",,"[[0, 0], [], [], [], [], []]","[[1000, 5], [], [], [], [], []]",6928969338590.591,,X
20,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,4097061,10.929,1045,"[""[1000, 5]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969338601.814,,X
21,4097251,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::copy_,4097061,55.01,1046,"["""", """", ""False""]",,"[[5, 1], [0, 0], []]","[[1000, 5], [1000, 5], []]",6928969338618.638,,X
22,4097251,cpu_op,0,"[""float""]",aten::t,4097061,23.893,1047,"[""""]",,"[[512, 1]]","[[1000, 512]]",6928969344881.325,,X
23,4097251,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,4097061,12.925,1048,"["""", ""0"", ""1""]",,"[[512, 1], [], []]","[[1000, 512], [], []]",6928969344887.991,,X
