tid,cat,name,pid,dur,External id,cbid,correlation,ts,ph
4097061,cuda_runtime,cudaLaunchKernel,4097061,12471.894,515,211,4072,6928969283588.53,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,7537.732,520,211,4085,6928969296643.635,X
4097251,cuda_runtime,cudaLaunchKernel,4097061,20512.715,1038,211,4111,6928969305605.539,X
4097251,cuda_runtime,cudaFree,4097061,4.207,1034,22,4118,6928969326176.472,X
4097251,cuda_runtime,cudaMalloc,4097061,21.692,1034,20,4120,6928969326194.308,X
4097251,cuda_runtime,cudaMalloc,4097061,4.825,1034,20,4129,6928969326231.678,X
4097251,cuda_runtime,cudaMalloc,4097061,261.622,1034,20,4138,6928969326246.029,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,3.386,1034,200,4153,6928969328811.545,X
4097251,cuda_runtime,cudaLaunchKernel,4097061,9603.884,1034,211,4156,6928969328852.675,X
4097251,cuda_runtime,cudaLaunchKernel,4097061,18.725,1046,211,4174,6928969338648.817,X
4097251,cuda_runtime,cudaOccupancyMaxActiveBlocksPerMultiprocessor,4097061,6050.096,1042,210,4187,6928969338727.484,X
4097251,cuda_runtime,cudaLaunchKernel,4097061,20.009,1042,211,4188,6928969344824.886,X
4097251,cuda_runtime,cudaLaunchKernel,4097061,16.691,1050,211,4201,6928969344985.386,X
4097251,cuda_runtime,cudaLaunchKernel,4097061,11322.241,1074,211,4231,6928969345366.415,X
4097251,cuda_runtime,cudaLaunchKernel,4097061,13301.138,1077,211,4245,6928969356920.167,X
4097251,cuda_runtime,cudaGetDeviceCount,4097061,0.317,1082,3,4280,6928969370487.434,X
4097251,cuda_runtime,cudaDriverGetVersion,4097061,0.463,1082,1,4282,6928969370491.424,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,2.633,1082,200,4283,6928969370492.855,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.598,1082,200,4284,6928969370495.7,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.571,1082,200,4285,6928969370496.652,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.357,1082,200,4286,6928969370497.542,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.297,1082,200,4287,6928969370498.243,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.293,1082,200,4288,6928969370498.922,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.347,1082,200,4289,6928969370499.61,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.551,1082,200,4290,6928969370500.314,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,1380.694,1082,200,4291,6928969370501.25,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,561.393,1082,200,4292,6928969371882.383,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.372,1082,200,4293,6928969372444.139,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.312,1082,200,4294,6928969372444.685,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.316,1082,200,4295,6928969372445.157,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.521,1082,200,4296,6928969372445.623,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.825,1082,200,4297,6928969372446.289,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.273,1082,200,4298,6928969372447.256,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.506,1082,200,4299,6928969372447.669,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.309,1082,200,4300,6928969372448.314,X
4097251,cuda_runtime,cudaDeviceGetAttribute,4097061,0.303,1082,200,4301,6928969372448.764,X
