ts,memory bandwidth (GB/s),tid,pid,dur,context,stream,cat,ph,name,device,bytes,correlation,External id
6928969373997.17,4.592255125284738,30,0,1.76,1,30,gpu_memset,X,Memset (Device),0,16128,4324,1082
6928969398322.731,0.25048923679060664,7,0,0.512,1,7,gpu_memset,X,Memset (Device),0,256,4538,1098
6928969415186.768,0.2507345739471107,7,0,0.512,1,7,gpu_memset,X,Memset (Device),0,256,4761,1126
6928969418599.274,0.06680584551148225,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,64,5211,1157
6928969419071.114,0.26750261233019856,7,0,0.479,1,7,gpu_memset,X,Memset (Device),0,256,5302,1182
6928969431746.646,44.62785154919986,7,0,1.472,1,7,gpu_memset,X,Memset (Device),0,131072,6705,1300
6928969440480.968,273.7002320185615,7,0,4.32,1,7,gpu_memset,X,Memset (Device),0,2359296,7661,1384
6928969441210.215,260.2356055592323,7,0,4.543,1,7,gpu_memset,X,Memset (Device),0,2359296,7800,1412
6928969457282.093,0.7827788649706457,7,0,0.512,1,7,gpu_memset,X,Memset (Device),0,800,8188,1443
6928969459670.153,246.32449363123825,7,0,4.8,1,7,gpu_memset,X,Memset (Device),0,2359296,8305,1468
6928969463540.355,165.04893736017897,7,0,1.792,1,7,gpu_memset,X,Memset (Device),0,590215,8708,1496
6928969463551.427,0.2254697286012526,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,216,8711,1496
6928969467502.237,220.02560278399204,7,0,2.016,1,7,gpu_memset,X,Memset (Device),0,885163,9100,1527
6928969467511.453,0.2630480167014614,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,252,9103,1527
6928969468140.284,198.02304250559285,7,0,2.24,1,7,gpu_memset,X,Memset (Device),0,885163,9229,1555
6928969468143.804,0.26332288401253917,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,252,9232,1555
6928969468633.627,239.03942749122334,7,0,1.856,1,7,gpu_memset,X,Memset (Device),0,885163,9371,1586
6928969468636.667,0.26332288401253917,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,252,9374,1586
6928969469050.811,206.9104721832632,7,0,2.144,1,7,gpu_memset,X,Memset (Device),0,885163,9500,1614
6928969469054.106,0.2630480167014614,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,252,9503,1614
6928969470744.28,11.554190973288302,7,0,1.632,1,7,gpu_memset,X,Memset (Device),0,37632,9723,1648
