tid,cat,id,name,pid,bp,ts,ph
4097061,ac2g,6,ac2g,4097061,e,6928969211451.372,f
4097061,ac2g,7,ac2g,4097061,e,6928969211462.099,f
4097061,ac2g,12,ac2g,4097061,e,6928969211711.652,f
4097061,ac2g,13,ac2g,4097061,e,6928969211738.352,f
4097061,ac2g,14,ac2g,4097061,e,6928969211740.698,f
4097061,ac2g,15,ac2g,4097061,e,6928969211743.916,f
7,ac2g,19,ac2g,0,e,6928969211848.816,f
4097061,ac2g,19,ac2g,4097061,,6928969211812.601,s
4097061,ac2g,20,ac2g,4097061,e,6928969211855.282,f
4097061,ac2g,21,ac2g,4097061,,6928969211867.253,s
7,ac2g,22,ac2g,0,e,6928969211882.032,f
4097061,ac2g,22,ac2g,4097061,,6928969211869.81,s
4097061,ac2g,23,ac2g,4097061,e,6928969211882.366,f
7,ac2g,30,ac2g,0,e,6928969212151.791,f
4097061,ac2g,30,ac2g,4097061,,6928969212134.632,s
4097061,ac2g,40,ac2g,4097061,e,6928969212352.097,f
4097061,ac2g,41,ac2g,4097061,e,6928969212354.799,f
4097061,ac2g,48,ac2g,4097061,e,6928969212546.114,f
4097061,ac2g,49,ac2g,4097061,e,6928969212550.983,f
4097061,ac2g,50,ac2g,4097061,e,6928969212552.517,f
4097061,ac2g,51,ac2g,4097061,e,6928969212554.013,f
4097061,ac2g,75,ac2g,4097061,e,6928969212635.518,f
4097061,ac2g,76,ac2g,4097061,e,6928969212637.194,f
4097061,ac2g,77,ac2g,4097061,e,6928969212637.94,f
4097061,ac2g,78,ac2g,4097061,e,6928969212638.5,f
7,ac2g,86,ac2g,0,e,6928969212688.303,f
4097061,ac2g,86,ac2g,4097061,,6928969212667.244,s
7,ac2g,93,ac2g,0,e,6928969212858.382,f
4097061,ac2g,93,ac2g,4097061,,6928969212844.345,s
4097061,ac2g,108,ac2g,4097061,e,6928969213018.285,f
4097061,ac2g,109,ac2g,4097061,e,6928969213020.421,f
7,ac2g,114,ac2g,0,e,6928969213230.99,f
4097061,ac2g,114,ac2g,4097061,,6928969213211.612,s
4097061,ac2g,125,ac2g,4097061,e,6928969213417.368,f
4097061,ac2g,126,ac2g,4097061,e,6928969213421.921,f
4097061,ac2g,127,ac2g,4097061,e,6928969213423.391,f
4097061,ac2g,128,ac2g,4097061,e,6928969213424.815,f
7,ac2g,132,ac2g,0,e,6928969213482.893,f
4097061,ac2g,132,ac2g,4097061,,6928969213464.677,s
7,ac2g,134,ac2g,0,e,6928969213497.325,f
4097061,ac2g,134,ac2g,4097061,,6928969213486.856,s
4097061,ac2g,136,ac2g,4097061,e,6928969213506.886,f
4097061,ac2g,137,ac2g,4097061,e,6928969213525.727,f
4097061,ac2g,138,ac2g,4097061,e,6928969213531.732,f
7,ac2g,139,ac2g,0,e,6928969213544.398,f
4097061,ac2g,139,ac2g,4097061,,6928969213532.855,s
4097061,ac2g,141,ac2g,4097061,e,6928969213546.008,f
7,ac2g,148,ac2g,0,e,6928969213677.549,f
4097061,ac2g,148,ac2g,4097061,,6928969213665.104,s
4097061,ac2g,162,ac2g,4097061,e,6928969213777.919,f
4097061,ac2g,163,ac2g,4097061,e,6928969213781.8,f
4097061,ac2g,164,ac2g,4097061,e,6928969213783.195,f
