ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6928969208769.111,4097061,4097061,1,3154.173,cpu_op,X,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",aten::conv2d,"[[150528, 50176, 224, 1], [147, 49, 7, 1], [], [], [], [], []]",0,"["""", """", """", ""[2, 2]"", ""[3, 3]"", ""[1, 1]"", ""1""]","[[5, 3, 224, 224], [64, 3, 7, 7], [], [], [], [], []]",0,70,2
6928969208783.693,4097061,4097061,2,3137.696,cpu_op,X,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",aten::convolution,"[[150528, 50176, 224, 1], [147, 49, 7, 1], [], [], [], [], [], [], []]",0,"["""", """", """", ""[2, 2]"", ""[3, 3]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]","[[5, 3, 224, 224], [64, 3, 7, 7], [], [], [], [], [], [], []]",0,70,3
6928969208828.457,4097061,4097061,3,3078.441,cpu_op,X,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::_convolution,"[[150528, 50176, 224, 1], [147, 49, 7, 1], [], [], [], [], [], [], [], [], [], [], []]",,"["""", """", """", ""[2, 2]"", ""[3, 3]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]","[[5, 3, 224, 224], [64, 3, 7, 7], [], [], [], [], [], [], [], [], [], [], []]",0,,4
6928969208855.37,4097061,4097061,4,3042.411,cpu_op,X,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::cudnn_convolution,"[[150528, 50176, 224, 1], [147, 49, 7, 1], [], [], [], [], [], [], []]",,"["""", """", ""[3, 3]"", ""[2, 2]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]","[[5, 3, 224, 224], [64, 3, 7, 7], [], [], [], [], [], [], []]",0,,5
6928969212079.704,4097061,4097061,5,79.642,cpu_op,X,"[""long int"", ""long int"", ""Scalar""]",aten::add_,"[[], [], []]",0,"["""", """", ""1""]","[[], [], []]",0,71,6
6928969212244.276,4097061,4097061,6,461.566,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::batch_norm,"[[802816, 12544, 112, 1], [1], [1], [1], [1], [], [], [], []]",0,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]","[[5, 64, 112, 112], [64], [64], [64], [64], [], [], [], []]",0,71,7
6928969212250.618,4097061,4097061,7,454.13,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::_batch_norm_impl_index,"[[802816, 12544, 112, 1], [1], [1], [1], [1], [], [], [], []]",0,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]","[[5, 64, 112, 112], [64], [64], [64], [64], [], [], [], []]",0,71,8
6928969212274.944,4097061,4097061,8,427.904,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::cudnn_batch_norm,"[[802816, 12544, 112, 1], [1], [1], [1], [1], [], [], []]",0,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05""]","[[5, 64, 112, 112], [64], [64], [64], [64], [], [], []]",0,71,9
6928969212320.227,4097061,4097061,9,219.189,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[802816, 12544, 112, 1], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[5, 64, 112, 112], [], [], [], [], []]",0,,10
6928969212338.249,4097061,4097061,10,197.194,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[5, 64, 112, 112]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,11
6928969212582.704,4097061,4097061,11,8.978,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1], []]",,"["""", ""[1, 64, 1, 1]""]","[[64], []]",0,,12
6928969212599.478,4097061,4097061,12,10.562,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[64]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,13
6928969212612.569,4097061,4097061,13,8.127,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[64]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,14
6928969212627.151,4097061,4097061,14,4.886,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,15
6928969212646.639,4097061,4097061,15,4.687,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,16
6928969212793.189,4097061,4097061,16,94.207,cpu_op,X,"[""float""]",aten::relu_,"[[802816, 12544, 112, 1]]",0,"[""""]","[[5, 64, 112, 112]]",0,72,17
6928969212815.16,4097061,4097061,17,48.517,cpu_op,X,"[""float"", ""Scalar""]",aten::clamp_min_,"[[802816, 12544, 112, 1], []]",,"["""", ""0""]","[[5, 64, 112, 112], []]",0,,18
6928969212982.625,4097061,4097061,18,260.922,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",aten::max_pool2d,"[[802816, 12544, 112, 1], [], [], [], [], []]",0,"["""", ""[3, 3]"", ""[2, 2]"", ""[1, 1]"", ""[1, 1]"", ""False""]","[[5, 64, 112, 112], [], [], [], [], []]",0,73,19
6928969212989.237,4097061,4097061,19,252.146,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",aten::max_pool2d_with_indices,"[[802816, 12544, 112, 1], [], [], [], [], []]",0,"["""", ""[3, 3]"", ""[2, 2]"", ""[1, 1]"", ""[1, 1]"", ""False""]","[[5, 64, 112, 112], [], [], [], [], []]",0,73,20
6928969213359.174,4097061,4097061,20,222.778,cpu_op,X,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",aten::conv2d,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], []]",0,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1""]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], []]",0,74,21
