tid,cat,name,pid,dur,External id,cbid,correlation,ts,ph
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,9.396,5,317,6,6928969211451.372,X
4097061,cuda_runtime,cudaMalloc,4097061,197.966,5,20,7,6928969211462.099,X
4097061,cuda_runtime,cudaEventRecord,4097061,25.489,5,135,12,6928969211711.652,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,1.601,5,317,13,6928969211738.352,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,1.761,5,203,14,6928969211740.698,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.908,5,205,15,6928969211743.916,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,40.443,5,211,19,6928969211812.601,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.921,5,11,20,6928969211855.282,X
4097061,cuda_runtime,cudaMemsetAsync,4097061,0.967,5,51,21,6928969211867.253,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,12.016,5,211,22,6928969211869.81,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.181,5,11,23,6928969211882.366,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,17.036,6,211,30,6928969212134.632,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,2.022,11,317,40,6928969212352.097,X
4097061,cuda_runtime,cudaMalloc,4097061,168.312,11,20,41,6928969212354.799,X
4097061,cuda_runtime,cudaEventRecord,4097061,4.276,9,135,48,6928969212546.114,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,1.144,9,317,49,6928969212550.983,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.968,9,203,50,6928969212552.517,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.934,9,205,51,6928969212554.013,X
4097061,cuda_runtime,cudaEventRecord,4097061,1.463,9,135,75,6928969212635.518,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.532,9,317,76,6928969212637.194,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.338,9,203,77,6928969212637.94,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.413,9,205,78,6928969212638.5,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,22.185,9,211,86,6928969212667.244,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,14.893,18,211,93,6928969212844.345,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,1.576,20,317,108,6928969213018.285,X
4097061,cuda_runtime,cudaMalloc,4097061,169.78,20,20,109,6928969213020.421,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,20.577,20,211,114,6928969213211.612,X
4097061,cuda_runtime,cudaEventRecord,4097061,3.993,24,135,125,6928969213417.368,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,1.111,24,317,126,6928969213421.921,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,1.058,24,203,127,6928969213423.391,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.951,24,205,128,6928969213424.815,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,18.969,24,211,132,6928969213464.677,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,7.699,24,211,134,6928969213486.856,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.221,24,11,136,6928969213506.886,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,5.803,24,273,137,6928969213525.727,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,0.563,24,273,138,6928969213531.732,X
4097061,cuda_runtime,cudaLaunchKernelExC,4097061,10.927,24,430,139,6928969213532.855,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.112,24,11,141,6928969213546.008,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,12.045,25,211,148,6928969213665.104,X
4097061,cuda_runtime,cudaEventRecord,4097061,3.488,28,135,162,6928969213777.919,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.979,28,317,163,6928969213781.8,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,1.036,28,203,164,6928969213783.195,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.791,28,205,165,6928969213784.693,X
4097061,cuda_runtime,cudaEventRecord,4097061,1.356,28,135,189,6928969213832.414,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.493,28,317,190,6928969213833.983,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.424,28,203,191,6928969213834.679,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.41,28,205,192,6928969213835.339,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,12.086,28,211,200,6928969213852.501,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,11.161,37,211,207,6928969213928.39,X
4097061,cuda_runtime,cudaEventRecord,4097061,2.342,41,135,220,6928969214033.67,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.697,41,317,221,6928969214036.486,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.654,41,203,222,6928969214037.455,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.472,41,205,223,6928969214038.427,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,1.209,41,317,229,6928969214048.697,X
4097061,cuda_runtime,cudaMalloc,4097061,167.991,41,20,230,6928969214050.477,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,17.759,41,211,231,6928969214249.356,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,8.469,41,211,233,6928969214269.762,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.185,41,11,235,6928969214285.07,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,1.847,41,273,236,6928969214293.623,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,0.656,41,273,237,6928969214295.817,X
4097061,cuda_runtime,cudaLaunchKernelExC,4097061,8.285,41,430,238,6928969214297.224,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.1,41,11,240,6928969214307.007,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,11.405,42,211,247,6928969214428.425,X
4097061,cuda_runtime,cudaEventRecord,4097061,3.544,45,135,261,6928969214539.566,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.985,45,317,262,6928969214543.612,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.915,45,203,263,6928969214545.221,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.76,45,205,264,6928969214546.548,X
4097061,cuda_runtime,cudaEventRecord,4097061,1.278,45,135,288,6928969214593.014,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.468,45,317,289,6928969214594.512,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.367,45,203,290,6928969214595.177,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.411,45,205,291,6928969214595.769,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,11.468,45,211,299,6928969214616.897,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,10.238,53,211,305,6928969214667.522,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,9.055,55,211,312,6928969214726.65,X
4097061,cuda_runtime,cudaEventRecord,4097061,2.379,59,135,325,6928969214839.115,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.701,59,317,326,6928969214841.939,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.579,59,203,327,6928969214842.921,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.483,59,205,328,6928969214843.783,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,13.937,59,211,332,6928969214865.033,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,7.455,59,211,334,6928969214881.409,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.288,59,11,336,6928969214894.996,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,1.748,59,273,337,6928969214901.621,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,0.74,59,273,338,6928969214903.617,X
4097061,cuda_runtime,cudaLaunchKernelExC,4097061,7.871,59,430,339,6928969214904.779,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.358,59,11,341,6928969214913.961,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,9.624,60,211,348,6928969214986.912,X
4097061,cuda_runtime,cudaEventRecord,4097061,2.553,63,135,362,6928969215078.376,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.824,63,317,363,6928969215081.393,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.593,63,203,364,6928969215082.572,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.502,63,205,365,6928969215083.509,X
4097061,cuda_runtime,cudaEventRecord,4097061,1.213,63,135,389,6928969215125.144,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.481,63,317,390,6928969215126.708,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.506,63,203,391,6928969215127.582,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.356,63,205,392,6928969215128.313,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,10.699,63,211,400,6928969215141.991,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,9.43,72,211,407,6928969215215.249,X
4097061,cuda_runtime,cudaEventRecord,4097061,2.115,76,135,420,6928969215314.404,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.729,76,317,421,6928969215316.906,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.587,76,203,422,6928969215317.903,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.493,76,205,423,6928969215318.779,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,10.195,76,211,427,6928969215340.552,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,7.181,76,211,429,6928969215352.968,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.263,76,11,431,6928969215365.478,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,1.818,76,273,432,6928969215371.853,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,0.607,76,273,433,6928969215373.883,X
4097061,cuda_runtime,cudaLaunchKernelExC,4097061,7.71,76,430,434,6928969215374.891,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.136,76,11,436,6928969215383.92,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,9.802,77,211,443,6928969215450.958,X
4097061,cuda_runtime,cudaEventRecord,4097061,2.492,80,135,457,6928969215539.419,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.675,80,317,458,6928969215542.369,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.615,80,203,459,6928969215543.359,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.578,80,205,460,6928969215544.276,X
4097061,cuda_runtime,cudaEventRecord,4097061,1.251,80,135,484,6928969215589.148,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.475,80,317,485,6928969215590.627,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.357,80,203,486,6928969215591.321,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.408,80,205,487,6928969215591.909,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,9.805,80,211,495,6928969215605.169,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,8.732,88,211,501,6928969215643.951,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,8.362,90,211,508,6928969215694.509,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,1.378,94,317,519,6928969215810.168,X
4097061,cuda_runtime,cudaMalloc,4097061,169.806,94,20,520,6928969215812.108,X
4097061,cuda_runtime,cudaEventRecord,4097061,4.147,94,135,525,6928969216000.849,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.98,94,317,526,6928969216005.506,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.992,94,203,527,6928969216006.87,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.831,94,205,528,6928969216008.312,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,18.105,94,211,532,6928969216041.459,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,6.51,94,211,534,6928969216061.953,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,2.694,94,273,536,6928969216077.645,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.232,94,11,537,6928969216080.806,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,9.917,94,211,538,6928969216082.923,X
4097061,cuda_runtime,cudaPeekAtLastError,4097061,0.102,94,11,541,6928969216094.027,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,8.053,94,211,542,6928969216100.989,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,10.368,95,211,550,6928969216219.89,X
4097061,cuda_runtime,cudaEventRecord,4097061,3.07,98,135,564,6928969216323.399,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,1.002,98,317,565,6928969216326.956,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,1.09,98,203,566,6928969216328.262,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.811,98,205,567,6928969216329.841,X
4097061,cuda_runtime,cudaEventRecord,4097061,1.307,98,135,591,6928969216379.186,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.492,98,317,592,6928969216380.736,X
4097061,cuda_runtime,cudaStreamGetPriority,4097061,0.369,98,203,593,6928969216381.44,X
4097061,cuda_runtime,cudaDeviceGetStreamPriorityRange,4097061,0.394,98,205,594,6928969216382.026,X
4097061,cuda_runtime,cudaFuncSetAttribute,4097061,3.493,98,273,602,6928969216396.864,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,11.85,98,211,603,6928969216402.046,X
4097061,cuda_runtime,cudaLaunchKernel,4097061,10.069,107,211,611,6928969216472.062,X
4097061,cuda_runtime,cudaEventRecord,4097061,2.271,111,135,624,6928969216581.359,X
4097061,cuda_runtime,cudaStreamIsCapturing,4097061,0.642,111,317,625,6928969216584.008,X
