shared memory,pid,dur,stream,ts,est. achieved occupancy %,tid,cat,warps per SM,grid,registers per thread,correlation,ph,name,device,External id,queued,blocks per SM,context,block
0,0,1.792,7,6928969211848.816,10,7,kernel,4.761905,"[50, 1, 1]",16,19,X,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",0,5,0,0.595238,1,"[256, 1, 1]"
16384,0,81.76,7,6928969211882.032,33,7,kernel,23.333334,"[490, 1, 1]",128,22,X,_5x_cudnn_ampere_scudnn_128x64_relu_medium_nn_v1,0,5,0,5.833333,1,"[128, 1, 1]"
0,0,1.824,7,6928969212151.791,0,7,kernel,0.047619,"[1, 1, 1]",24,30,X,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",0,6,0,0.011905,1,"[128, 1, 1]"
144,0,87.872,7,6928969212688.303,25,7,kernel,12.190476,"[64, 1, 1]",40,86,X,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, 512, true, 1, true>(cudnnTensorStruct, float const*, cudnnTensorStruct, float*, float const*, float const*, float, float, float*, float*, float*, float*, float, float)",0,9,0,0.761905,1,"[512, 1, 1]"
0,0,57.536,7,6928969212858.382,100,7,kernel,373.333344,"[7840, 1, 1]",18,93,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)",0,18,0,93.333336,1,"[128, 1, 1]"
0,0,54.176,7,6928969213230.99,100,7,kernel,373.333344,"[3920, 1, 1]",26,114,X,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",0,20,0,46.666668,1,"[256, 1, 1]"
4224,0,13.44,7,6928969213482.893,100,7,kernel,93.333336,"[98, 2, 5]",38,132,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,24,0,11.666667,1,"[256, 1, 1]"
4224,0,3.104,7,6928969213497.325,25,7,kernel,12.190476,"[1, 2, 64]",38,134,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,24,0,1.52381,1,"[256, 1, 1]"
98304,0,42.591,7,6928969213544.398,0,7,kernel,5.857143,"[1, 123, 1]",228,139,X,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,0,24,0,1.464286,1,"[128, 1, 1]"
0,0,1.824,7,6928969213677.549,0,7,kernel,0.047619,"[1, 1, 1]",24,148,X,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",0,25,0,0.011905,1,"[128, 1, 1]"
144,0,15.168,7,6928969213864.397,25,7,kernel,12.190476,"[64, 1, 1]",40,200,X,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, 128, true, 1, true>(cudnnTensorStruct, float const*, cudnnTensorStruct, float*, float const*, float const*, float, float, float*, float*, float*, float*, float, float)",0,28,0,0.761905,1,"[512, 1, 1]"
0,0,4.159,7,6928969213940.077,100,7,kernel,93.333336,"[1960, 1, 1]",18,207,X,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)",0,37,0,23.333334,1,"[128, 1, 1]"
4224,0,8.416,7,6928969214266.7,100,7,kernel,93.333336,"[98, 2, 5]",38,231,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,41,0,11.666667,1,"[256, 1, 1]"
4224,0,3.232,7,6928969214280.204,25,7,kernel,12.190476,"[1, 2, 64]",38,233,X,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,41,0,1.52381,1,"[256, 1, 1]"
