Ev Idx,tid,cat,name,pid,dur,Python parent id,Python module id,Python id,ts,ph
354,0,python_function,threading.py(973): _bootstrap,0,18866.183,,,1,6928969208033.591,X
355,0,python_function,threading.py(1016): _bootstrap_inner,0,18864.447,1,,2,6928969208035.327,X
356,0,python_function,decorator.py(232): fun,0,18861.395,2,,3,6928969208038.379,X
357,0,python_function,IPython/core/history.py(61): only_when_enabled,0,18860.63,3,,4,6928969208039.144,X
358,0,python_function,IPython/core/history.py(903): run,0,18856.697,4,,5,6928969208043.077,X
359,0,python_function,threading.py(607): wait,0,18855.88,5,,6,6928969208043.894,X
360,0,python_function,threading.py(320): wait,0,18855.081,6,,7,6928969208044.693,X
361,0,python_function,threading.py(973): _bootstrap,0,18849.148,7,,8,6928969208050.626,X
362,0,python_function,threading.py(1016): _bootstrap_inner,0,18848.642,8,,9,6928969208051.132,X
363,0,python_function,ipykernel/control.py(23): run,0,18847.31,9,,10,6928969208052.464,X
364,0,python_function,tornado/platform/asyncio.py(205): start,0,18843.522,10,,11,6928969208056.252,X
365,0,python_function,asyncio/base_events.py(603): run_forever,0,18841.5,11,,12,6928969208058.274,X
366,0,python_function,asyncio/base_events.py(1871): _run_once,0,18840.113,12,,13,6928969208059.661,X
367,0,python_function,selectors.py(469): select,0,18838.682,13,,14,6928969208061.092,X
368,0,python_function,threading.py(973): _bootstrap,0,18836.452,14,,15,6928969208063.322,X
369,0,python_function,threading.py(1016): _bootstrap_inner,0,18836.185,15,,16,6928969208063.589,X
370,0,python_function,threading.py(953): run,0,18834.894,16,,17,6928969208064.88,X
371,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,18833.894,17,,18,6928969208065.88,X
372,0,python_function,threading.py(973): _bootstrap,0,18828.341,18,,19,6928969208071.433,X
373,0,python_function,threading.py(1016): _bootstrap_inner,0,18827.918,19,,20,6928969208071.856,X
374,0,python_function,threading.py(953): run,0,18827.253,20,,21,6928969208072.521,X
375,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,18826.924,21,,22,6928969208072.85,X
376,0,python_function,threading.py(973): _bootstrap,0,18819.185,22,,23,6928969208080.589,X
377,0,python_function,threading.py(1016): _bootstrap_inner,0,18818.773,23,,24,6928969208081.001,X
378,0,python_function,ipykernel/heartbeat.py(106): run,0,18815.064,24,,25,6928969208084.71,X
379,0,python_function,threading.py(973): _bootstrap,0,18809.784,25,,26,6928969208089.99,X
380,0,python_function,threading.py(1016): _bootstrap_inner,0,18809.572,26,,27,6928969208090.202,X
381,0,python_function,threading.py(953): run,0,18809.073,27,,28,6928969208090.701,X
382,0,python_function,ipykernel/iostream.py(92): _thread_main,0,18808.117,28,,29,6928969208091.657,X
383,0,python_function,tornado/platform/asyncio.py(205): start,0,18807.311,29,,30,6928969208092.463,X
384,0,python_function,asyncio/base_events.py(603): run_forever,0,18806.961,30,,31,6928969208092.813,X
385,0,python_function,asyncio/base_events.py(1871): _run_once,0,18806.528,31,,32,6928969208093.246,X
386,0,python_function,selectors.py(469): select,0,18805.952,32,,33,6928969208093.822,X
387,4097061,python_function,runpy.py(196): _run_module_as_main,4097061,18788.835,,,34,6928969208110.939,X
388,4097061,python_function,runpy.py(86): _run_code,4097061,18787.626,34,,35,6928969208112.148,X
389,4097061,python_function,ipykernel_launcher.py(18): <module>,4097061,18786.292,35,,36,6928969208113.482,X
390,4097061,python_function,traitlets/config/application.py(1075): launch_instance,4097061,18785.074,36,,37,6928969208114.7,X
391,4097061,python_function,ipykernel/kernelapp.py(739): start,4097061,18783.43,37,,38,6928969208116.344,X
392,4097061,python_function,tornado/platform/asyncio.py(205): start,4097061,18783.041,38,,39,6928969208116.733,X
393,4097061,python_function,asyncio/base_events.py(603): run_forever,4097061,18782.734,39,,40,6928969208117.04,X
394,4097061,python_function,asyncio/base_events.py(1909): _run_once,4097061,18782.141,40,,41,6928969208117.633,X
395,4097061,python_function,asyncio/events.py(80): _run,4097061,18777.578,41,,42,6928969208122.196,X
396,4097061,python_function,ipykernel/kernelbase.py(545): dispatch_queue,4097061,18776.179,42,,43,6928969208123.595,X
397,4097061,python_function,ipykernel/kernelbase.py(534): process_one,4097061,18775.439,43,,44,6928969208124.335,X
398,4097061,python_function,ipykernel/kernelbase.py(437): dispatch_shell,4097061,18774.121,44,,45,6928969208125.653,X
399,4097061,python_function,ipykernel/ipkernel.py(362): execute_request,4097061,18772.936,45,,46,6928969208126.838,X
400,4097061,python_function,ipykernel/kernelbase.py(778): execute_request,4097061,18771.975,46,,47,6928969208127.799,X
401,4097061,python_function,ipykernel/ipkernel.py(449): do_execute,4097061,18770.327,47,,48,6928969208129.447,X
402,4097061,python_function,ipykernel/zmqshell.py(549): run_cell,4097061,18768.883,48,,49,6928969208130.891,X
403,4097061,python_function,IPython/core/interactiveshell.py(3075): run_cell,4097061,18764.843,49,,50,6928969208134.931,X
404,4097061,python_function,IPython/core/interactiveshell.py(3130): _run_cell,4097061,18763.89,50,,51,6928969208135.884,X
405,4097061,python_function,IPython/core/async_helpers.py(128): _pseudo_sync_runner,4097061,18753.993,51,,52,6928969208145.781,X
406,4097061,python_function,IPython/core/interactiveshell.py(3334): run_cell_async,4097061,18752.608,52,,53,6928969208147.166,X
407,4097061,python_function,IPython/core/interactiveshell.py(3517): run_ast_nodes,4097061,18751.207,53,,54,6928969208148.567,X
408,4097061,python_function,IPython/core/interactiveshell.py(3577): run_code,4097061,18750.224,54,,55,6928969208149.55,X
409,4097061,python_function,/tmp/ipykernel_4097061/4243629771.py(13): <module>,4097061,18749.358,55,,56,6928969208150.416,X
410,4097061,python_function,pytorch_tracing.py(28): py_tracing_forward,4097061,18748.263,56,,57,6928969208151.511,X
411,4097061,python_function,torch/profiler/profiler.py(776): step,4097061,427.116,57,,58,6928969208152.103,X
412,4097061,python_function,torch/profiler/profiler.py(793): _transit_action,4097061,164.531,58,,59,6928969208152.93,X
413,4097061,python_function,torch/profiler/profiler.py(174): start_trace,4097061,162.726,59,,60,6928969208153.68,X
414,4097061,python_function,torch/autograd/profiler.py(339): _start_trace,4097061,58.402,60,,61,6928969208154.301,X
415,4097061,python_function,<built-in function perf_counter_ns>,4097061,1.017,61,,62,6928969208199.491,X
416,4097061,python_function,torch/profiler/profiler.py(304): add_metadata_json,4097061,16.26,60,,63,6928969208221.712,X
417,4097061,python_function,<built-in method _add_metadata_json of PyCapsule object at 0x7fdec2bfd890>,4097061,6.055,63,,64,6928969208231.651,X
418,4097061,python_function,torch/profiler/profiler.py(304): add_metadata_json,4097061,1.528,60,,65,6928969208239.014,X
419,4097061,python_function,<built-in method _add_metadata_json of PyCapsule object at 0x7fdec2bfd890>,4097061,0.953,65,,66,6928969208239.514,X
420,4097061,python_function,<built-in method kineto_available of PyCapsule object at 0x7fdec2bfd8f0>,4097061,1.721,60,,67,6928969208245.781,X
421,4097061,python_function,torch/profiler/profiler.py(319): _get_distributed_info,4097061,29.648,60,,68,6928969208249.017,X
422,4097061,python_function,torch/distributed/__init__.py(14): is_available,4097061,5.11,68,,69,6928969208256.354,X
423,4097061,python_function,<built-in function hasattr>,4097061,1.483,69,,70,6928969208259.854,X
424,4097061,python_function,torch/distributed/distributed_c10d.py(1121): is_initialized,4097061,8.567,68,,71,6928969208269.789,X
425,4097061,python_function,torch/distributed/distributed_c10d.py(705): WORLD,4097061,4.277,71,,72,6928969208273.822,X
