ts,tid,pid,cat,ph,bp,name,id
6928969541349.881,7,0,ac2g,f,e,ac2g,11766
6928969541315.154,4097061,4097061,ac2g,s,,ac2g,11766
6928969542043.16,7,0,ac2g,f,e,ac2g,11792
6928969542002.096,4097251,4097061,ac2g,s,,ac2g,11792
6928969542126.189,4097251,4097061,ac2g,f,e,ac2g,11808
6928969542144.92,7,0,ac2g,f,e,ac2g,11810
6928969542132.912,4097251,4097061,ac2g,s,,ac2g,11810
6928969542160.664,7,0,ac2g,f,e,ac2g,11811
6928969542148.699,4097251,4097061,ac2g,s,,ac2g,11811
6928969542241.912,7,0,ac2g,f,e,ac2g,11829
6928969542231.365,4097251,4097061,ac2g,s,,ac2g,11829
6928969542279.416,7,0,ac2g,f,e,ac2g,11842
6928969542269.726,4097251,4097061,ac2g,s,,ac2g,11842
6928969542344.696,7,0,ac2g,f,e,ac2g,11855
6928969542333.16,4097251,4097061,ac2g,s,,ac2g,11855
6928969542615.0,7,0,ac2g,f,e,ac2g,11885
6928969542599.612,4097251,4097061,ac2g,s,,ac2g,11885
6928969542683.0,7,0,ac2g,f,e,ac2g,11899
6928969542672.719,4097251,4097061,ac2g,s,,ac2g,11899
6928969542794.561,4097251,4097061,ac2g,f,e,ac2g,11935
6928969542800.074,4097251,4097061,ac2g,f,e,ac2g,11936
6928969542801.918,4097251,4097061,ac2g,f,e,ac2g,11937
6928969542803.527,4097251,4097061,ac2g,f,e,ac2g,11938
6928969542840.391,4097251,4097061,ac2g,f,e,ac2g,11946
6928969542857.527,7,0,ac2g,f,e,ac2g,11947
6928969542845.286,4097251,4097061,ac2g,s,,ac2g,11947
6928969542997.612,4097251,4097061,ac2g,f,e,ac2g,11971
6928969543001.016,4097251,4097061,ac2g,f,e,ac2g,11972
6928969543002.429,4097251,4097061,ac2g,f,e,ac2g,11973
6928969543003.563,4097251,4097061,ac2g,f,e,ac2g,11974
6928969543049.239,7,0,ac2g,f,e,ac2g,11978
6928969543036.065,4097251,4097061,ac2g,s,,ac2g,11978
6928969543083.415,7,0,ac2g,f,e,ac2g,11980
6928969543052.278,4097251,4097061,ac2g,s,,ac2g,11980
6928969543069.363,4097251,4097061,ac2g,f,e,ac2g,11982
6928969543089.463,7,0,ac2g,f,e,ac2g,11983
6928969543072.083,4097251,4097061,ac2g,s,,ac2g,11983
6928969543089.209,4097251,4097061,ac2g,f,e,ac2g,11984
6928969543092.865,4097251,4097061,ac2g,f,e,ac2g,11985
6928969543104.983,7,0,ac2g,f,e,ac2g,11986
6928969543094.201,4097251,4097061,ac2g,s,,ac2g,11986
6928969543105.938,4097251,4097061,ac2g,f,e,ac2g,11988
6928969543149.655,7,0,ac2g,f,e,ac2g,11989
6928969543110.18,4097251,4097061,ac2g,s,,ac2g,11989
6928969543145.832,4097251,4097061,ac2g,f,e,ac2g,12002
6928969543148.533,4097251,4097061,ac2g,f,e,ac2g,12003
6928969543149.666,4097251,4097061,ac2g,f,e,ac2g,12004
6928969543150.618,4097251,4097061,ac2g,f,e,ac2g,12005
6928969543174.391,7,0,ac2g,f,e,ac2g,12009
6928969543165.55,4097251,4097061,ac2g,s,,ac2g,12009
6928969543183.671,7,0,ac2g,f,e,ac2g,12011
6928969543175.957,4097251,4097061,ac2g,s,,ac2g,12011
6928969543187.522,4097251,4097061,ac2g,f,e,ac2g,12013
6928969543200.311,7,0,ac2g,f,e,ac2g,12014
6928969543191.346,4097251,4097061,ac2g,s,,ac2g,12014
6928969543200.612,4097251,4097061,ac2g,f,e,ac2g,12016
6928969543239.447,7,0,ac2g,f,e,ac2g,12017
6928969543202.83,4097251,4097061,ac2g,s,,ac2g,12017
6928969543321.495,7,0,ac2g,f,e,ac2g,12037
6928969543309.638,4097251,4097061,ac2g,s,,ac2g,12037
6928969543402.251,4097251,4097061,ac2g,f,e,ac2g,12069
6928969543405.228,4097251,4097061,ac2g,f,e,ac2g,12070
6928969543406.463,4097251,4097061,ac2g,f,e,ac2g,12071
6928969543407.473,4097251,4097061,ac2g,f,e,ac2g,12072
