ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6928969541772.34,4097251,4097061,0,83.771,cpu_op,X,,autograd::engine::evaluate_function: SumBackward0,,1,,,0,281,2561
6928969541795.573,4097251,4097061,1,45.65,cpu_op,X,"[""float""]",SumBackward0,[[]],1,"[""""]",[[]],0,281,2562
6928969541812.295,4097251,4097061,2,27.698,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar""]",aten::expand,"[[], [], []]",,"["""", ""[5, 1000]"", ""False""]","[[], [], []]",0,,2563
6928969541825.498,4097251,4097061,3,5.947,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[], [], [], []]",,"["""", ""[5, 1000]"", ""[0, 0]"", """"]","[[], [], [], []]",0,,2564
6928969541870.133,4097251,4097061,4,512.245,cpu_op,X,,autograd::engine::evaluate_function: AddmmBackward0,,1,,,0,280,2565
6928969541874.729,4097251,4097061,5,424.068,cpu_op,X,"[""float""]",AddmmBackward0,"[[0, 0]]",1,"[""""]","[[5, 1000]]",0,280,2566
6928969541883.52,4097251,4097061,6,16.149,cpu_op,X,"[""float""]",aten::t,"[[1, 512]]",,"[""""]","[[512, 1000]]",0,,2567
6928969541890.217,4097251,4097061,7,5.391,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[1, 512], [], []]",,"["""", ""0"", ""1""]","[[512, 1000], [], []]",0,,2568
6928969541893.66,4097251,4097061,8,1.093,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[1, 512], [], [], []]",,"["""", ""[1000, 512]"", ""[512, 1]"", """"]","[[512, 1000], [], [], []]",0,,2569
6928969541903.567,4097251,4097061,9,266.565,cpu_op,X,"[""float"", ""float""]",aten::mm,"[[0, 0], [512, 1]]",,"["""", """"]","[[5, 1000], [1000, 512]]",0,,2570
6928969541937.267,4097251,4097061,10,118.195,cpu_op,X,"[""float"", ""Scalar""]",aten::clone,"[[0, 0], []]",,"["""", ""0""]","[[5, 1000], []]",0,,2571
6928969541941.642,4097251,4097061,11,18.504,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[0, 0], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[5, 1000], [], [], [], [], []]",0,,2572
6928969541947.704,4097251,4097061,12,11.049,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[5, 1000]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,2573
6928969541964.787,4097251,4097061,13,89.737,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::copy_,"[[1000, 1], [0, 0], []]",,"["""", """", ""False""]","[[5, 1000], [5, 1000], []]",0,,2574
6928969542177.469,4097251,4097061,14,11.364,cpu_op,X,"[""float""]",aten::t,"[[0, 0]]",,"[""""]","[[5, 1000]]",0,,2575
6928969542180.549,4097251,4097061,15,6.156,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[0, 0], [], []]",,"["""", ""0"", ""1""]","[[5, 1000], [], []]",0,,2576
6928969542184.106,4097251,4097061,16,1.875,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[0, 0], [], [], []]",,"["""", ""[1000, 5]"", ""[0, 0]"", """"]","[[5, 1000], [], [], []]",0,,2577
6928969542191.141,4097251,4097061,17,93.692,cpu_op,X,"[""float"", ""float""]",aten::mm,"[[0, 0], [512, 1]]",,"["""", """"]","[[1000, 5], [5, 512]]",0,,2578
6928969542204.223,4097251,4097061,18,42.409,cpu_op,X,"[""float"", ""Scalar""]",aten::clone,"[[0, 0], []]",,"["""", ""0""]","[[1000, 5], []]",0,,2579
6928969542206.059,4097251,4097061,19,12.944,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[0, 0], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[1000, 5], [], [], [], [], []]",0,,2580
6928969542209.368,4097251,4097061,20,8.595,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1000, 5]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,2581
6928969542221.487,4097251,4097061,21,24.358,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::copy_,"[[5, 1], [0, 0], []]",,"["""", """", ""False""]","[[1000, 5], [1000, 5], []]",0,,2582
6928969542287.892,4097251,4097061,22,9.026,cpu_op,X,"[""float""]",aten::t,"[[512, 1]]",,"[""""]","[[1000, 512]]",0,,2583
6928969542290.317,4097251,4097061,23,4.932,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,"[[512, 1], [], []]",,"["""", ""0"", ""1""]","[[1000, 512], [], []]",0,,2584
6928969542293.424,4097251,4097061,24,1.229,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[512, 1], [], [], []]",,"["""", ""[512, 1000]"", ""[1, 512]"", """"]","[[1000, 512], [], [], []]",0,,2585
6928969542306.844,4097251,4097061,25,41.548,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,"[[0, 0], [], [], []]",,"["""", ""[0]"", ""True"", """"]","[[5, 1000], [], [], []]",0,,2586
6928969542352.743,4097251,4097061,26,5.716,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1000, 1], []]",,"["""", ""[1000]""]","[[1, 1000], []]",0,,2587
