ts,memory bandwidth (GB/s),tid,pid,dur,context,stream,cat,ph,name,device,bytes,correlation,External id
6928969543089.463,0.25048923679060664,7,0,0.512,1,7,gpu_memset,X,Memset (Device),0,256,11983,2634
6928969543643.478,0.267223382045929,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,256,12117,2662
6928969544287.125,0.07158836689038031,7,0,0.448,1,7,gpu_memset,X,Memset (Device),0,64,12293,2693
6928969544638.356,0.267223382045929,7,0,0.481,1,7,gpu_memset,X,Memset (Device),0,256,12384,2718
6928969546736.658,50.08482995796714,7,0,1.312,1,7,gpu_memset,X,Memset (Device),0,131072,12974,2836
6928969548159.696,235.36472466081403,7,0,5.024,1,7,gpu_memset,X,Memset (Device),0,2359296,13376,2920
6928969548652.271,269.69547325102883,7,0,4.384,1,7,gpu_memset,X,Memset (Device),0,2359296,13515,2948
6928969549189.07,0.7835455435847208,7,0,0.512,1,7,gpu_memset,X,Memset (Device),0,800,13660,2979
6928969549635.918,249.66095238095238,7,0,4.736,1,7,gpu_memset,X,Memset (Device),0,2359296,13777,3004
6928969550160.141,165.04893736017897,7,0,1.792,1,7,gpu_memset,X,Memset (Device),0,590215,13916,3032
6928969550168.781,0.2254697286012526,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,216,13919,3032
6928969550680.844,200.8994552882433,7,0,2.208,1,7,gpu_memset,X,Memset (Device),0,885163,14058,3063
6928969550684.108,0.2630480167014614,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,252,14061,3063
6928969551131.403,203.860663288807,7,0,2.177,1,7,gpu_memset,X,Memset (Device),0,885163,14187,3091
6928969551134.988,0.12733703890853967,7,0,0.992,1,7,gpu_memset,X,Memset (Device),0,252,14190,3091
6928969551606.091,192.5104393214441,7,0,2.304,1,7,gpu_memset,X,Memset (Device),0,885163,14329,3122
6928969551610.283,0.2630480167014614,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,252,14332,3122
6928969552026.314,195.22783414203795,7,0,2.273,1,7,gpu_memset,X,Memset (Device),0,885163,14458,3150
6928969552029.738,0.2630480167014614,7,0,0.48,1,7,gpu_memset,X,Memset (Device),0,252,14461,3150
6928969552529.802,10.162570888468808,7,0,1.856,1,7,gpu_memset,X,Memset (Device),0,37632,14597,3184
