tid,cat,id,name,pid,bp,ts,ph
7,ac2g,60821,ac2g,0,e,6939565488205.2,f
122891,ac2g,60821,ac2g,122891,,6939565487569.38,s
7,ac2g,60823,ac2g,0,e,6939565488265.648,f
122891,ac2g,60823,ac2g,122891,,6939565488224.719,s
7,ac2g,60836,ac2g,0,e,6939565488560.303,f
122891,ac2g,60836,ac2g,122891,,6939565488528.175,s
7,ac2g,60866,ac2g,0,e,6939565489698.156,f
125589,ac2g,60866,ac2g,122891,,6939565489666.531,s
125589,ac2g,60882,ac2g,122891,e,6939565489826.73,f
7,ac2g,60884,ac2g,0,e,6939565489858.604,f
125589,ac2g,60884,ac2g,122891,,6939565489834.741,s
7,ac2g,60885,ac2g,0,e,6939565489909.836,f
125589,ac2g,60885,ac2g,122891,,6939565489864.876,s
7,ac2g,60903,ac2g,0,e,6939565489971.884,f
125589,ac2g,60903,ac2g,122891,,6939565489958.253,s
125589,ac2g,60916,ac2g,122891,e,6939565489997.217,f
7,ac2g,60917,ac2g,0,e,6939565490030.251,f
125589,ac2g,60917,ac2g,122891,,6939565490013.446,s
7,ac2g,60930,ac2g,0,e,6939565490105.164,f
125589,ac2g,60930,ac2g,122891,,6939565490089.488,s
7,ac2g,60983,ac2g,0,e,6939565490463.755,f
125589,ac2g,60983,ac2g,122891,,6939565490442.013,s
7,ac2g,60985,ac2g,0,e,6939565490487.018,f
125589,ac2g,60985,ac2g,122891,,6939565490471.622,s
7,ac2g,61026,ac2g,0,e,6939565490637.418,f
125589,ac2g,61026,ac2g,122891,,6939565490624.564,s
7,ac2g,61028,ac2g,0,e,6939565490649.29,f
125589,ac2g,61028,ac2g,122891,,6939565490638.39,s
7,ac2g,61057,ac2g,0,e,6939565490822.058,f
125589,ac2g,61057,ac2g,122891,,6939565490802.728,s
125589,ac2g,61082,ac2g,122891,e,6939565490932.377,f
7,ac2g,61083,ac2g,0,e,6939565490956.746,f
125589,ac2g,61083,ac2g,122891,,6939565490936.897,s
7,ac2g,61085,ac2g,0,e,6939565490972.746,f
125589,ac2g,61085,ac2g,122891,,6939565490957.901,s
7,ac2g,61102,ac2g,0,e,6939565491031.945,f
125589,ac2g,61102,ac2g,122891,,6939565491017.763,s
7,ac2g,61115,ac2g,0,e,6939565491095.689,f
125589,ac2g,61115,ac2g,122891,,6939565491077.675,s
7,ac2g,61148,ac2g,0,e,6939565491289.16,f
125589,ac2g,61148,ac2g,122891,,6939565491275.991,s
7,ac2g,61162,ac2g,0,e,6939565491401.864,f
125589,ac2g,61162,ac2g,122891,,6939565491378.069,s
7,ac2g,61187,ac2g,0,e,6939565491520.232,f
125589,ac2g,61187,ac2g,122891,,6939565491506.817,s
7,ac2g,61189,ac2g,0,e,6939565491535.912,f
125589,ac2g,61189,ac2g,122891,,6939565491521.496,s
7,ac2g,61206,ac2g,0,e,6939565491606.568,f
125589,ac2g,61206,ac2g,122891,,6939565491588.928,s
7,ac2g,61219,ac2g,0,e,6939565491670.728,f
125589,ac2g,61219,ac2g,122891,,6939565491657.415,s
7,ac2g,61242,ac2g,0,e,6939565491883.463,f
125589,ac2g,61242,ac2g,122891,,6939565491869.471,s
7,ac2g,61277,ac2g,0,e,6939565491992.007,f
125589,ac2g,61277,ac2g,122891,,6939565491970.401,s
7,ac2g,61279,ac2g,0,e,6939565492016.839,f
125589,ac2g,61279,ac2g,122891,,6939565491988.693,s
7,ac2g,61308,ac2g,0,e,6939565492150.023,f
125589,ac2g,61308,ac2g,122891,,6939565492137.936,s
125589,ac2g,61336,ac2g,122891,e,6939565492276.683,f
7,ac2g,61338,ac2g,0,e,6939565492384.262,f
125589,ac2g,61338,ac2g,122891,,6939565492281.325,s
7,ac2g,61339,ac2g,0,e,6939565492392.134,f
125589,ac2g,61339,ac2g,122891,,6939565492298.3,s
125589,ac2g,61359,ac2g,122891,e,6939565492368.156,f
7,ac2g,61361,ac2g,0,e,6939565492394.95,f
125589,ac2g,61361,ac2g,122891,,6939565492372.397,s
7,ac2g,61373,ac2g,0,e,6939565492443.846,f
125589,ac2g,61373,ac2g,122891,,6939565492431.338,s
125589,ac2g,61429,ac2g,122891,e,6939565492769.119,f
7,ac2g,61436,ac2g,0,e,6939565495120.288,f
125589,ac2g,61436,ac2g,122891,,6939565492859.072,s
7,ac2g,61450,ac2g,0,e,6939565495123.36,f
125589,ac2g,61450,ac2g,122891,,6939565492924.036,s
7,ac2g,61463,ac2g,0,e,6939565495127.648,f
125589,ac2g,61463,ac2g,122891,,6939565492988.029,s
125589,ac2g,61475,ac2g,122891,e,6939565493029.879,f
125589,ac2g,61476,ac2g,122891,e,6939565493043.743,f
7,ac2g,61477,ac2g,0,e,6939565495130.464,f
125589,ac2g,61477,ac2g,122891,,6939565493055.027,s
7,ac2g,61535,ac2g,0,e,6939565495168.224,f
125589,ac2g,61535,ac2g,122891,,6939565493484.577,s
7,ac2g,61542,ac2g,0,e,6939565495170.016,f
125589,ac2g,61542,ac2g,122891,,6939565493528.74,s
7,ac2g,61560,ac2g,0,e,6939565495172.16,f
125589,ac2g,61560,ac2g,122891,,6939565493662.63,s
7,ac2g,61567,ac2g,0,e,6939565495174.208,f
125589,ac2g,61567,ac2g,122891,,6939565493695.883,s
7,ac2g,61574,ac2g,0,e,6939565495176.352,f
125589,ac2g,61574,ac2g,122891,,6939565493740.522,s
7,ac2g,61609,ac2g,0,e,6939565495178.656,f
125589,ac2g,61609,ac2g,122891,,6939565493932.351,s
7,ac2g,61635,ac2g,0,e,6939565495181.632,f
125589,ac2g,61635,ac2g,122891,,6939565494098.272,s
7,ac2g,61637,ac2g,0,e,6939565495192.512,f
125589,ac2g,61637,ac2g,122891,,6939565494114.244,s
7,ac2g,61654,ac2g,0,e,6939565495195.615,f
125589,ac2g,61654,ac2g,122891,,6939565494167.435,s
7,ac2g,61667,ac2g,0,e,6939565495204.672,f
125589,ac2g,61667,ac2g,122891,,6939565494220.753,s
125589,ac2g,61703,ac2g,122891,e,6939565494397.14,f
7,ac2g,61705,ac2g,0,e,6939565495213.248,f
125589,ac2g,61705,ac2g,122891,,6939565494401.677,s
7,ac2g,61706,ac2g,0,e,6939565495220.895,f
125589,ac2g,61706,ac2g,122891,,6939565494414.095,s
125589,ac2g,61726,ac2g,122891,e,6939565494466.066,f
7,ac2g,61728,ac2g,0,e,6939565495223.712,f
125589,ac2g,61728,ac2g,122891,,6939565494468.132,s
7,ac2g,61740,ac2g,0,e,6939565495230.655,f
125589,ac2g,61740,ac2g,122891,,6939565494514.727,s
7,ac2g,61755,ac2g,0,e,6939565495237.279,f
125589,ac2g,61755,ac2g,122891,,6939565494623.236,s
7,ac2g,61772,ac2g,0,e,6939565495239.903,f
125589,ac2g,61772,ac2g,122891,,6939565494734.412,s
7,ac2g,61791,ac2g,0,e,6939565495242.687,f
125589,ac2g,61791,ac2g,122891,,6939565494854.206,s
7,ac2g,61828,ac2g,0,e,6939565495251.936,f
125589,ac2g,61828,ac2g,122891,,6939565494983.316,s
7,ac2g,61830,ac2g,0,e,6939565495256.351,f
125589,ac2g,61830,ac2g,122891,,6939565494999.984,s
7,ac2g,61859,ac2g,0,e,6939565495261.6,f
125589,ac2g,61859,ac2g,122891,,6939565495144.549,s
125589,ac2g,61887,ac2g,122891,e,6939565495262.52,f
7,ac2g,61889,ac2g,0,e,6939565497622.906,f
125589,ac2g,61889,ac2g,122891,,6939565495265.491,s
7,ac2g,61890,ac2g,0,e,6939565497630.874,f
125589,ac2g,61890,ac2g,122891,,6939565495278.816,s
125589,ac2g,61910,ac2g,122891,e,6939565495332.287,f
7,ac2g,61912,ac2g,0,e,6939565497633.978,f
125589,ac2g,61912,ac2g,122891,,6939565495334.757,s
7,ac2g,61924,ac2g,0,e,6939565497640.794,f
125589,ac2g,61924,ac2g,122891,,6939565495385.176,s
125589,ac2g,61980,ac2g,122891,e,6939565495687.463,f
7,ac2g,61987,ac2g,0,e,6939565497649.498,f
125589,ac2g,61987,ac2g,122891,,6939565495718.713,s
7,ac2g,62001,ac2g,0,e,6939565497651.93,f
125589,ac2g,62001,ac2g,122891,,6939565495766.079,s
7,ac2g,62014,ac2g,0,e,6939565497656.058,f
125589,ac2g,62014,ac2g,122891,,6939565495822.968,s
125589,ac2g,62026,ac2g,122891,e,6939565495862.11,f
125589,ac2g,62027,ac2g,122891,e,6939565495866.255,f
7,ac2g,62028,ac2g,0,e,6939565497658.778,f
125589,ac2g,62028,ac2g,122891,,6939565495874.741,s
7,ac2g,62086,ac2g,0,e,6939565497696.794,f
125589,ac2g,62086,ac2g,122891,,6939565496294.74,s
7,ac2g,62093,ac2g,0,e,6939565497698.778,f
125589,ac2g,62093,ac2g,122891,,6939565496333.719,s
7,ac2g,62111,ac2g,0,e,6939565497700.89,f
125589,ac2g,62111,ac2g,122891,,6939565496416.275,s
7,ac2g,62118,ac2g,0,e,6939565497702.874,f
125589,ac2g,62118,ac2g,122891,,6939565496446.551,s
7,ac2g,62125,ac2g,0,e,6939565497705.018,f
125589,ac2g,62125,ac2g,122891,,6939565496485.897,s
7,ac2g,62145,ac2g,0,e,6939565497707.482,f
125589,ac2g,62145,ac2g,122891,,6939565496548.045,s
7,ac2g,62152,ac2g,0,e,6939565497709.466,f
125589,ac2g,62152,ac2g,122891,,6939565496577.682,s
7,ac2g,62159,ac2g,0,e,6939565497711.578,f
125589,ac2g,62159,ac2g,122891,,6939565496609.936,s
7,ac2g,62194,ac2g,0,e,6939565497714.106,f
125589,ac2g,62194,ac2g,122891,,6939565496785.499,s
7,ac2g,62220,ac2g,0,e,6939565497717.21,f
125589,ac2g,62220,ac2g,122891,,6939565496920.723,s
7,ac2g,62222,ac2g,0,e,6939565497730.81,f
125589,ac2g,62222,ac2g,122891,,6939565496936.263,s
7,ac2g,62239,ac2g,0,e,6939565497735.482,f
125589,ac2g,62239,ac2g,122891,,6939565496998.28,s
7,ac2g,62252,ac2g,0,e,6939565497747.482,f
125589,ac2g,62252,ac2g,122891,,6939565497051.906,s
7,ac2g,62275,ac2g,0,e,6939565497756.122,f
125589,ac2g,62275,ac2g,122891,,6939565497229.279,s
7,ac2g,62310,ac2g,0,e,6939565497758.714,f
125589,ac2g,62310,ac2g,122891,,6939565497321.851,s
7,ac2g,62312,ac2g,0,e,6939565497762.266,f
125589,ac2g,62312,ac2g,122891,,6939565497335.393,s
7,ac2g,62341,ac2g,0,e,6939565497767.641,f
125589,ac2g,62341,ac2g,122891,,6939565497476.886,s
125589,ac2g,62366,ac2g,122891,e,6939565497614.929,f
7,ac2g,62367,ac2g,0,e,6939565497770.106,f
125589,ac2g,62367,ac2g,122891,,6939565497619.643,s
7,ac2g,62369,ac2g,0,e,6939565497786.362,f
125589,ac2g,62369,ac2g,122891,,6939565497635.786,s
7,ac2g,62386,ac2g,0,e,6939565497789.946,f
125589,ac2g,62386,ac2g,122891,,6939565497689.95,s
7,ac2g,62399,ac2g,0,e,6939565497805.273,f
125589,ac2g,62399,ac2g,122891,,6939565497741.944,s
7,ac2g,62432,ac2g,0,e,6939565500108.244,f
125589,ac2g,62432,ac2g,122891,,6939565497929.358,s
7,ac2g,62446,ac2g,0,e,6939565500111.988,f
125589,ac2g,62446,ac2g,122891,,6939565497992.636,s
7,ac2g,62471,ac2g,0,e,6939565500116.276,f
125589,ac2g,62471,ac2g,122891,,6939565498100.862,s
7,ac2g,62473,ac2g,0,e,6939565500134.164,f
125589,ac2g,62473,ac2g,122891,,6939565498114.446,s
7,ac2g,62490,ac2g,0,e,6939565500139.028,f
125589,ac2g,62490,ac2g,122891,,6939565498166.242,s
7,ac2g,62503,ac2g,0,e,6939565500154.836,f
125589,ac2g,62503,ac2g,122891,,6939565498215.409,s
7,ac2g,62526,ac2g,0,e,6939565500163.252,f
125589,ac2g,62526,ac2g,122891,,6939565498367.661,s
7,ac2g,62561,ac2g,0,e,6939565500165.716,f
125589,ac2g,62561,ac2g,122891,,6939565498454.799,s
7,ac2g,62563,ac2g,0,e,6939565500169.3,f
125589,ac2g,62563,ac2g,122891,,6939565498468.804,s
7,ac2g,62592,ac2g,0,e,6939565500174.548,f
