Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
0,125589,cpu_op,0,,autograd::engine::evaluate_function: SumBackward0,122891,138.376,16897,,5217,,,6939565489285.438,1,X
1,125589,cpu_op,0,"[""float""]",SumBackward0,122891,83.117,16898,"[""""]",5217,[[]],[[]],6939565489315.272,1,X
2,125589,cpu_op,0,"[""float"", ""ScalarList"", ""Scalar""]",aten::expand,122891,24.922,16899,"["""", ""[1, 50, 10000]"", ""False""]",,"[[], [], []]","[[], [], []]",6939565489371.463,,X
3,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,4.62,16900,"["""", ""[1, 50, 10000]"", ""[0, 0, 0]"", """"]",,"[[], [], [], []]","[[], [], [], []]",6939565489385.149,,X
4,125589,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,122891,60.809,16901,,5216,,,6939565489443.555,1,X
5,125589,cpu_op,0,"[""float""]",ViewBackward0,122891,46.54,16902,"[""""]",5216,"[[0, 0, 0]]","[[1, 50, 10000]]",6939565489451.324,1,X
6,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,122891,40.712,16903,"["""", ""[50, 10000]""]",,"[[0, 0, 0], []]","[[1, 50, 10000], []]",6939565489456.609,,X
7,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList""]",aten::_reshape_alias,122891,10.613,16904,"["""", ""[50, 10000]"", ""[0, 0]""]",,"[[0, 0, 0], [], []]","[[1, 50, 10000], [], []]",6939565489485.699,,X
8,125589,cpu_op,0,,autograd::engine::evaluate_function: AddmmBackward0,122891,625.511,16905,,5215,,,6939565489515.215,1,X
9,125589,cpu_op,0,"[""float""]",AddmmBackward0,122891,533.696,16906,"[""""]",5215,"[[0, 0]]","[[50, 10000]]",6939565489519.533,1,X
10,125589,cpu_op,0,"[""float""]",aten::t,122891,13.42,16907,"[""""]",,"[[1, 512]]","[[512, 10000]]",6939565489529.318,,X
11,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,5.721,16908,"["""", ""0"", ""1""]",,"[[1, 512], [], []]","[[512, 10000], [], []]",6939565489535.359,,X
