ts,tid,pid,cbid,dur,cat,ph,name,correlation,External id
6939292640327.347,125589,122891,307,24.859,cuda_driver,X,cuLaunchKernel,11052,2574
6939292658393.934,125589,122891,307,17.288,cuda_driver,X,cuLaunchKernel,11520,2759
6939292665711.82,125589,122891,307,18.805,cuda_driver,X,cuLaunchKernel,11544,2763
6939292696793.871,125589,122891,307,13.407,cuda_driver,X,cuLaunchKernel,11890,2942
6939292696866.847,125589,122891,307,11.524,cuda_driver,X,cuLaunchKernel,11913,2946
6939292706188.868,125589,122891,307,15.061,cuda_driver,X,cuLaunchKernel,12074,3006
6939292706269.877,125589,122891,307,11.392,cuda_driver,X,cuLaunchKernel,12097,3010
6939292710053.943,125589,122891,307,13.707,cuda_driver,X,cuLaunchKernel,12809,3332
6939292710135.605,125589,122891,307,11.053,cuda_driver,X,cuLaunchKernel,12832,3336
6939292711965.126,125589,122891,307,12.035,cuda_driver,X,cuLaunchKernel,13189,3516
6939292712041.524,125589,122891,307,10.181,cuda_driver,X,cuLaunchKernel,13212,3520
6939292713152.092,125589,122891,307,12.206,cuda_driver,X,cuLaunchKernel,13377,3580
6939292713242.198,125589,122891,307,10.409,cuda_driver,X,cuLaunchKernel,13400,3584
6939292716868.93,125589,122891,307,12.877,cuda_driver,X,cuLaunchKernel,14110,3906
6939292716939.132,125589,122891,307,10.887,cuda_driver,X,cuLaunchKernel,14133,3910
6939292718790.825,125589,122891,307,12.691,cuda_driver,X,cuLaunchKernel,14486,4090
6939292718859.082,125589,122891,307,9.932,cuda_driver,X,cuLaunchKernel,14509,4094
6939292719690.977,125589,122891,307,12.092,cuda_driver,X,cuLaunchKernel,14670,4154
6939292719767.714,125589,122891,307,10.058,cuda_driver,X,cuLaunchKernel,14693,4158
6939292723558.459,125589,122891,307,17.38,cuda_driver,X,cuLaunchKernel,15407,4480
6939292723636.784,125589,122891,307,9.487,cuda_driver,X,cuLaunchKernel,15430,4484
6939292725536.759,125589,122891,307,12.011,cuda_driver,X,cuLaunchKernel,15783,4664
6939292725626.264,125589,122891,307,10.3,cuda_driver,X,cuLaunchKernel,15806,4668
6939292726366.579,125589,122891,307,12.066,cuda_driver,X,cuLaunchKernel,15967,4728
6939292726436.645,125589,122891,307,9.761,cuda_driver,X,cuLaunchKernel,15990,4732
6939292730211.615,125589,122891,307,12.348,cuda_driver,X,cuLaunchKernel,16704,5054
6939292730291.055,125589,122891,307,11.891,cuda_driver,X,cuLaunchKernel,16727,5058
6939292732166.044,125589,122891,307,13.772,cuda_driver,X,cuLaunchKernel,17080,5238
6939292732245.677,125589,122891,307,10.404,cuda_driver,X,cuLaunchKernel,17103,5242
6939292732978.111,125589,122891,307,12.308,cuda_driver,X,cuLaunchKernel,17264,5302
6939292733048.123,125589,122891,307,10.222,cuda_driver,X,cuLaunchKernel,17287,5306
6939292736421.257,125589,122891,307,12.601,cuda_driver,X,cuLaunchKernel,17997,5628
6939292736491.0,125589,122891,307,9.742,cuda_driver,X,cuLaunchKernel,18020,5632
6939292738399.458,125589,122891,307,11.068,cuda_driver,X,cuLaunchKernel,18373,5812
6939292738465.325,125589,122891,307,10.429,cuda_driver,X,cuLaunchKernel,18396,5816
6939292739501.747,125589,122891,307,13.187,cuda_driver,X,cuLaunchKernel,18561,5876
6939292739582.616,125589,122891,307,12.506,cuda_driver,X,cuLaunchKernel,18584,5880
6939292743304.391,125589,122891,307,12.796,cuda_driver,X,cuLaunchKernel,19337,6216
6939292743383.375,125589,122891,307,10.021,cuda_driver,X,cuLaunchKernel,19360,6220
6939292747115.361,125589,122891,307,12.531,cuda_driver,X,cuLaunchKernel,20074,6542
6939292747186.438,125589,122891,307,9.839,cuda_driver,X,cuLaunchKernel,20097,6546
6939292750713.791,125589,122891,307,11.897,cuda_driver,X,cuLaunchKernel,20807,6868
6939292750802.489,125589,122891,307,17.841,cuda_driver,X,cuLaunchKernel,20830,6872
6939292754664.345,125589,122891,307,13.142,cuda_driver,X,cuLaunchKernel,21544,7194
6939292754737.287,125589,122891,307,10.365,cuda_driver,X,cuLaunchKernel,21567,7198
6939292757628.234,125589,122891,307,10.419,cuda_driver,X,cuLaunchKernel,22277,7520
6939292757686.656,125589,122891,307,7.963,cuda_driver,X,cuLaunchKernel,22300,7524
6939292761299.654,125589,122891,307,15.143,cuda_driver,X,cuLaunchKernel,23014,7846
6939292761372.636,125589,122891,307,9.186,cuda_driver,X,cuLaunchKernel,23037,7850
