tid,cat,name,pid,dur,External id,cbid,correlation,ts,ph
122891,cuda_runtime,cudaMemsetAsync,122891,635.208,16387,51,60821,6939565487569.38,X
122891,cuda_runtime,cudaLaunchKernel,122891,45.034,16387,211,60823,6939565488224.719,X
122891,cuda_runtime,cudaLaunchKernel,122891,34.614,16392,211,60836,6939565488528.175,X
125589,cuda_runtime,cudaLaunchKernel,122891,33.558,16914,211,60866,6939565489666.531,X
125589,cuda_runtime,cudaDeviceGetAttribute,122891,4.59,16910,200,60882,6939565489826.73,X
125589,cuda_runtime,cudaLaunchKernel,122891,20.305,16910,211,60885,6939565489864.876,X
125589,cuda_runtime,cudaLaunchKernel,122891,12.923,16922,211,60903,6939565489958.253,X
125589,cuda_runtime,cudaOccupancyMaxActiveBlocksPerMultiprocessor,122891,11.142,16918,210,60916,6939565489997.217,X
125589,cuda_runtime,cudaLaunchKernel,122891,18.982,16918,211,60917,6939565490013.446,X
125589,cuda_runtime,cudaLaunchKernel,122891,15.492,16926,211,60930,6939565490089.488,X
125589,cuda_runtime,cudaLaunchKernel,122891,22.077,16951,211,60983,6939565490442.013,X
125589,cuda_runtime,cudaLaunchKernel,122891,14.928,16951,211,60985,6939565490471.622,X
125589,cuda_runtime,cudaLaunchKernel,122891,12.292,16965,211,61026,6939565490624.564,X
125589,cuda_runtime,cudaLaunchKernel,122891,9.977,16965,211,61028,6939565490638.39,X
125589,cuda_runtime,cudaLaunchKernel,122891,19.169,16981,211,61057,6939565490802.728,X
125589,cuda_runtime,cudaOccupancyMaxActiveBlocksPerMultiprocessor,122891,2.829,16993,210,61082,6939565490932.377,X
125589,cuda_runtime,cudaLaunchKernel,122891,19.202,16993,211,61083,6939565490936.897,X
125589,cuda_runtime,cudaLaunchKernel,122891,10.769,16993,211,61085,6939565490957.901,X
125589,cuda_runtime,cudaLaunchKernel,122891,13.344,16997,211,61102,6939565491017.763,X
125589,cuda_runtime,cudaLaunchKernel,122891,19.793,17001,211,61115,6939565491077.675,X
125589,cuda_runtime,cudaLaunchKernel,122891,12.545,17022,211,61148,6939565491275.991,X
