ts,memory bandwidth (GB/s),tid,pid,dur,context,stream,cat,ph,name,device,bytes,correlation,External id
6939565495170.016,37.29060451565914,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,61542,17207
6939565495174.208,39.12877340466183,7,0,1.311,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,61567,17217
6939565497698.778,38.194703468854904,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,62093,17454
6939565497702.874,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,62118,17464
6939565497709.466,39.12877340466183,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,62152,17475
6939565500250.644,37.30418943533698,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,62826,17780
6939565500254.772,38.194703468854904,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,62851,17790
6939565502812.91,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,63390,18028
6939565502817.422,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,63415,18038
6939565502824.174,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,63449,18049
6939565505398.888,37.29060451565914,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,64123,18354
6939565505403.016,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,64148,18364
6939565507916.898,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,64683,18602
6939565507921.026,39.12877340466183,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,64708,18612
6939565507927.554,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,64742,18623
6939565510468.732,37.29060451565914,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,65416,18928
6939565510472.828,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,65441,18938
6939565512999.639,38.194703468854904,7,0,1.343,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,65976,19176
6939565513003.703,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,66001,19186
6939565513010.294,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,66035,19197
6939565515600.72,37.30418943533698,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,66709,19502
6939565515604.848,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,66734,19512
6939565518101.642,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,67269,19750
6939565518105.706,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,67294,19760
6939565518112.267,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,67328,19771
6939565520705.508,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,68002,20076
6939565520709.604,38.18046234153617,7,0,1.345,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,68027,20086
6939565523233.119,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,68562,20324
6939565523237.183,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,68587,20334
6939565523243.742,38.18046234153617,7,0,1.345,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,68621,20345
6939565525788.441,37.29060451565914,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,69338,20664
6939565525792.985,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,69363,20674
6939565525799.641,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,69397,20685
6939565528402.803,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,70071,20990
6939565528407.283,40.09397024275646,7,0,1.28,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,70096,21000
6939565528413.843,39.12877340466183,7,0,1.311,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,70130,21011
6939565530944.237,37.29060451565914,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,70804,21316
6939565530948.717,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,70829,21326
6939565530955.277,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,70863,21337
6939565533551.463,37.30418943533698,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,71537,21642
6939565533555.591,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,71562,21652
6939565533562.151,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,71596,21663
6939565536177.697,37.29060451565914,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,72270,21968
