Ev Idx,tid,cat,name,pid,dur,Python parent id,Python id,ts,ph
5590,0,python_function,threading.py(973): _bootstrap,0,55118.924,,1,6939565486153.945,X
5591,0,python_function,threading.py(1016): _bootstrap_inner,0,55117.144,1,2,6939565486155.725,X
5592,0,python_function,decorator.py(232): fun,0,55113.433,2,3,6939565486159.436,X
5593,0,python_function,IPython/core/history.py(61): only_when_enabled,0,55112.277,3,4,6939565486160.592,X
5594,0,python_function,IPython/core/history.py(903): run,0,55109.488,4,5,6939565486163.381,X
5595,0,python_function,threading.py(607): wait,0,55108.345,5,6,6939565486164.524,X
5596,0,python_function,threading.py(320): wait,0,55107.32,6,7,6939565486165.549,X
5597,0,python_function,threading.py(973): _bootstrap,0,55102.241,7,8,6939565486170.628,X
5598,0,python_function,threading.py(1016): _bootstrap_inner,0,55101.536,8,9,6939565486171.333,X
5599,0,python_function,ipykernel/control.py(23): run,0,55099.719,9,10,6939565486173.15,X
5600,0,python_function,tornado/platform/asyncio.py(205): start,0,55097.414,10,11,6939565486175.455,X
5601,0,python_function,asyncio/base_events.py(603): run_forever,0,55095.514,11,12,6939565486177.355,X
5602,0,python_function,asyncio/base_events.py(1871): _run_once,0,55094.477,12,13,6939565486178.392,X
5603,0,python_function,selectors.py(469): select,0,55093.334,13,14,6939565486179.535,X
5604,0,python_function,threading.py(973): _bootstrap,0,55089.968,14,15,6939565486182.901,X
5605,0,python_function,threading.py(1016): _bootstrap_inner,0,55089.404,15,16,6939565486183.465,X
5606,0,python_function,threading.py(953): run,0,55088.319,16,17,6939565486184.55,X
5607,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,55087.269,17,18,6939565486185.6,X
5608,0,python_function,threading.py(973): _bootstrap,0,55083.888,18,19,6939565486188.981,X
5609,0,python_function,threading.py(1016): _bootstrap_inner,0,55083.291,19,20,6939565486189.578,X
5610,0,python_function,threading.py(953): run,0,55082.069,20,21,6939565486190.8,X
5611,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,55081.749,21,22,6939565486191.12,X
5612,0,python_function,threading.py(973): _bootstrap,0,55079.069,22,23,6939565486193.8,X
5613,0,python_function,threading.py(1016): _bootstrap_inner,0,55078.647,23,24,6939565486194.222,X
5614,0,python_function,ipykernel/heartbeat.py(106): run,0,55076.494,24,25,6939565486196.375,X
5615,0,python_function,threading.py(973): _bootstrap,0,55072.301,25,26,6939565486200.568,X
5616,0,python_function,threading.py(1016): _bootstrap_inner,0,55072.002,26,27,6939565486200.867,X
5617,0,python_function,threading.py(953): run,0,55071.132,27,28,6939565486201.737,X
5618,0,python_function,ipykernel/iostream.py(92): _thread_main,0,55070.444,28,29,6939565486202.425,X
5619,0,python_function,tornado/platform/asyncio.py(205): start,0,55069.493,29,30,6939565486203.376,X
5620,0,python_function,asyncio/base_events.py(603): run_forever,0,55068.962,30,31,6939565486203.907,X
5621,0,python_function,asyncio/base_events.py(1871): _run_once,0,55068.453,31,32,6939565486204.416,X
5622,0,python_function,selectors.py(469): select,0,55067.995,32,33,6939565486204.874,X
5623,122891,python_function,runpy.py(196): _run_module_as_main,122891,55055.084,,34,6939565486217.785,X
5624,122891,python_function,runpy.py(86): _run_code,122891,55053.841,34,35,6939565486219.028,X
5625,122891,python_function,ipykernel_launcher.py(18): <module>,122891,55052.045,35,36,6939565486220.824,X
