tid,cat,id,name,pid,bp,ts,ph
7,ac2g,49929,ac2g,0,e,6939565294282.014,f
122891,ac2g,49929,ac2g,122891,,6939565292145.817,s
7,ac2g,49942,ac2g,0,e,6939565294559.486,f
122891,ac2g,49942,ac2g,122891,,6939565294538.946,s
7,ac2g,49961,ac2g,0,e,6939565294716.285,f
122891,ac2g,49961,ac2g,122891,,6939565294700.087,s
7,ac2g,49974,ac2g,0,e,6939565294835.517,f
122891,ac2g,49974,ac2g,122891,,6939565294820.429,s
122891,ac2g,49993,ac2g,122891,e,6939565295406.387,f
7,ac2g,49994,ac2g,0,e,6939565295438.172,f
122891,ac2g,49994,ac2g,122891,,6939565295413.849,s
7,ac2g,49996,ac2g,0,e,6939565295454.748,f
122891,ac2g,49996,ac2g,122891,,6939565295440.645,s
7,ac2g,50010,ac2g,0,e,6939565295745.436,f
122891,ac2g,50010,ac2g,122891,,6939565295728.208,s
122891,ac2g,50039,ac2g,122891,e,6939565296035.455,f
122891,ac2g,50044,ac2g,122891,e,6939565296041.819,f
122891,ac2g,50048,ac2g,122891,e,6939565296044.254,f
7,ac2g,50063,ac2g,0,e,6939565296115.067,f
122891,ac2g,50063,ac2g,122891,,6939565296099.086,s
122891,ac2g,50086,ac2g,122891,e,6939565296267.934,f
7,ac2g,50087,ac2g,0,e,6939565296287.547,f
122891,ac2g,50087,ac2g,122891,,6939565296272.759,s
7,ac2g,50089,ac2g,0,e,6939565296301.787,f
122891,ac2g,50089,ac2g,122891,,6939565296288.599,s
122891,ac2g,50114,ac2g,122891,e,6939565296484.489,f
122891,ac2g,50118,ac2g,122891,e,6939565296489.576,f
7,ac2g,50120,ac2g,0,e,6939565296514.299,f
122891,ac2g,50120,ac2g,122891,,6939565296499.49,s
7,ac2g,50130,ac2g,0,e,6939565296576.155,f
122891,ac2g,50130,ac2g,122891,,6939565296565.076,s
7,ac2g,50159,ac2g,0,e,6939565296764.89,f
122891,ac2g,50159,ac2g,122891,,6939565296747.8,s
122891,ac2g,50178,ac2g,122891,e,6939565296945.485,f
7,ac2g,50179,ac2g,0,e,6939565296964.538,f
122891,ac2g,50179,ac2g,122891,,6939565296950.915,s
7,ac2g,50190,ac2g,0,e,6939565297065.082,f
122891,ac2g,50190,ac2g,122891,,6939565297051.726,s
122891,ac2g,50217,ac2g,122891,e,6939565297171.615,f
122891,ac2g,50221,ac2g,122891,e,6939565297176.279,f
7,ac2g,50223,ac2g,0,e,6939565297199.097,f
122891,ac2g,50223,ac2g,122891,,6939565297186.013,s
7,ac2g,50242,ac2g,0,e,6939565297331.161,f
122891,ac2g,50242,ac2g,122891,,6939565297318.746,s
7,ac2g,50244,ac2g,0,e,6939565297349.273,f
122891,ac2g,50244,ac2g,122891,,6939565297332.616,s
122891,ac2g,50269,ac2g,122891,e,6939565297438.588,f
122891,ac2g,50273,ac2g,122891,e,6939565297442.726,f
7,ac2g,50275,ac2g,0,e,6939565297462.265,f
122891,ac2g,50275,ac2g,122891,,6939565297449.471,s
7,ac2g,50285,ac2g,0,e,6939565297512.633,f
122891,ac2g,50285,ac2g,122891,,6939565297500.374,s
7,ac2g,50314,ac2g,0,e,6939565297674.489,f
122891,ac2g,50314,ac2g,122891,,6939565297661.589,s
122891,ac2g,50333,ac2g,122891,e,6939565297913.917,f
7,ac2g,50334,ac2g,0,e,6939565297934.072,f
122891,ac2g,50334,ac2g,122891,,6939565297920.049,s
7,ac2g,50336,ac2g,0,e,6939565297949.944,f
122891,ac2g,50336,ac2g,122891,,6939565297935.464,s
7,ac2g,50350,ac2g,0,e,6939565298125.528,f
122891,ac2g,50350,ac2g,122891,,6939565298110.109,s
122891,ac2g,50379,ac2g,122891,e,6939565298371.279,f
122891,ac2g,50384,ac2g,122891,e,6939565298378.15,f
122891,ac2g,50388,ac2g,122891,e,6939565298381.609,f
7,ac2g,50403,ac2g,0,e,6939565298442.327,f
122891,ac2g,50403,ac2g,122891,,6939565298428.751,s
122891,ac2g,50426,ac2g,122891,e,6939565298570.935,f
7,ac2g,50427,ac2g,0,e,6939565298588.407,f
122891,ac2g,50427,ac2g,122891,,6939565298575.09,s
7,ac2g,50429,ac2g,0,e,6939565298600.919,f
122891,ac2g,50429,ac2g,122891,,6939565298589.207,s
122891,ac2g,50454,ac2g,122891,e,6939565298742.541,f
122891,ac2g,50458,ac2g,122891,e,6939565298747.035,f
7,ac2g,50460,ac2g,0,e,6939565298770.807,f
122891,ac2g,50460,ac2g,122891,,6939565298757.028,s
7,ac2g,50470,ac2g,0,e,6939565298824.631,f
122891,ac2g,50470,ac2g,122891,,6939565298813.261,s
