ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6939292361198.896,122891,122891,1,3763.574,cpu_op,X,"[""float"", ""long int"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::embedding,"[[512, 1], [50, 1], [], [], []]",0,"["""", """", ""-1"", ""False"", ""False""]","[[10000, 512], [1, 50], [], [], []]",0,745,2
6939292361246.008,122891,122891,2,13.656,cpu_op,X,"[""long int"", ""ScalarList""]",aten::reshape,"[[50, 1], []]",,"["""", ""[-1]""]","[[1, 50], []]",0,,3
6939292361251.55,122891,122891,3,4.946,cpu_op,X,"[""long int"", ""ScalarList""]",aten::view,"[[50, 1], []]",,"["""", ""[-1]""]","[[1, 50], []]",0,,4
6939292361265.868,122891,122891,4,3678.655,cpu_op,X,"[""float"", ""Scalar"", ""long int""]",aten::index_select,"[[512, 1], [], [1]]",,"["""", ""0"", """"]","[[10000, 512], [], [50]]",0,,5
6939292364781.469,122891,122891,5,20.386,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,6
6939292364833.9,122891,122891,6,20.693,cpu_op,X,"[""float"", ""ScalarList"", """"]",aten::resize_,"[[1], [], []]",,"["""", ""[50, 512]"", """"]","[[0], [], []]",0,,7
6939292364949.259,122891,122891,7,3.504,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[512, 1], []]",,"["""", ""[1, 50, 512]""]","[[50, 512], []]",0,,8
6939292365018.476,122891,122891,8,37.814,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::slice,"[[262144, 512, 1], [], [], [], []]",0,"["""", ""0"", ""0"", ""9223372036854775807"", ""1""]","[[1, 512, 512], [], [], [], []]",0,746,9
6939292365046.978,122891,122891,9,2.458,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]",aten::as_strided,"[[262144, 512, 1], [], [], []]",,"["""", ""[1, 512, 512]"", ""[262144, 512, 1]"", ""0""]","[[1, 512, 512], [], [], []]",0,,10
6939292365061.282,122891,122891,10,15.528,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::slice,"[[262144, 512, 1], [], [], [], []]",0,"["""", ""1"", ""0"", ""50"", ""1""]","[[1, 512, 512], [], [], [], []]",0,747,11
