tid,cat,name,pid,dur,External id,cbid,correlation,ts,ph
122891,cuda_runtime,cudaLaunchKernel,122891,2146.273,14341,211,49929,6939565292145.817,X
122891,cuda_runtime,cudaLaunchKernel,122891,21.535,14351,211,49942,6939565294538.946,X
122891,cuda_runtime,cudaLaunchKernel,122891,16.406,14355,211,49961,6939565294700.087,X
122891,cuda_runtime,cudaLaunchKernel,122891,15.312,14365,211,49974,6939565294820.429,X
122891,cuda_runtime,cudaOccupancyMaxActiveBlocksPerMultiprocessor,122891,4.128,14376,210,49993,6939565295406.387,X
122891,cuda_runtime,cudaLaunchKernel,122891,24.899,14376,211,49994,6939565295413.849,X
122891,cuda_runtime,cudaLaunchKernel,122891,14.004,14376,211,49996,6939565295440.645,X
122891,cuda_runtime,cudaLaunchKernel,122891,17.72,14390,211,50010,6939565295728.208,X
122891,cuda_runtime,cudaStreamIsCapturing,122891,2.243,14417,317,50039,6939565296035.455,X
122891,cuda_runtime,cudaStreamIsCapturing,122891,0.514,14417,317,50044,6939565296041.819,X
122891,cuda_runtime,cudaStreamIsCapturing,122891,0.497,14417,317,50048,6939565296044.254,X
122891,cuda_runtime,cudaLaunchKernel,122891,16.301,14417,211,50063,6939565296099.086,X
122891,cuda_runtime,cudaOccupancyMaxActiveBlocksPerMultiprocessor,122891,2.701,14431,210,50086,6939565296267.934,X
122891,cuda_runtime,cudaLaunchKernel,122891,14.037,14431,211,50087,6939565296272.759,X
122891,cuda_runtime,cudaLaunchKernel,122891,12.417,14431,211,50089,6939565296288.599,X
122891,cuda_runtime,cudaStreamIsCapturing,122891,2.563,14434,317,50114,6939565296484.489,X
122891,cuda_runtime,cudaStreamIsCapturing,122891,0.519,14434,317,50118,6939565296489.576,X
122891,cuda_runtime,cudaLaunchKernel,122891,15.156,14434,211,50120,6939565296499.49,X
122891,cuda_runtime,cudaLaunchKernel,122891,10.181,14439,211,50130,6939565296565.076,X
122891,cuda_runtime,cudaLaunchKernel,122891,17.984,14441,211,50159,6939565296747.8,X
