shared memory,pid,dur,stream,ts,est. achieved occupancy %,tid,cat,warps per SM,grid,registers per thread,correlation,ph,name,device,External id,queued,blocks per SM,context,block
0,0,3.2,7,6939565294282.014,20,7,kernel,9.523809,"[200, 1, 1]",32,49929,X,"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0,14341,0,2.380952,1,"[128, 1, 1]"
0,0,2.144,7,6939565294559.486,5,7,kernel,2.380952,"[50, 1, 1]",22,49942,X,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>)",0,14351,0,0.595238,1,"[128, 1, 1]"
0,0,2.688,7,6939565294716.285,20,7,kernel,9.523809,"[200, 1, 1]",32,49961,X,"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0,14355,0,2.380952,1,"[128, 1, 1]"
0,0,1.44,7,6939565294835.517,5,7,kernel,2.380952,"[50, 1, 1]",22,49974,X,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>)",0,14365,0,0.595238,1,"[128, 1, 1]"
26624,0,15.264,7,6939565295438.172,29,7,kernel,13.714286,"[24, 2, 3]",82,49994,X,ampere_sgemm_64x32_sliced1x4_tn,0,14376,0,1.714286,1,"[256, 1, 1]"
0,0,2.944,7,6939565295454.748,67,7,kernel,36.57143,"[48, 4, 1]",44,49996,X,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",0,14376,0,2.285714,1,"[32, 16, 1]"
0,0,2.24,7,6939565295745.436,30,7,kernel,14.285714,"[300, 1, 1]",16,50010,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,14390,0,3.571429,1,"[128, 1, 1]"
36352,0,14.912,7,6939565296115.067,1,7,kernel,0.380952,"[1, 8, 1]",168,50063,X,"fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)",0,14417,0,0.095238,1,"[32, 4, 1]"
26624,0,8.0,7,6939565296287.547,13,7,kernel,6.095238,"[8, 2, 4]",82,50087,X,ampere_sgemm_64x32_sliced1x4_tn,0,14431,0,0.761905,1,"[256, 1, 1]"
0,0,2.176,7,6939565296301.787,25,7,kernel,12.190476,"[16, 4, 1]",44,50089,X,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",0,14431,0,0.761905,1,"[32, 16, 1]"
