Ev Idx,tid,cat,name,pid,dur,Python parent id,Python module id,Python id,ts,ph
1971,0,python_function,threading.py(973): _bootstrap,0,40098.618,,,1,6939565290255.878,X
1972,0,python_function,threading.py(1016): _bootstrap_inner,0,40097.422,1,,2,6939565290257.074,X
1973,0,python_function,decorator.py(232): fun,0,40093.747,2,,3,6939565290260.749,X
1974,0,python_function,IPython/core/history.py(61): only_when_enabled,0,40092.309,3,,4,6939565290262.187,X
1975,0,python_function,IPython/core/history.py(903): run,0,40087.427,4,,5,6939565290267.069,X
1976,0,python_function,threading.py(607): wait,0,40086.229,5,,6,6939565290268.267,X
1977,0,python_function,threading.py(320): wait,0,40084.767,6,,7,6939565290269.729,X
1978,0,python_function,threading.py(973): _bootstrap,0,40078.299,7,,8,6939565290276.197,X
1979,0,python_function,threading.py(1016): _bootstrap_inner,0,40077.855,8,,9,6939565290276.641,X
1980,0,python_function,ipykernel/control.py(23): run,0,40075.888,9,,10,6939565290278.608,X
1981,0,python_function,tornado/platform/asyncio.py(205): start,0,40071.733,10,,11,6939565290282.763,X
1982,0,python_function,asyncio/base_events.py(603): run_forever,0,40069.182,11,,12,6939565290285.314,X
1983,0,python_function,asyncio/base_events.py(1871): _run_once,0,40067.96,12,,13,6939565290286.536,X
1984,0,python_function,selectors.py(469): select,0,40066.493,13,,14,6939565290288.003,X
1985,0,python_function,threading.py(973): _bootstrap,0,40061.822,14,,15,6939565290292.674,X
1986,0,python_function,threading.py(1016): _bootstrap_inner,0,40061.057,15,,16,6939565290293.439,X
1987,0,python_function,threading.py(953): run,0,40059.962,16,,17,6939565290294.534,X
1988,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,40058.393,17,,18,6939565290296.103,X
1989,0,python_function,threading.py(973): _bootstrap,0,40040.448,18,,19,6939565290314.048,X
1990,0,python_function,threading.py(1016): _bootstrap_inner,0,40039.829,19,,20,6939565290314.667,X
1991,0,python_function,threading.py(953): run,0,40038.144,20,,21,6939565290316.352,X
1992,0,python_function,ipykernel/iostream.py(387): _watch_pipe_fd,0,40037.768,21,,22,6939565290316.728,X
1993,0,python_function,threading.py(973): _bootstrap,0,40024.913,22,,23,6939565290329.583,X
1994,0,python_function,threading.py(1016): _bootstrap_inner,0,40024.514,23,,24,6939565290329.982,X
1995,0,python_function,ipykernel/heartbeat.py(106): run,0,40022.119,24,,25,6939565290332.377,X
1996,0,python_function,threading.py(973): _bootstrap,0,40009.358,25,,26,6939565290345.138,X
1997,0,python_function,threading.py(1016): _bootstrap_inner,0,40009.056,26,,27,6939565290345.44,X
1998,0,python_function,threading.py(953): run,0,40007.818,27,,28,6939565290346.678,X
1999,0,python_function,ipykernel/iostream.py(92): _thread_main,0,40006.74,28,,29,6939565290347.756,X
2000,0,python_function,tornado/platform/asyncio.py(205): start,0,40005.497,29,,30,6939565290348.999,X
2001,0,python_function,asyncio/base_events.py(603): run_forever,0,40004.854,30,,31,6939565290349.642,X
2002,0,python_function,asyncio/base_events.py(1871): _run_once,0,40004.345,31,,32,6939565290350.151,X
2003,0,python_function,selectors.py(469): select,0,40003.817,32,,33,6939565290350.679,X
2004,122891,python_function,runpy.py(196): _run_module_as_main,122891,39987.336,,,34,6939565290367.16,X
2005,122891,python_function,runpy.py(86): _run_code,122891,39985.82,34,,35,6939565290368.676,X
2006,122891,python_function,ipykernel_launcher.py(18): <module>,122891,39984.138,35,,36,6939565290370.358,X
2007,122891,python_function,traitlets/config/application.py(1075): launch_instance,122891,39982.035,36,,37,6939565290372.461,X
2008,122891,python_function,ipykernel/kernelapp.py(739): start,122891,39977.174,37,,38,6939565290377.322,X
2009,122891,python_function,tornado/platform/asyncio.py(205): start,122891,39976.714,38,,39,6939565290377.782,X
2010,122891,python_function,asyncio/base_events.py(603): run_forever,122891,39976.241,39,,40,6939565290378.255,X
2011,122891,python_function,asyncio/base_events.py(1909): _run_once,122891,39975.204,40,,41,6939565290379.292,X
2012,122891,python_function,asyncio/events.py(80): _run,122891,39971.426,41,,42,6939565290383.07,X
2013,122891,python_function,ipykernel/kernelbase.py(545): dispatch_queue,122891,39970.414,42,,43,6939565290384.082,X
2014,122891,python_function,ipykernel/kernelbase.py(534): process_one,122891,39969.503,43,,44,6939565290384.993,X
2015,122891,python_function,ipykernel/kernelbase.py(437): dispatch_shell,122891,39967.892,44,,45,6939565290386.604,X
2016,122891,python_function,ipykernel/ipkernel.py(362): execute_request,122891,39966.3,45,,46,6939565290388.196,X
2017,122891,python_function,ipykernel/kernelbase.py(778): execute_request,122891,39965.182,46,,47,6939565290389.314,X
2018,122891,python_function,ipykernel/ipkernel.py(449): do_execute,122891,39963.436,47,,48,6939565290391.06,X
2019,122891,python_function,ipykernel/zmqshell.py(549): run_cell,122891,39962.094,48,,49,6939565290392.402,X
2020,122891,python_function,IPython/core/interactiveshell.py(3075): run_cell,122891,39955.851,49,,50,6939565290398.645,X
2021,122891,python_function,IPython/core/interactiveshell.py(3130): _run_cell,122891,39954.89,50,,51,6939565290399.606,X
2022,122891,python_function,IPython/core/async_helpers.py(128): _pseudo_sync_runner,122891,39943.775,51,,52,6939565290410.721,X
2023,122891,python_function,IPython/core/interactiveshell.py(3334): run_cell_async,122891,39941.953,52,,53,6939565290412.543,X
2024,122891,python_function,IPython/core/interactiveshell.py(3517): run_ast_nodes,122891,39940.29,53,,54,6939565290414.206,X
2025,122891,python_function,IPython/core/interactiveshell.py(3577): run_code,122891,39938.946,54,,55,6939565290415.55,X
2026,122891,python_function,/tmp/ipykernel_122891/1902610750.py(25): <module>,122891,39938.107,55,,56,6939565290416.389,X
2027,122891,python_function,pytorch_tracing.py(31): py_tracing_forward,122891,39936.626,56,,57,6939565290417.87,X
2028,122891,python_function,torch/profiler/profiler.py(776): step,122891,450.497,57,,58,6939565290418.79,X
2029,122891,python_function,torch/profiler/profiler.py(793): _transit_action,122891,170.458,58,,59,6939565290419.947,X
2030,122891,python_function,torch/profiler/profiler.py(174): start_trace,122891,168.361,59,,60,6939565290421.012,X
2031,122891,python_function,torch/autograd/profiler.py(339): _start_trace,122891,49.486,60,,61,6939565290421.984,X
2032,122891,python_function,<built-in function perf_counter_ns>,122891,3.093,61,,62,6939565290463.08,X
2033,122891,python_function,torch/profiler/profiler.py(304): add_metadata_json,122891,19.052,60,,63,6939565290477.234,X
2034,122891,python_function,<built-in method _add_metadata_json of PyCapsule object at 0x7fb81c7850e0>,122891,6.138,63,,64,6939565290489.912,X
2035,122891,python_function,torch/profiler/profiler.py(304): add_metadata_json,122891,2.044,60,,65,6939565290497.529,X
2036,122891,python_function,<built-in method _add_metadata_json of PyCapsule object at 0x7fb81c7850e0>,122891,1.453,65,,66,6939565290498.032,X
2037,122891,python_function,<built-in method kineto_available of PyCapsule object at 0x7fb81c785140>,122891,1.151,60,,67,6939565290504.661,X
2038,122891,python_function,torch/profiler/profiler.py(319): _get_distributed_info,122891,39.477,60,,68,6939565290508.646,X
2039,122891,python_function,torch/distributed/__init__.py(14): is_available,122891,4.583,68,,69,6939565290521.932,X
2040,122891,python_function,<built-in function hasattr>,122891,1.183,69,,70,6939565290525.188,X
2041,122891,python_function,torch/distributed/distributed_c10d.py(1121): is_initialized,122891,12.883,68,,71,6939565290534.975,X
2042,122891,python_function,torch/distributed/distributed_c10d.py(705): WORLD,122891,5.642,71,,72,6939565290541.911,X
2043,122891,python_function,torch/distributed/distributed_c10d.py(576): default_pg,122891,0.915,72,,73,6939565290546.373,X
2044,122891,python_function,<built-in function hasattr>,122891,1.225,60,,74,6939565290550.385,X
2045,122891,python_function,torch/utils/_config_module.py(379): __getattr__,122891,9.961,60,,75,6939565290570.268,X
2046,122891,python_function,torch/utils/_config_module.py(148): __getattr__,122891,4.031,75,,76,6939565290575.826,X
2047,122891,python_function,<built-in method items of dict object at 0x7fb80d470140>,122891,0.302,60,,77,6939565290587.838,X
