tid,cat,id,name,pid,bp,ts,ph
7,ac2g,78910,ac2g,0,e,6939565712147.097,f
122891,ac2g,78910,ac2g,122891,,6939565711256.431,s
7,ac2g,78940,ac2g,0,e,6939565713382.551,f
125589,ac2g,78940,ac2g,122891,,6939565713239.278,s
125589,ac2g,78956,ac2g,122891,e,6939565713407.658,f
7,ac2g,78958,ac2g,0,e,6939565713571.862,f
125589,ac2g,78958,ac2g,122891,,6939565713416.503,s
7,ac2g,78959,ac2g,0,e,6939565713623.414,f
125589,ac2g,78959,ac2g,122891,,6939565713442.368,s
7,ac2g,78977,ac2g,0,e,6939565713823.83,f
125589,ac2g,78977,ac2g,122891,,6939565713608.126,s
125589,ac2g,78990,ac2g,122891,e,6939565713671.263,f
7,ac2g,78991,ac2g,0,e,6939565713828.278,f
125589,ac2g,78991,ac2g,122891,,6939565713685.125,s
7,ac2g,79004,ac2g,0,e,6939565713875.766,f
125589,ac2g,79004,ac2g,122891,,6939565713799.864,s
7,ac2g,79057,ac2g,0,e,6939565714439.38,f
125589,ac2g,79057,ac2g,122891,,6939565714330.294,s
7,ac2g,79059,ac2g,0,e,6939565714443.285,f
125589,ac2g,79059,ac2g,122891,,6939565714359.231,s
7,ac2g,79100,ac2g,0,e,6939565715107.988,f
125589,ac2g,79100,ac2g,122891,,6939565714622.462,s
7,ac2g,79102,ac2g,0,e,6939565715111.892,f
125589,ac2g,79102,ac2g,122891,,6939565714644.117,s
7,ac2g,79131,ac2g,0,e,6939565715117.428,f
125589,ac2g,79131,ac2g,122891,,6939565714920.087,s
125589,ac2g,79156,ac2g,122891,e,6939565715184.53,f
7,ac2g,79157,ac2g,0,e,6939565715361.843,f
125589,ac2g,79157,ac2g,122891,,6939565715193.587,s
7,ac2g,79159,ac2g,0,e,6939565715379.315,f
125589,ac2g,79159,ac2g,122891,,6939565715223.721,s
7,ac2g,79176,ac2g,0,e,6939565715383.571,f
125589,ac2g,79176,ac2g,122891,,6939565715348.227,s
7,ac2g,79189,ac2g,0,e,6939565715665.715,f
125589,ac2g,79189,ac2g,122891,,6939565715468.434,s
7,ac2g,79222,ac2g,0,e,6939565716897.649,f
125589,ac2g,79222,ac2g,122891,,6939565715842.101,s
7,ac2g,79236,ac2g,0,e,6939565716901.681,f
125589,ac2g,79236,ac2g,122891,,6939565715970.792,s
7,ac2g,79261,ac2g,0,e,6939565716905.649,f
125589,ac2g,79261,ac2g,122891,,6939565716176.725,s
7,ac2g,79263,ac2g,0,e,6939565716922.737,f
125589,ac2g,79263,ac2g,122891,,6939565716198.011,s
7,ac2g,79280,ac2g,0,e,6939565716927.185,f
125589,ac2g,79280,ac2g,122891,,6939565716289.254,s
7,ac2g,79293,ac2g,0,e,6939565716942.417,f
125589,ac2g,79293,ac2g,122891,,6939565716377.088,s
7,ac2g,79316,ac2g,0,e,6939565716950.768,f
125589,ac2g,79316,ac2g,122891,,6939565716685.745,s
7,ac2g,79351,ac2g,0,e,6939565716953.425,f
125589,ac2g,79351,ac2g,122891,,6939565716853.26,s
7,ac2g,79353,ac2g,0,e,6939565716957.169,f
125589,ac2g,79353,ac2g,122891,,6939565716875.504,s
7,ac2g,79382,ac2g,0,e,6939565718178.863,f
125589,ac2g,79382,ac2g,122891,,6939565717136.759,s
125589,ac2g,79410,ac2g,122891,e,6939565717346.76,f
7,ac2g,79412,ac2g,0,e,6939565718181.679,f
125589,ac2g,79412,ac2g,122891,,6939565717353.165,s
7,ac2g,79413,ac2g,0,e,6939565718189.71,f
125589,ac2g,79413,ac2g,122891,,6939565717374.491,s
125589,ac2g,79433,ac2g,122891,e,6939565717473.829,f
7,ac2g,79435,ac2g,0,e,6939565718192.526,f
125589,ac2g,79435,ac2g,122891,,6939565717478.045,s
7,ac2g,79447,ac2g,0,e,6939565718199.471,f
125589,ac2g,79447,ac2g,122891,,6939565717607.73,s
125589,ac2g,79503,ac2g,122891,e,6939565718183.882,f
7,ac2g,79510,ac2g,0,e,6939565718834.797,f
125589,ac2g,79510,ac2g,122891,,6939565718261.223,s
7,ac2g,79524,ac2g,0,e,6939565718837.838,f
125589,ac2g,79524,ac2g,122891,,6939565718344.097,s
7,ac2g,79537,ac2g,0,e,6939565718842.094,f
125589,ac2g,79537,ac2g,122891,,6939565718448.096,s
125589,ac2g,79549,ac2g,122891,e,6939565718515.926,f
125589,ac2g,79550,ac2g,122891,e,6939565718524.458,f
7,ac2g,79551,ac2g,0,e,6939565718844.91,f
125589,ac2g,79551,ac2g,122891,,6939565718542.158,s
7,ac2g,79609,ac2g,0,e,6939565720225.739,f
