Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
0,125589,cpu_op,0,,autograd::engine::evaluate_function: SumBackward0,122891,125.824,23041,,5963,,,6939565712833.601,1,X
1,125589,cpu_op,0,"[""float""]",SumBackward0,122891,68.199,23042,"[""""]",5963,[[]],[[]],6939565712867.61,1,X
2,125589,cpu_op,0,"[""float"", ""ScalarList"", ""Scalar""]",aten::expand,122891,39.412,23043,"["""", ""[1, 50, 10000]"", ""False""]",,"[[], [], []]","[[], [], []]",6939565712893.711,,X
3,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,8.975,23044,"["""", ""[1, 50, 10000]"", ""[0, 0, 0]"", """"]",,"[[], [], [], []]","[[], [], [], []]",6939565712911.418,,X
4,125589,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,122891,60.066,23045,,5962,,,6939565712987.315,1,X
5,125589,cpu_op,0,"[""float""]",ViewBackward0,122891,40.298,23046,"[""""]",5962,"[[0, 0, 0]]","[[1, 50, 10000]]",6939565712995.655,1,X
6,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,122891,31.843,23047,"["""", ""[50, 10000]""]",,"[[0, 0, 0], []]","[[1, 50, 10000], []]",6939565713003.002,,X
7,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList""]",aten::_reshape_alias,122891,13.592,23048,"["""", ""[50, 10000]"", ""[0, 0]""]",,"[[0, 0, 0], [], []]","[[1, 50, 10000], [], []]",6939565713019.25,,X
8,125589,cpu_op,0,,autograd::engine::evaluate_function: AddmmBackward0,122891,813.742,23049,,5961,,,6939565713066.756,1,X
9,125589,cpu_op,0,"[""float""]",AddmmBackward0,122891,664.348,23050,"[""""]",5961,"[[0, 0]]","[[50, 10000]]",6939565713073.726,1,X
10,125589,cpu_op,0,"[""float""]",aten::t,122891,22.07,23051,"[""""]",,"[[1, 512]]","[[512, 10000]]",6939565713086.257,,X
11,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,10.164,23052,"["""", ""0"", ""1""]",,"[[1, 512], [], []]","[[512, 10000], [], []]",6939565713094.706,,X
12,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,2.34,23053,"["""", ""[10000, 512]"", ""[512, 1]"", """"]",,"[[1, 512], [], [], []]","[[512, 10000], [], [], []]",6939565713101.066,,X
13,125589,cpu_op,0,"[""float"", ""float""]",aten::mm,122891,361.67,23054,"["""", """"]",,"[[0, 0], [512, 1]]","[[50, 10000], [10000, 512]]",6939565713114.292,,X
14,125589,cpu_op,0,"[""float"", ""Scalar""]",aten::clone,122891,155.493,23055,"["""", ""0""]",,"[[0, 0], []]","[[50, 10000], []]",6939565713160.084,,X
15,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,122891,33.247,23056,"["""", ""6"", ""0"", """", """", ""0""]",,"[[0, 0], [], [], [], [], []]","[[50, 10000], [], [], [], [], []]",6939565713165.416,,X
16,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,20.459,23057,"[""[50, 10000]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565713175.81,,X
17,125589,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::copy_,122891,109.156,23058,"["""", """", ""False""]",,"[[10000, 1], [0, 0], []]","[[50, 10000], [50, 10000], []]",6939565713204.562,,X
18,125589,cpu_op,0,"[""float""]",aten::t,122891,19.841,23059,"[""""]",,"[[0, 0]]","[[50, 10000]]",6939565713488.992,,X
19,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,10.545,23060,"["""", ""0"", ""1""]",,"[[0, 0], [], []]","[[50, 10000], [], []]",6939565713494.33,,X
20,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,2.968,23061,"["""", ""[10000, 50]"", ""[0, 0]"", """"]",,"[[0, 0], [], [], []]","[[50, 10000], [], [], []]",6939565713500.704,,X
21,125589,cpu_op,0,"[""float"", ""float""]",aten::mm,122891,198.504,23062,"["""", """"]",,"[[0, 0], [512, 1]]","[[10000, 50], [50, 512]]",6939565713513.539,,X
22,125589,cpu_op,0,"[""float"", ""Scalar""]",aten::clone,122891,102.204,23063,"["""", ""0""]",,"[[0, 0], []]","[[10000, 50], []]",6939565713535.691,,X
23,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,122891,45.431,23064,"["""", ""6"", ""0"", """", """", ""0""]",,"[[0, 0], [], [], [], [], []]","[[10000, 50], [], [], [], [], []]",6939565713539.425,,X
24,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,36.832,23065,"[""[10000, 50]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565713545.714,,X
25,125589,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::copy_,122891,47.03,23066,"["""", """", ""False""]",,"[[50, 1], [0, 0], []]","[[10000, 50], [10000, 50], []]",6939565713589.337,,X
26,125589,cpu_op,0,"[""float""]",aten::t,122891,16.434,23067,"[""""]",,"[[512, 1]]","[[10000, 512]]",6939565713717.682,,X
27,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,8.956,23068,"["""", ""0"", ""1""]",,"[[512, 1], [], []]","[[10000, 512], [], []]",6939565713721.646,,X
28,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,2.601,23069,"["""", ""[512, 10000]"", ""[1, 512]"", """"]",,"[[512, 1], [], [], []]","[[10000, 512], [], [], []]",6939565713726.924,,X
29,125589,cpu_op,0,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,122891,77.836,23070,"["""", ""[0]"", ""True"", """"]",,"[[0, 0], [], [], []]","[[50, 10000], [], [], []]",6939565713750.464,,X
30,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,8.65,23071,"["""", ""[10000]""]",,"[[10000, 1], []]","[[1, 10000], []]",6939565713836.655,,X
31,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,54.502,23072,,,,,6939565713927.969,,X
32,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,33.623,23073,"[""""]",,[[1]],[[10000]],6939565713938.819,,X
33,125589,cpu_op,0,"[""float""]",aten::detach,122891,17.675,23074,"[""""]",,[[1]],[[10000]],6939565713951.479,,X
34,125589,cpu_op,0,"[""float""]",detach,122891,10.784,23075,"[""""]",,[[1]],[[10000]],6939565713957.227,,X
35,125589,cpu_op,0,,autograd::engine::evaluate_function: TBackward0,122891,38.54,23076,,5960,,,6939565714003.56,1,X
36,125589,cpu_op,0,"[""float""]",TBackward0,122891,22.833,23077,"[""""]",5960,"[[1, 512]]","[[512, 10000]]",6939565714010.195,1,X
37,125589,cpu_op,0,"[""float""]",aten::t,122891,16.819,23078,"[""""]",,"[[1, 512]]","[[512, 10000]]",6939565714014.761,,X
38,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,8.962,23079,"["""", ""0"", ""1""]",,"[[1, 512], [], []]","[[512, 10000], [], []]",6939565714019.191,,X
39,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,2.676,23080,"["""", ""[10000, 512]"", ""[512, 1]"", """"]",,"[[1, 512], [], [], []]","[[512, 10000], [], [], []]",6939565714024.339,,X
40,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,26.225,23081,,,,,6939565714063.751,,X
41,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,12.919,23082,"[""""]",,"[[512, 1]]","[[10000, 512]]",6939565714071.705,,X
42,125589,cpu_op,0,"[""float""]",aten::detach,122891,7.183,23083,"[""""]",,"[[512, 1]]","[[10000, 512]]",6939565714075.908,,X
43,125589,cpu_op,0,"[""float""]",detach,122891,3.607,23084,"[""""]",,"[[512, 1]]","[[10000, 512]]",6939565714078.521,,X
44,125589,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,122891,31.609,23085,,5959,,,6939565714108.75,1,X
45,125589,cpu_op,0,"[""float""]",ViewBackward0,122891,16.53,23086,"[""""]",5959,"[[512, 1]]","[[50, 512]]",6939565714115.476,1,X
46,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,122891,9.903,23087,"["""", ""[1, 50, 512]""]",,"[[512, 1], []]","[[50, 512], []]",6939565714121.045,,X
47,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,5.072,23088,"["""", ""[1, 50, 512]""]",,"[[512, 1], []]","[[50, 512], []]",6939565714124.779,,X
48,125589,cpu_op,0,,autograd::engine::evaluate_function: TransposeBackward0,122891,32.516,23089,,5958,,,6939565714159.404,1,X
49,125589,cpu_op,0,"[""float""]",TransposeBackward0,122891,17.806,23090,"[""""]",5958,"[[25600, 512, 1]]","[[1, 50, 512]]",6939565714165.514,1,X
50,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,12.604,23091,"["""", ""0"", ""1""]",,"[[25600, 512, 1], [], []]","[[1, 50, 512], [], []]",6939565714169.753,,X
51,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,1.859,23092,"["""", ""[50, 1, 512]"", ""[512, 25600, 1]"", """"]",,"[[25600, 512, 1], [], [], []]","[[1, 50, 512], [], [], []]",6939565714176.916,,X
52,125589,cpu_op,0,,autograd::engine::evaluate_function: NativeLayerNormBackward0,122891,202.514,23093,,5957,,,6939565714212.197,1,X
53,125589,cpu_op,0,"[""float""]",NativeLayerNormBackward0,122891,166.714,23094,"[""""]",5957,"[[512, 25600, 1]]","[[50, 1, 512]]",6939565714218.277,1,X
54,125589,cpu_op,0,"[""float"", ""float"", ""ScalarList"", ""float"", ""float"", ""float"", ""float"", ""ScalarList""]",aten::native_layer_norm_backward,122891,145.074,23095,"["""", """", ""[512]"", """", """", """", """", ""[True, True, True]""]",,"[[512, 25600, 1], [512, 512, 1], [], [1, 1, 1], [1, 1, 1], [1], [1], []]","[[50, 1, 512], [50, 1, 512], [], [50, 1, 1], [50, 1, 1], [512], [512], []]",6939565714236.5,,X
55,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,20.558,23096,"[""[50, 1, 512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565714254.261,,X
56,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,15.156,23097,"[""[512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565714282.095,,X
57,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,14.248,23098,"[""[512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565714303.726,,X
58,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,29.283,23099,,,,,6939565714441.774,,X
59,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,15.267,23100,"[""""]",,[[1]],[[512]],6939565714450.584,,X
60,125589,cpu_op,0,"[""float""]",aten::detach,122891,8.53,23101,"[""""]",,[[1]],[[512]],6939565714456.152,,X
61,125589,cpu_op,0,"[""float""]",detach,122891,4.92,23102,"[""""]",,[[1]],[[512]],6939565714458.97,,X
62,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,23.775,23103,,,,,6939565714491.495,,X
63,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,11.076,23104,"[""""]",,[[1]],[[512]],6939565714499.043,,X
64,125589,cpu_op,0,"[""float""]",aten::detach,122891,6.214,23105,"[""""]",,[[1]],[[512]],6939565714502.978,,X
65,125589,cpu_op,0,"[""float""]",detach,122891,3.062,23106,"[""""]",,[[1]],[[512]],6939565714505.238,,X
66,125589,cpu_op,0,,autograd::engine::evaluate_function: NativeLayerNormBackward0,122891,160.682,23107,,5956,,,6939565714533.718,1,X
67,125589,cpu_op,0,"[""float""]",NativeLayerNormBackward0,122891,125.523,23108,"[""""]",5956,"[[512, 512, 1]]","[[50, 1, 512]]",6939565714540.084,1,X
68,125589,cpu_op,0,"[""float"", ""float"", ""ScalarList"", ""float"", ""float"", ""float"", ""float"", ""ScalarList""]",aten::native_layer_norm_backward,122891,113.496,23109,"["""", """", ""[512]"", """", """", """", """", ""[True, True, True]""]",,"[[512, 512, 1], [512, 512, 1], [], [1, 1, 1], [1, 1, 1], [1], [1], []]","[[50, 1, 512], [50, 1, 512], [], [50, 1, 1], [50, 1, 1], [512], [512], []]",6939565714549.781,,X
69,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,16.051,23110,"[""[50, 1, 512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565714559.595,,X
70,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,13.687,23111,"[""[512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565714581.911,,X
71,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,12.84,23112,"[""[512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565714601.207,,X
72,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,27.179,23113,,,,,6939565714719.533,,X
73,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,13.436,23114,"[""""]",,[[1]],[[512]],6939565714728.229,,X
74,125589,cpu_op,0,"[""float""]",aten::detach,122891,7.673,23115,"[""""]",,[[1]],[[512]],6939565714732.955,,X
75,125589,cpu_op,0,"[""float""]",detach,122891,4.229,23116,"[""""]",,[[1]],[[512]],6939565714735.456,,X
76,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,24.558,23117,,,,,6939565714766.849,,X
77,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,11.902,23118,"[""""]",,[[1]],[[512]],6939565714774.527,,X
78,125589,cpu_op,0,"[""float""]",aten::detach,122891,7.047,23119,"[""""]",,[[1]],[[512]],6939565714778.375,,X
79,125589,cpu_op,0,"[""float""]",detach,122891,3.93,23120,"[""""]",,[[1]],[[512]],6939565714780.651,,X
80,125589,cpu_op,0,,autograd::engine::evaluate_function: AddBackward0,122891,20.503,23121,,5955,,,6939565714810.426,1,X
81,125589,cpu_op,0,"[""float""]",AddBackward0,122891,3.137,23122,"[""""]",5955,"[[512, 512, 1]]","[[50, 1, 512]]",6939565714817.086,1,X
82,125589,cpu_op,0,,autograd::engine::evaluate_function: NativeDropoutBackward0,122891,115.88,23123,,5954,,,6939565714849.317,1,X
