ts,tid,pid,cbid,dur,cat,ph,name,correlation,External id
6939565713416.503,125589,122891,307,20.789,cuda_driver,X,cuLaunchKernel,78958,23054
6939565717353.165,125589,122891,307,18.954,cuda_driver,X,cuLaunchKernel,79412,23239
6939565717478.045,125589,122891,307,16.645,cuda_driver,X,cuLaunchKernel,79435,23243
6939565720778.634,125589,122891,307,18.129,cuda_driver,X,cuLaunchKernel,79779,23422
6939565720897.258,125589,122891,307,16.185,cuda_driver,X,cuLaunchKernel,79802,23426
6939565722235.221,125589,122891,307,12.581,cuda_driver,X,cuLaunchKernel,79963,23486
6939565722312.489,125589,122891,307,10.345,cuda_driver,X,cuLaunchKernel,79986,23490
6939565726055.471,125589,122891,307,13.023,cuda_driver,X,cuLaunchKernel,80696,23812
6939565726133.36,125589,122891,307,10.404,cuda_driver,X,cuLaunchKernel,80719,23816
6939565727804.424,125589,122891,307,11.761,cuda_driver,X,cuLaunchKernel,81076,23996
6939565727870.549,125589,122891,307,9.617,cuda_driver,X,cuLaunchKernel,81099,24000
6939565728502.342,125589,122891,307,10.119,cuda_driver,X,cuLaunchKernel,81260,24060
6939565728560.848,125589,122891,307,9.654,cuda_driver,X,cuLaunchKernel,81283,24064
6939565731568.181,125589,122891,307,11.933,cuda_driver,X,cuLaunchKernel,81993,24386
6939565731630.055,125589,122891,307,9.255,cuda_driver,X,cuLaunchKernel,82016,24390
6939565733153.774,125589,122891,307,11.384,cuda_driver,X,cuLaunchKernel,82369,24570
6939565733214.385,125589,122891,307,8.379,cuda_driver,X,cuLaunchKernel,82392,24574
6939565733940.465,125589,122891,307,11.387,cuda_driver,X,cuLaunchKernel,82553,24634
6939565734005.501,125589,122891,307,8.746,cuda_driver,X,cuLaunchKernel,82576,24638
6939565736571.784,125589,122891,307,9.841,cuda_driver,X,cuLaunchKernel,83286,24960
6939565736627.266,125589,122891,307,8.856,cuda_driver,X,cuLaunchKernel,83309,24964
6939565738002.409,125589,122891,307,9.019,cuda_driver,X,cuLaunchKernel,83662,25144
6939565738054.853,125589,122891,307,8.294,cuda_driver,X,cuLaunchKernel,83685,25148
6939565738614.89,125589,122891,307,10.739,cuda_driver,X,cuLaunchKernel,83846,25208
6939565738670.415,125589,122891,307,8.55,cuda_driver,X,cuLaunchKernel,83869,25212
6939565741236.034,125589,122891,307,10.313,cuda_driver,X,cuLaunchKernel,84579,25534
6939565741291.469,125589,122891,307,8.397,cuda_driver,X,cuLaunchKernel,84602,25538
6939565742721.122,125589,122891,307,11.26,cuda_driver,X,cuLaunchKernel,84955,25718
6939565742789.235,125589,122891,307,9.939,cuda_driver,X,cuLaunchKernel,84978,25722
6939565743476.348,125589,122891,307,11.747,cuda_driver,X,cuLaunchKernel,85139,25782
6939565743540.834,125589,122891,307,10.076,cuda_driver,X,cuLaunchKernel,85162,25786
6939565746725.107,125589,122891,307,11.446,cuda_driver,X,cuLaunchKernel,85872,26108
6939565746789.832,125589,122891,307,10.215,cuda_driver,X,cuLaunchKernel,85895,26112
6939565748462.236,125589,122891,307,11.954,cuda_driver,X,cuLaunchKernel,86248,26292
6939565748528.098,125589,122891,307,9.69,cuda_driver,X,cuLaunchKernel,86271,26296
6939565749204.408,125589,122891,307,11.071,cuda_driver,X,cuLaunchKernel,86432,26356
6939565749268.979,125589,122891,307,10.041,cuda_driver,X,cuLaunchKernel,86455,26360
6939565752589.077,125589,122891,307,10.259,cuda_driver,X,cuLaunchKernel,87208,26696
6939565752643.955,125589,122891,307,8.619,cuda_driver,X,cuLaunchKernel,87231,26700
6939565755278.135,125589,122891,307,10.239,cuda_driver,X,cuLaunchKernel,87941,27022
6939565755338.988,125589,122891,307,8.776,cuda_driver,X,cuLaunchKernel,87964,27026
6939565758013.401,125589,122891,307,10.98,cuda_driver,X,cuLaunchKernel,88674,27348
6939565758081.163,125589,122891,307,8.361,cuda_driver,X,cuLaunchKernel,88697,27352
6939565760767.593,125589,122891,307,9.815,cuda_driver,X,cuLaunchKernel,89407,27674
6939565760824.641,125589,122891,307,8.495,cuda_driver,X,cuLaunchKernel,89430,27678
6939565763462.151,125589,122891,307,10.234,cuda_driver,X,cuLaunchKernel,90140,28000
6939565763520.662,125589,122891,307,8.198,cuda_driver,X,cuLaunchKernel,90163,28004
6939565766195.241,125589,122891,307,10.27,cuda_driver,X,cuLaunchKernel,90873,28326
6939565766251.636,125589,122891,307,8.607,cuda_driver,X,cuLaunchKernel,90896,28330
