ts,tid,pid,cbid,dur,cat,ph,name,correlation,External id
6939293082519.843,122891,122891,211,45.78,cuda_runtime,X,cudaLaunchKernel,29133,8198
6939293083685.654,125589,122891,211,49.599,cuda_runtime,X,cudaLaunchKernel,29163,8722
6939293083816.918,125589,122891,200,3.176,cuda_runtime,X,cudaDeviceGetAttribute,29179,8718
6939293083840.8,125589,122891,211,12.536,cuda_runtime,X,cudaLaunchKernel,29182,8718
6939293083923.031,125589,122891,211,13.492,cuda_runtime,X,cudaLaunchKernel,29200,8730
6939293083958.287,125589,122891,210,3.172,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessor,29213,8726
6939293083965.927,125589,122891,211,13.727,cuda_runtime,X,cudaLaunchKernel,29214,8726
6939293084038.074,125589,122891,211,16.338,cuda_runtime,X,cudaLaunchKernel,29227,8734
6939293084349.406,125589,122891,211,16.725,cuda_runtime,X,cudaLaunchKernel,29280,8759
6939293084369.097,125589,122891,211,11.537,cuda_runtime,X,cudaLaunchKernel,29282,8759
6939293084516.559,125589,122891,211,11.718,cuda_runtime,X,cudaLaunchKernel,29323,8773
6939293084529.807,125589,122891,211,9.27,cuda_runtime,X,cudaLaunchKernel,29325,8773
6939293084686.43,125589,122891,211,15.022,cuda_runtime,X,cudaLaunchKernel,29354,8789
6939293084803.164,125589,122891,210,2.018,cuda_runtime,X,cudaOccupancyMaxActiveBlocksPerMultiprocessor,29379,8801
6939293084806.475,125589,122891,211,13.418,cuda_runtime,X,cudaLaunchKernel,29380,8801
6939293084821.592,125589,122891,211,9.793,cuda_runtime,X,cudaLaunchKernel,29382,8801
6939293084874.65,125589,122891,211,11.51,cuda_runtime,X,cudaLaunchKernel,29399,8805
6939293084927.9,125589,122891,211,14.093,cuda_runtime,X,cudaLaunchKernel,29412,8809
6939293085121.096,125589,122891,211,12.076,cuda_runtime,X,cudaLaunchKernel,29445,8830
6939293085200.453,125589,122891,211,13.582,cuda_runtime,X,cudaLaunchKernel,29459,8835
6939293085311.616,125589,122891,211,11.355,cuda_runtime,X,cudaLaunchKernel,29484,8845
6939293085324.452,125589,122891,211,10.264,cuda_runtime,X,cudaLaunchKernel,29486,8845
6939293085376.2,125589,122891,211,22.841,cuda_runtime,X,cudaLaunchKernel,29503,8849
6939293085436.589,125589,122891,211,10.25,cuda_runtime,X,cudaLaunchKernel,29516,8853
6939293085645.895,125589,122891,211,15.455,cuda_runtime,X,cudaLaunchKernel,29539,8872
6939293085743.987,125589,122891,211,11.591,cuda_runtime,X,cudaLaunchKernel,29574,8875
6939293085757.34,125589,122891,211,10.07,cuda_runtime,X,cudaLaunchKernel,29576,8875
6939293085902.86,125589,122891,211,11.94,cuda_runtime,X,cudaLaunchKernel,29605,8891
6939293086029.375,125589,122891,200,1.804,cuda_runtime,X,cudaDeviceGetAttribute,29633,8903
6939293086049.371,125589,122891,211,10.004,cuda_runtime,X,cudaLaunchKernel,29636,8903
6939293086106.747,125589,122891,200,0.731,cuda_runtime,X,cudaDeviceGetAttribute,29656,8907
6939293086159.251,125589,122891,211,13.96,cuda_runtime,X,cudaLaunchKernel,29670,8911
6939293086475.576,125589,122891,317,2.171,cuda_runtime,X,cudaStreamIsCapturing,29726,8947
6939293086530.092,125589,122891,211,16.464,cuda_runtime,X,cudaLaunchKernel,29733,8953
6939293086579.155,125589,122891,211,10.181,cuda_runtime,X,cudaLaunchKernel,29747,8954
6939293086636.572,125589,122891,211,13.776,cuda_runtime,X,cudaLaunchKernel,29760,8962
6939293086677.074,125589,122891,273,4.613,cuda_runtime,X,cudaFuncSetAttribute,29772,8947
6939293086682.922,125589,122891,15,7.973,cuda_runtime,X,cudaFuncGetAttributes,29773,8947
6939293086693.737,125589,122891,211,13.743,cuda_runtime,X,cudaLaunchKernel,29774,8947
6939293087089.529,125589,122891,211,14.594,cuda_runtime,X,cudaLaunchKernel,29832,9012
6939293087132.416,125589,122891,41,41.142,cuda_runtime,X,cudaMemcpyAsync,29839,9015
