ts,memory bandwidth (GB/s),tid,pid,dur,context,stream,cat,ph,name,device,bytes,correlation,External id
6939293088987.389,25.45364156102411,7,0,2.016,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,29839,9015
6939293088992.125,30.260047281323878,7,0,1.696,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,29864,9025
6939293089857.372,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,30390,9262
6939293090030.588,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,30415,9272
6939293090210.524,37.30418943533698,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,30449,9283
6939293093641.048,37.30418943533698,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,31123,9588
6939293093645.176,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,31148,9598
6939293095984.757,37.29060451565914,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,31687,9836
6939293095989.269,39.113827349121465,7,0,1.312,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,31712,9846
6939293095995.797,38.194703468854904,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,31746,9857
6939293111079.524,25.05505260582334,7,0,2.048,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,32420,10162
6939293111299.876,24.674698795180724,7,0,2.079,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,32445,10172
6939293113818.465,24.299952539155196,7,0,2.112,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,32980,10410
6939293113823.393,28.643356643356643,7,0,1.791,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,33005,10420
6939293113830.433,32.73657289002558,7,0,1.567,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,33039,10431
6939293116885.885,25.45364156102411,7,0,2.016,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,33713,10736
6939293117096.253,25.061184532550172,7,0,2.048,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,33738,10746
6939293119588.122,24.299952539155196,7,0,2.112,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,34273,10984
6939293119593.466,31.43997543751919,7,0,1.632,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,34298,10994
6939293119792.57,29.157175398633257,7,0,1.76,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,34332,11005
6939293131766.476,37.30418943533698,7,0,1.376,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,35006,11310
6939293131962.156,30.260047281323878,7,0,1.696,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,35031,11320
6939293136150.407,23.246311010215663,7,0,2.208,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,35566,11558
6939293136155.335,28.643356643356643,7,0,1.792,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,35591,11568
6939293136162.375,28.643356643356643,7,0,1.792,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,35625,11579
6939293137658.629,23.58903478461184,7,0,2.176,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,36299,11884
6939293137663.589,28.635346756152124,7,0,1.792,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,36324,11894
6939293139922.627,24.674698795180724,7,0,2.079,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,36859,12132
6939293140184.162,24.299952539155196,7,0,2.112,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,36884,12142
6939293140192.354,29.70699158688715,7,0,1.728,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,36918,12153
6939293142925.567,38.18046234153617,7,0,1.344,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,37635,12472
6939293143165.439,25.05505260582334,7,0,2.048,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,37660,12482
6939293143174.207,29.157175398633257,7,0,1.76,1,7,gpu_memcpy,X,Memcpy DtoD (Device -> Device),0,102400,37694,12493
