shared memory,pid,dur,stream,ts,est. achieved occupancy %,tid,cat,warps per SM,grid,registers per thread,correlation,ph,name,device,External id,queued,blocks per SM,context,block
0,0,1.472,7,6939565712147.097,0,7,kernel,0.047619,"[1, 1, 1]",16,78910,X,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>)",0,22534,0,0.011905,1,"[128, 1, 1]"
0,0,3.775,7,6939565713382.551,100,7,kernel,93.047623,"[1954, 1, 1]",16,78940,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,23058,0,23.261906,1,"[128, 1, 1]"
30720,0,50.688,7,6939565713571.862,14,7,kernel,6.857143,"[4, 1, 36]",126,78958,X,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(cutlass_80_simt_sgemm_128x64_8x5_nn_align1::Params),0,23054,0,1.714286,1,"[128, 1, 1]"
0,0,4.16,7,6939565713623.414,25,7,kernel,12.190476,"[16, 4, 1]",44,78959,X,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",0,23054,0,0.761905,1,"[32, 16, 1]"
0,0,3.712,7,6939565713823.83,100,7,kernel,93.047623,"[1954, 1, 1]",16,78977,X,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,23066,0,23.261906,1,"[128, 1, 1]"
16384,0,46.656,7,6939565713828.278,67,7,kernel,119.238098,"[4, 313, 1]",57,78991,X,ampere_sgemm_128x32_nn,0,23062,0,14.904762,1,"[256, 1, 1]"
16,0,4.256,7,6939565713875.766,8,7,kernel,3.809524,"[20, 1, 1]",32,79004,X,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",0,23070,0,0.238095,1,"[32, 16, 1]"
16,0,3.073,7,6939565714439.38,5,7,kernel,2.380952,"[50, 1, 1]",40,79057,X,"void at::native::(anonymous namespace)::layer_norm_grad_input_kernel_vectorized<float, float>(float const*, float const*, float const*, float const*, float const*, float*, int)",0,23095,0,0.595238,1,"[128, 1, 1]"
0,0,4.736,7,6939565714443.285,0,7,kernel,0.190476,"[2, 1, 1]",38,79059,X,"void at::native::(anonymous namespace)::GammaBetaBackwardSimpleCUDAKernel<float, float>(long, long, float const*, float const*, float const*, float const*, float*, float*)",0,23095,0,0.02381,1,"[256, 1, 1]"
16,0,3.072,7,6939565715107.988,5,7,kernel,2.380952,"[50, 1, 1]",40,79100,X,"void at::native::(anonymous namespace)::layer_norm_grad_input_kernel_vectorized<float, float>(float const*, float const*, float const*, float const*, float const*, float*, int)",0,23109,0,0.595238,1,"[128, 1, 1]"
