ts,tid,pid,Python id,dur,Ev Idx,cat,ph,name,Python parent id
6939565709135.353,0,0,1,65358.278,5779,python_function,X,threading.py(973): _bootstrap,
6939565709136.667,0,0,2,65356.964,5780,python_function,X,threading.py(1016): _bootstrap_inner,1
6939565709140.652,0,0,3,65352.979,5781,python_function,X,decorator.py(232): fun,2
6939565709141.608,0,0,4,65352.023,5782,python_function,X,IPython/core/history.py(61): only_when_enabled,3
6939565709145.848,0,0,5,65347.783,5783,python_function,X,IPython/core/history.py(903): run,4
6939565709146.696,0,0,6,65346.935,5784,python_function,X,threading.py(607): wait,5
6939565709147.65,0,0,7,65345.981,5785,python_function,X,threading.py(320): wait,6
6939565709152.413,0,0,8,65341.218,5786,python_function,X,threading.py(973): _bootstrap,7
6939565709153.007,0,0,9,65340.624,5787,python_function,X,threading.py(1016): _bootstrap_inner,8
6939565709154.713,0,0,10,65338.918,5788,python_function,X,ipykernel/control.py(23): run,9
6939565709158.206,0,0,11,65335.425,5789,python_function,X,tornado/platform/asyncio.py(205): start,10
6939565709160.148,0,0,12,65333.483,5790,python_function,X,asyncio/base_events.py(603): run_forever,11
6939565709161.284,0,0,13,65332.347,5791,python_function,X,asyncio/base_events.py(1871): _run_once,12
6939565709162.28,0,0,14,65331.351,5792,python_function,X,selectors.py(469): select,13
6939565709165.476,0,0,15,65328.155,5793,python_function,X,threading.py(973): _bootstrap,14
6939565709165.749,0,0,16,65327.882,5794,python_function,X,threading.py(1016): _bootstrap_inner,15
6939565709166.743,0,0,17,65326.888,5795,python_function,X,threading.py(953): run,16
6939565709167.813,0,0,18,65325.818,5796,python_function,X,ipykernel/iostream.py(387): _watch_pipe_fd,17
6939565709170.791,0,0,19,65322.84,5797,python_function,X,threading.py(973): _bootstrap,18
6939565709171.509,0,0,20,65322.122,5798,python_function,X,threading.py(1016): _bootstrap_inner,19
6939565709172.98,0,0,21,65320.651,5799,python_function,X,threading.py(953): run,20
6939565709173.301,0,0,22,65320.33,5800,python_function,X,ipykernel/iostream.py(387): _watch_pipe_fd,21
6939565709175.159,0,0,23,65318.472,5801,python_function,X,threading.py(973): _bootstrap,22
6939565709175.607,0,0,24,65318.024,5802,python_function,X,threading.py(1016): _bootstrap_inner,23
6939565709177.615,0,0,25,65316.016,5803,python_function,X,ipykernel/heartbeat.py(106): run,24
6939565709181.862,0,0,26,65311.769,5804,python_function,X,threading.py(973): _bootstrap,25
6939565709182.087,0,0,27,65311.544,5805,python_function,X,threading.py(1016): _bootstrap_inner,26
6939565709182.951,0,0,28,65310.68,5806,python_function,X,threading.py(953): run,27
6939565709183.617,0,0,29,65310.014,5807,python_function,X,ipykernel/iostream.py(92): _thread_main,28
6939565709184.869,0,0,30,65308.762,5808,python_function,X,tornado/platform/asyncio.py(205): start,29
6939565709185.247,0,0,31,65308.384,5809,python_function,X,asyncio/base_events.py(603): run_forever,30
6939565709185.748,0,0,32,65307.883,5810,python_function,X,asyncio/base_events.py(1871): _run_once,31
6939565709186.137,0,0,33,65307.494,5811,python_function,X,selectors.py(469): select,32
6939565709200.021,122891,122891,34,65293.61,5812,python_function,X,runpy.py(196): _run_module_as_main,
6939565709201.21,122891,122891,35,65292.421,5813,python_function,X,runpy.py(86): _run_code,34
6939565709202.62,122891,122891,36,65291.011,5814,python_function,X,ipykernel_launcher.py(18): <module>,35
6939565709204.093,122891,122891,37,65289.538,5815,python_function,X,traitlets/config/application.py(1075): launch_instance,36
6939565709205.739,122891,122891,38,65287.892,5816,python_function,X,ipykernel/kernelapp.py(739): start,37
6939565709206.171,122891,122891,39,65287.46,5817,python_function,X,tornado/platform/asyncio.py(205): start,38
